time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/value_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,0,3966,1,,,,,,,,,,,,,
1024,0,1840,2,0.0004092704424510632,0.19615691558647086,-0.03333084657788277,0.012498724,1.0002415180206299,0.197509765625,16,0.2,-1.5928783416748047,-0.02788312642951496,-43.995689868927,,
1536,0,1575,3,0.0004092704424510632,0.003769598792132456,-0.03464328125119209,0.012955741,1.0013526678085327,0.21826171875,32,0.2,-0.030824899673461914,-0.024126425174472388,-44.00791120529175,-2.773274,1258.0
2048,1,1464,4,0.0004092704424510632,0.023005045135505497,-0.026045024394989014,0.018406143,1.0012389421463013,0.298583984375,48,0.2,0.00707930326461792,-0.02695280098123476,-44.028870582580566,-2.773274,1258.0
2560,1,1396,5,0.0004092704424510632,0.0028920182048750576,-0.030766218900680542,0.016565027,1.001306414604187,0.239501953125,64,0.2,-0.02127683162689209,-0.0219755368452752,-44.02215349674225,-2.699466,1258.0
3072,2,1363,6,0.0004092704424510632,0.03725676325848326,-0.017862044274806976,0.016652837,1.0014991760253906,0.285400390625,80,0.2,0.006522953510284424,-0.02509418515182915,-44.02902615070343,-2.699466,1258.0
3584,2,1338,7,0.0004092704424510632,0.0015644290197087685,-0.05104655399918556,0.014863642,1.0010098218917847,0.2237548828125,96,0.2,0.05473148822784424,-0.027224988531088457,-44.024484038352966,-2.699466,1258.0
4096,3,1320,8,0.0004092704424510632,0.011310627218335867,-0.04067046195268631,0.022759084,1.0025445222854614,0.3165283203125,112,0.2,-0.0025136470794677734,-0.03299556698766537,-44.0328733921051,-2.723912,1258.0
4608,3,1308,9,0.0004092704424510632,0.03823453048244119,-0.023486973717808723,0.025329433,1.005062460899353,0.2955322265625,128,0.2,0.004633069038391113,-0.02893337735440582,-44.09960401058197,-2.723912,1258.0
5120,3,1299,10,0.0004092704424510632,0.0038496018896694295,-0.039255816489458084,0.020119341,1.004299283027649,0.2388916015625,144,0.2,-0.010364174842834473,-0.02424516844621394,-44.137444615364075,-2.7358504999999997,1258.0
5632,4,1290,11,0.0004092704424510632,0.06097877479624003,0.006259482353925705,0.01497473,1.0011897087097168,0.1685791015625,160,0.2,0.005561709403991699,-0.01676262204273371,-44.068854570388794,-2.7358504999999997,1258.0
