time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/value_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,0,4001,1,,,,,,,,,,,,,
1024,0,1919,2,0.0004092704424510632,0.10269121019155136,-0.03225049376487732,0.022114528,1.0005332231521606,0.27197265625,16,0.2,-1.519324541091919,-0.03269561684282962,-43.993571281433105,,
1536,0,1645,3,0.0004092704424510632,0.0028541074752865825,-0.03148018196225166,0.01908275,0.999367892742157,0.247314453125,32,0.2,1.3709068298339844e-05,-0.027758174794143997,-43.98709177970886,-2.680661,1258.0
2048,1,1535,4,0.0004092704424510632,0.015013193944469094,-0.032226528972387314,0.027129725,0.9971672892570496,0.32666015625,48,0.2,-0.0002950429916381836,-0.03158056357642636,-43.93243396282196,-2.680661,1258.0
2560,1,1475,5,0.0004092704424510632,0.0029529699277190957,-0.046915922313928604,0.019793415,0.998551070690155,0.317138671875,64,0.2,0.004276692867279053,-0.031197645803331397,-43.907280802726746,-2.6557085000000002,1258.0
3072,2,1436,6,0.0004092704424510632,0.02237848611548543,-0.02851453796029091,0.019655447,0.9988002777099609,0.28173828125,80,0.2,0.004669785499572754,-0.028909485670737922,-43.94480490684509,-2.6557085000000002,1258.0
3584,2,1411,7,0.0004092704424510632,0.0016305472763633588,-0.0366276316344738,0.018979672,0.9976277947425842,0.294921875,96,0.2,-0.0004843473434448242,-0.028194945363793522,-43.92859506607056,-2.6557085000000002,1258.0
4096,2,1394,8,0.0004092704424510632,0.010407622583443299,-0.027184894308447838,0.018324632,0.9966138005256653,0.2625732421875,112,0.2,0.004019618034362793,-0.020928085112245753,-43.89400613307953,-2.698434666666667,1258.0
4608,3,1385,9,0.0004092704424510632,0.02867547527421266,-0.03050793521106243,0.01708672,0.9966911673545837,0.26611328125,128,0.2,0.0025894641876220703,-0.028195384511491284,-43.87587249279022,-2.698434666666667,1258.0
5120,3,1373,10,0.0004092704424510632,0.002954521529318299,-0.041039567440748215,0.021303222,0.9963348507881165,0.2930908203125,144,0.2,0.002111673355102539,-0.029465440442436375,-43.876970410346985,-2.7630555,1258.0
5632,4,1366,11,0.0004092704424510632,0.056295036687515676,-0.017277143895626068,0.021383569,0.9945870041847229,0.254150390625,160,0.2,0.0028606057167053223,-0.025508881051791832,-43.84582781791687,-2.7630555,1258.0
6144,4,1358,12,0.0004092704424510632,0.0014370324242918286,-0.023978736251592636,0.018102061,0.9942795634269714,0.274658203125,176,0.2,0.05192846059799194,-0.024398678142460994,-43.797842144966125,-2.7630555,1258.0
6656,4,1352,13,0.0004092704424510632,0.010520422249101102,-0.04316404089331627,0.020672645,0.9922009110450745,0.25830078125,192,0.2,0.011197507381439209,-0.029646759619936347,-43.77261662483215,-2.7859828,1258.0
7168,5,1348,14,0.0004092704424510632,0.055794494110159576,-0.012627050280570984,0.014647951,0.9908722639083862,0.2237548828125,208,0.2,0.0046599507331848145,-0.02470111069851555,-43.70921039581299,-2.7859828,1258.0
7680,5,1343,15,0.0004092704424510632,0.004441559241968207,-0.02259662002325058,0.024262186,0.9898414015769958,0.2637939453125,224,0.2,-0.008611917495727539,-0.03015183546813205,-43.67289423942566,-2.7626183333333336,1258.0
8192,6,1338,16,0.0004092704424510632,0.08414434408769011,0.004121009260416031,0.020752855,0.9889081120491028,0.2421875,240,0.2,0.0027207136154174805,-0.026231931238726247,-43.646140694618225,-2.7626183333333336,1258.0
8704,6,1334,17,0.0004092704424510632,0.0025467699924774934,-0.0474715419113636,0.024181131,0.9911989569664001,0.21533203125,256,0.2,-0.033269405364990234,-0.024986922013340518,-43.65599167346954,-2.7626183333333336,1258.0
9216,6,1332,18,0.0004092704424510632,0.0117242721025832,-0.031306616961956024,0.020231478,0.9922276735305786,0.2325439453125,272,0.2,0.009562075138092041,-0.022760980122257024,-43.71777534484863,-2.7547032857142857,1258.0
9728,7,1329,19,0.0004092704424510632,0.10558495437726378,0.010220739990472794,0.021116517,0.9905430674552917,0.24072265625,288,0.2,0.007342219352722168,-0.023429025532095693,-43.71006906032562,-2.7547032857142857,1258.0
10240,7,1326,20,0.0004092704424510632,0.002330780615011463,-0.036319799721241,0.013367802,0.9903653264045715,0.185546875,304,0.2,-0.1069488525390625,-0.022674264677334577,-43.66620171070099,-2.75827475,1258.0
10752,8,1324,21,0.0004092704424510632,0.1158896773122251,0.013690706342458725,0.01960235,0.9885315299034119,0.22314453125,320,0.2,0.0031432509422302246,-0.024386124074226245,-43.65057134628296,-2.75827475,1258.0
11264,8,1322,22,0.0004092704424510632,0.0024097210516629275,-0.034922562539577484,0.018601185,0.987999677658081,0.2467041015625,336,0.2,-0.39145052433013916,-0.026642039461876266,-43.602354764938354,-2.75827475,1258.0
11776,8,1320,23,0.0004092704424510632,0.012605603056726977,-0.03939826041460037,0.020879947,0.9870043992996216,0.2738037109375,352,0.2,0.16787678003311157,-0.027721278893295676,-43.58045172691345,-2.7461351111111107,1258.0
12288,9,1319,24,0.0004092704424510632,0.10944609413854778,-0.007069796323776245,0.028675806,0.9849852323532104,0.3013916015625,368,0.2,0.005463778972625732,-0.029436990211252123,-43.53341627120972,-2.7461351111111107,1258.0
12800,9,1317,25,0.0004092704424510632,0.0028588824279722758,-0.03689230605959892,0.0141909905,0.9843341708183289,0.1741943359375,384,0.2,-0.801300048828125,-0.020273334346711636,-43.48503041267395,-2.7323952,1258.0
