time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/value_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,0,3972,1,,,,,,,,,,,,,
1024,0,1935,2,0.0004092704424510632,0.10207882648319355,-0.027736512944102287,0.015929122,0.9997844696044922,0.2301025390625,16,0.2,-1.2434465885162354,-0.024291592970257625,-43.98955476284027,,
1536,0,1666,3,0.0004092704424510632,0.003086358410655521,-0.02964496798813343,0.019127525,0.9991981387138367,0.257080078125,32,0.2,-0.018970489501953125,-0.027293430743156932,-43.9683620929718,-2.784561,1258.0
2048,1,1561,4,0.0004092704424510632,0.01299134994042106,-0.02344733662903309,0.020241842,0.9980886578559875,0.2764892578125,48,0.2,-0.004768252372741699,-0.025340555555885658,-43.94541025161743,-2.784561,1258.0
2560,1,1504,5,0.0004092704424510632,0.0034971121640410274,-0.04355234652757645,0.019341368,0.9990988969802856,0.29541015625,64,0.2,0.003729701042175293,-0.02984045006451197,-43.93379592895508,-2.78832,1258.0
3072,2,1469,6,0.0004092704424510632,0.029222955810837448,-0.008396264165639877,0.019240808,0.997199296951294,0.269775390625,80,0.2,0.010726094245910645,-0.02299188042525202,-43.93665158748627,-2.78832,1258.0
3584,2,1445,7,0.0004092704424510632,0.0012732496543321759,-0.031062675639986992,0.016049974,0.996938169002533,0.2667236328125,96,0.2,0.019523680210113525,-0.030269905168097466,-43.88507258892059,-2.78832,1258.0
4096,2,1402,8,0.0004092704424510632,0.010847092882613651,-0.025455748662352562,0.02165934,0.9977511763572693,0.2833251953125,112,0.2,0.015121221542358398,-0.02455407107481733,-43.89750897884369,-2.763078,1258.0
4608,3,1388,9,0.0004092704424510632,0.031095542304683477,-0.032817814499139786,0.016575994,0.9967780709266663,0.267333984375,128,0.2,0.0016897916793823242,-0.029102531931130216,-43.90247082710266,-2.763078,1258.0
5120,3,1378,10,0.0004092704424510632,0.003797593599301763,-0.028377801179885864,0.013632363,0.9964891672134399,0.1910400390625,144,0.2,-0.012041687965393066,-0.019935367308789864,-43.874804973602295,-2.78844525,1258.0
5632,4,1365,11,0.0004092704424510632,0.051744474330917,-0.022538356482982635,0.031285472,0.9953882694244385,0.32568359375,160,0.2,0.01783066987991333,-0.03106964503240306,-43.86199152469635,-2.78844525,1258.0
6144,4,1359,12,0.0004092704424510632,0.0016321365401381627,-0.028943387791514397,0.012082674,0.9936671853065491,0.1729736328125,176,0.2,-0.194510817527771,-0.016600430259131826,-43.80767273902893,-2.78844525,1258.0
6656,4,1353,13,0.0004092704424510632,0.010703114792704582,-0.026570778340101242,0.02235382,0.9939785599708557,0.3009033203125,192,0.2,0.1432642936706543,-0.028171780606498942,-43.781452655792236,-2.7766650000000004,1258.0
