time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/value_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
8704,6,1268,17,0.0004092704424510632,0.0020521899932646193,-0.032547809183597565,0.021784596,0.9963608384132385,0.2691650390625,256,0.2,-0.10564649105072021,-0.028499865205958486,-43.868114829063416,-2.7034521666666667,1258.0
9216,7,1265,18,0.0004092704424510632,0.01580103868036531,-0.02583390474319458,0.01925946,0.9974244236946106,0.1971435546875,272,0.2,0.004068136215209961,-0.02030477684456855,-43.865153431892395,-2.7306764285714284,1258.0
9728,7,1262,19,0.0004092704424510632,0.08071862440556288,0.0017758719623088837,0.020074923,0.9966810345649719,0.236572265625,288,0.2,0.004871845245361328,-0.028109535138355568,-43.883963227272034,-2.7306764285714284,1258.0
10240,8,1260,20,0.0004092704424510632,0.0034096242852683645,-0.03633485734462738,0.022494294,0.9979092478752136,0.2374267578125,304,0.2,0.12144231796264648,-0.02647173790319357,-43.872610569000244,-2.75619525,1258.0
10752,8,1258,21,0.0004092704424510632,0.10424128663726151,0.0022957101464271545,0.024479777,0.9964399933815002,0.2755126953125,320,0.2,0.011833250522613525,-0.028411780105670914,-43.88808453083038,-2.75619525,1258.0
11264,8,1255,22,0.0004092704424510632,0.0025115439493674785,-0.03202284872531891,0.01709478,0.9959048628807068,0.25,336,0.2,-0.2314159870147705,-0.024941430121543817,-43.84246325492859,-2.75619525,1258.0
11776,9,1254,23,0.0004092704424510632,0.01119887744425796,-0.03977635130286217,0.025743987,0.996810257434845,0.26806640625,352,0.2,0.038997769355773926,-0.028778620588127524,-43.853333830833435,-2.781241,1258.0
12288,9,1252,24,0.0004092704424510632,0.08712184417527169,-0.01473253034055233,0.020938141,0.9970082640647888,0.261962890625,368,0.2,0.08592605590820312,-0.026665391284041107,-43.87392580509186,-2.781241,1258.0
12800,10,1246,25,0.0004092704424510632,0.003715386239491636,-0.026808181777596474,0.01751396,0.9966326355934143,0.1942138671875,384,0.2,-1.0190205574035645,-0.021874400496017188,-43.868980884552,-2.7816167,1258.0
13312,10,1239,26,0.0004092704424510632,0.12377960910089314,0.028193004429340363,0.01692437,0.9977182149887085,0.1505126953125,400,0.2,0.06561660766601562,-0.019584473702707328,-43.87581479549408,-2.7816167,1258.0
13824,11,1238,27,0.0004092704424510632,0.0048127123300218955,-0.04314598813652992,0.018019952,0.9979875683784485,0.234130859375,416,0.2,-0.9884922504425049,-0.02556962698145071,-43.90195035934448,-2.7816167,1258.0
14336,11,1240,28,0.0004092704424510632,0.0124995302176103,-0.04429941624403,0.02703681,0.9968817830085754,0.2762451171875,432,0.2,0.2430652379989624,-0.031146069726673886,-43.88782334327698,-2.7983986363636366,1258.0
14848,11,1239,29,0.0004092704424510632,0.07365447888150811,-0.0011309720575809479,0.04608363,0.9958687424659729,0.3818359375,448,0.2,0.1396847367286682,-0.026548195688519627,-43.84490132331848,-2.7983986363636366,1258.0
15360,12,1238,30,0.0004092704424510632,0.004208649788779439,-0.030916521325707436,0.017481476,0.9952121376991272,0.223388671875,464,0.2,-3.727010726928711,-0.022573462818400003,-43.82451677322388,-2.8036551666666667,1258.0
15872,12,1238,31,0.0004092704424510632,0.15563861094415188,0.029605314135551453,0.023658302,0.9945619106292725,0.2620849609375,480,0.2,0.07227098941802979,-0.024783991131698713,-43.8025176525116,-2.8036551666666667,1258.0
16384,13,1237,32,0.0004092704424510632,0.006450502740335651,-0.04945138096809387,0.02012448,0.9925519824028015,0.2354736328125,496,0.2,-0.43437647819519043,-0.026815458899363875,-43.76584506034851,-2.8029531538461536,1258.0
16896,13,1237,33,0.0004092704424510632,0.14854294224642217,0.024686573073267937,0.01828111,0.9915964603424072,0.2510986328125,512,0.2,0.14271700382232666,-0.02806915348628536,-43.71066725254059,-2.8029531538461536,1258.0
17408,14,1236,34,0.0004092704424510632,0.006910680604050867,-0.03871814161539078,0.018105503,0.9932112097740173,0.2236328125,528,0.2,-0.5276132822036743,-0.024791281277430244,-43.71252238750458,-2.8029531538461536,1258.0
17920,14,1235,35,0.0004092704424510632,0.006695182375551667,-0.04987460374832153,0.02219411,0.991109311580658,0.25537109375,544,0.2,0.07277178764343262,-0.030216577579267323,-43.72673153877258,-2.8036903571428566,1258.0
18432,14,1234,36,0.0004092704424510632,0.1754022054374218,0.02098098024725914,0.017420728,0.9896866679191589,0.144287109375,560,0.2,0.1094900369644165,-0.02042942467960529,-43.64928591251373,-2.8036903571428566,1258.0
18944,15,1234,37,0.0004092704424510632,0.008772928355028853,-0.029539020732045174,0.017588712,0.9898197650909424,0.1907958984375,576,0.2,-0.9436218738555908,-0.020936454195179977,-43.634321808815,-2.7894067333333328,1258.0
19456,15,1234,38,0.0004092704424510632,0.16379189025610685,0.038154684007167816,0.018242143,0.9882801175117493,0.1573486328125,592,0.2,0.34128254652023315,-0.021133123664185405,-43.62376356124878,-2.7894067333333328,1258.0
19968,16,1234,39,0.0004092704424510632,0.00564677466172725,-0.029964761808514595,0.02456114,0.9868106842041016,0.2608642578125,608,0.2,-4.741903781890869,-0.029238390299724415,-43.562684655189514,-2.7894067333333328,1258.0
20480,16,1233,40,0.0004092704424510632,0.009929685315000825,-0.03368125855922699,0.025617272,0.9868641495704651,0.244140625,624,0.2,0.05933946371078491,-0.024407871773291845,-43.543609976768494,-2.786409625,1258.0
20992,17,1231,41,0.0004092704424510632,0.18346841330640018,0.022005097940564156,0.019177275,0.9865806698799133,0.20263671875,640,0.2,0.09106826782226562,-0.021795101347379386,-43.54587113857269,-2.786409625,1258.0
21504,17,1228,42,0.0004092704424510632,0.006198555282026064,-0.028031472116708755,0.015806621,0.9851652383804321,0.201416015625,656,0.2,-3.0670080184936523,-0.01860770836356096,-43.518441796302795,-2.7759156470588238,1258.0
22016,17,1227,43,0.0004092704424510632,0.22910214960575104,0.06388916075229645,0.014986103,0.9842368364334106,0.1478271484375,672,0.2,0.06379920244216919,-0.020822196194785647,-43.480045318603516,-2.7759156470588238,1258.0
22528,18,1227,44,0.0004092704424510632,0.004631225790944882,-0.04673854261636734,0.018985948,0.9854925870895386,0.219970703125,688,0.2,-5.980703353881836,-0.026686293855163967,-43.47533583641052,-2.7759156470588238,1258.0
23040,18,1227,45,0.0004092704424510632,0.010137285600649193,-0.04438459873199463,0.020878209,0.986142098903656,0.2242431640625,704,0.2,0.05625408887863159,-0.02422393421875313,-43.516966223716736,-2.761242166666667,1258.0
23552,19,1227,46,0.0004092704424510632,0.20225852518342435,0.035396210849285126,0.011594636,0.986244261264801,0.144775390625,720,0.2,0.0804600715637207,-0.01864108079462312,-43.52508234977722,-2.761242166666667,1258.0
24064,19,1227,47,0.0004092704424510632,0.008598633634392172,-0.036911435425281525,0.014554145,0.9862572550773621,0.1712646484375,736,0.2,-3.5470757484436035,-0.02158876581233926,-43.52236998081207,-2.7593021578947368,1258.0
24576,20,1226,48,0.0004092704424510632,0.2816235520876944,0.06068029999732971,0.015548803,0.9870060682296753,0.1378173828125,752,0.2,0.042334675788879395,-0.01832382447901182,-43.533246755599976,-2.7593021578947368,1258.0
25088,20,1226,49,0.0004092704424510632,0.006396906392183155,-0.03995272517204285,0.019497477,0.9879517555236816,0.234130859375,768,0.2,-6.714286804199219,-0.027948348433710635,-43.55681931972504,-2.7593021578947368,1258.0
25600,20,1226,50,0.0004092704424510632,0.010998552999808453,-0.03358518332242966,0.025843564,0.9873372316360474,0.282470703125,784,0.2,0.07677662372589111,-0.029522164346417412,-43.576316595077515,-2.7568734,1258.0
26112,21,1226,51,0.0004092704424510632,0.22926027257926762,0.052542224526405334,0.014140224,0.9870447516441345,0.201904296875,800,0.2,0.12856870889663696,-0.020098117034649476,-43.547736406326294,-2.7568734,1258.0
26624,21,1227,52,0.0004092704424510632,0.011137145265820436,-0.019727397710084915,0.015848756,0.985495924949646,0.184326171875,816,0.2,-3.597207546234131,-0.020065966877155006,-43.52865946292877,-2.7557482857142857,1258.0
27136,22,1227,53,0.0004092704424510632,0.30495416140183806,0.06982168555259705,0.011493848,0.9853851795196533,0.12646484375,832,0.2,0.08207118511199951,-0.01711238588904962,-43.488229513168335,-2.7557482857142857,1258.0
27648,22,1226,54,0.0004092704424510632,0.004692129892646335,-0.033492330461740494,0.019930977,0.9842401742935181,0.249755859375,848,0.2,-2.2796645164489746,-0.026882812700932845,-43.47606801986694,-2.7557482857142857,1258.0
28160,22,1226,55,0.0004092704424510632,0.015163064177613705,-0.026941610500216484,0.016006803,0.9833424091339111,0.2247314453125,864,0.2,0.2731190323829651,-0.02421912741556298,-43.43990194797516,-2.748932681818182,1258.0
28672,23,1227,56,0.0004092704424510632,0.22943479055538774,0.03069154918193817,0.02007173,0.9829041361808777,0.1287841796875,880,0.2,0.16823267936706543,-0.02084351354278624,-43.414854884147644,-2.748932681818182,1258.0
29184,23,1226,57,0.0004092704424510632,0.011742361268261448,-0.032098621129989624,0.016981568,0.9832014441490173,0.217041015625,896,0.2,-2.9860689640045166,-0.022157291299663484,-43.41569650173187,-2.7494568695652175,1258.0
29696,24,1226,58,0.0004092704424510632,0.37508712662383914,0.10092435777187347,0.012023658,0.983410120010376,0.1064453125,912,0.2,0.09565466642379761,-0.015738651134597603,-43.42261564731598,-2.7494568695652175,1258.0
30208,24,1225,59,0.0004092704424510632,0.00837829643569421,-0.021852444857358932,0.016337253,0.9833036065101624,0.21728515625,928,0.2,-0.6857815980911255,-0.022833146605989896,-43.42403542995453,-2.7534987916666664,1258.0
30720,25,1225,60,0.0004092704424510632,0.3533620215021074,0.10632526129484177,0.0164967,0.9838947653770447,0.10107421875,944,0.2,0.3404734134674072,-0.011957360460655764,-43.425360798835754,-2.7534987916666664,1258.0
31232,25,1225,61,0.0004092704424510632,0.0060102649658801965,-0.022662296891212463,0.025614385,0.983821451663971,0.258056640625,960,0.2,-4.280855655670166,-0.025340244290418923,-43.44034993648529,-2.7534987916666664,1258.0
31744,25,1224,62,0.0004092704424510632,0.0034847298884415068,-0.030694015324115753,0.019307256,0.983169674873352,0.2513427734375,976,0.2,-0.054021596908569336,-0.027739082244806923,-43.42865860462189,-2.75292652,1258.0
32256,26,1224,63,0.0004092704424510632,0.45635779574513435,0.1000995934009552,0.016838823,0.9826761484146118,0.109619140625,992,0.2,0.04549330472946167,-0.023114997471566312,-43.409332394599915,-2.75292652,1258.0
32768,26,1224,64,0.0004092704424510632,0.009574434894602746,-0.0439707450568676,0.022568583,0.9838473200798035,0.248046875,1008,0.2,-4.061191558837891,-0.028398851049132645,-43.41085338592529,-2.7410219230769224,1258.0
33280,27,1224,65,0.0004092704424510632,0.533371314406395,0.2125668227672577,0.00820611,0.9841077327728271,0.052490234375,1024,0.2,0.06867879629135132,-0.011192931167897768,-43.44836103916168,-2.7410219230769224,1258.0
33792,27,1224,66,0.0004092704424510632,0.017999017276451923,-0.036991119384765625,0.019748883,0.9836050271987915,0.19091796875,1040,0.2,-9.98696231842041,-0.023398014367558062,-43.4354704618454,-2.7410219230769224,1258.0
34304,28,1224,67,0.0004092704424510632,0.009503036431851797,-0.027895884588360786,0.024445623,0.9815955758094788,0.2520751953125,1056,0.2,0.01636219024658203,-0.0236848208878655,-43.3936642408371,-2.73934574074074,1258.0
34816,28,1224,68,0.0004092704424510632,0.6015597824007273,0.13010692596435547,0.013572447,0.9812878966331482,0.178955078125,1072,0.2,0.023957788944244385,-0.01611794914060738,-43.3480966091156,-2.73934574074074,1258.0
35328,28,1224,69,0.0004092704424510632,0.04171347228111699,-0.0277823768556118,0.013735943,0.9808027744293213,0.16162109375,1088,0.2,-3.277026653289795,-0.02131486548751127,-43.34554839134216,-2.738111785714285,1258.0
35840,29,1224,70,0.0004092704424510632,0.5043242131359875,0.12457871437072754,0.008862606,0.9801189303398132,0.041748046875,1104,0.2,0.09242570400238037,-0.010895195468037855,-43.324671387672424,-2.738111785714285,1258.0
36352,29,1224,71,0.0004092704424510632,0.005841776252054842,-0.04932263121008873,0.016970929,0.977917492389679,0.2156982421875,1120,0.2,-9.116514205932617,-0.024913845656556077,-43.283987641334534,-2.738111785714285,1258.0
36864,30,1224,72,0.0004092704424510632,0.008118136203847826,-0.03489277511835098,0.022057332,0.97642582654953,0.2626953125,1136,0.2,0.06475192308425903,-0.027059280444518663,-43.22218704223633,-2.7349386896551717,1258.0
37376,30,1223,73,0.0004092704424510632,0.5399570222944021,0.08999882638454437,0.009564985,0.9763519763946533,0.078857421875,1152,0.2,0.08527064323425293,-0.01450101398222614,-43.199686765670776,-2.7349386896551717,1258.0
37888,30,1223,74,0.0004092704424510632,0.02148890108219348,-0.020180583000183105,0.01728891,0.9756919145584106,0.1737060546875,1168,0.2,-3.907402515411377,-0.02055027915048413,-43.19349646568298,-2.739165399999999,1258.0
38400,31,1223,75,0.0004092704424510632,0.6272335206158459,0.0858875960111618,0.0065643694,0.9756965637207031,0.0146484375,1184,0.2,0.1177295446395874,-0.008815592038445175,-43.1806526184082,-2.739165399999999,1258.0
38912,31,1224,76,0.0004092704424510632,0.010415562923299149,-0.0376560278236866,0.02259208,0.9746495485305786,0.2073974609375,1200,0.2,-9.452330589294434,-0.02407523886358831,-43.16975009441376,-2.739165399999999,1258.0
39424,32,1224,77,0.0004092704424510632,0.010858176290639676,-0.03475295752286911,0.022246793,0.9742268323898315,0.2454833984375,1216,0.2,0.07268810272216797,-0.02678447705693543,-43.14123356342316,-2.7385925161290317,1258.0
39936,32,1224,78,0.0004092704424510632,0.5454402095638216,0.11614692211151123,0.011392113,0.974298894405365,0.129638671875,1232,0.2,0.08292150497436523,-0.015121776799787767,-43.13537895679474,-2.7385925161290317,1258.0
40448,33,1224,79,0.0004092704424510632,0.035955042112618685,-0.026620041579008102,0.021025024,0.9737270474433899,0.2213134765625,1248,0.2,-3.28641414642334,-0.026394741580588743,-43.129602789878845,-2.7393234687500003,1258.0
40960,33,1224,80,0.0004092704424510632,0.5046808030456305,0.1296614706516266,0.01271496,0.9732785820960999,0.04345703125,1264,0.2,0.10890036821365356,-0.009153270424576476,-43.10662877559662,-2.7393234687500003,1258.0
41472,33,1224,81,0.0004092704424510632,0.004055884903209517,-0.048672229051589966,0.025326334,0.9728955030441284,0.2427978515625,1280,0.2,-7.614479064941406,-0.030095689566223882,-43.09423017501831,-2.7393234687500003,1258.0
41984,34,1224,82,0.0004092704424510632,0.013502056914148852,-0.03786652535200119,0.01721001,0.9741554856300354,0.212890625,1296,0.2,0.17775392532348633,-0.02400253337691538,-43.103673577308655,-2.7360977575757577,1258.0
42496,34,1224,83,0.0004092704424510632,0.36288322880864143,0.07608796656131744,0.017836152,0.9744128584861755,0.1070556640625,1312,0.2,0.2405177354812622,-0.017164414894068614,-43.13491439819336,-2.7360977575757577,1258.0
43008,35,1224,84,0.0004092704424510632,0.011707412224495783,-0.022567879408597946,0.015451649,0.9746637940406799,0.1759033203125,1328,0.2,-4.359992504119873,-0.0181443687324645,-43.13779330253601,-2.7371624411764706,1258.0
43520,35,1224,85,0.0004092704424510632,0.6627414375543594,0.11540067195892334,0.012053866,0.9750781655311584,0.0592041015625,1344,0.2,0.14228755235671997,-0.015300854531233199,-43.14981019496918,-2.7371624411764706,1258.0
44032,35,1224,86,0.0004092704424510632,0.047514761332422495,-0.007486727088689804,0.014755502,0.9736329317092896,0.152099609375,1360,0.2,0.16247886419296265,-0.01732761440507602,-43.14197051525116,-2.7409400285714285,1258.0
44544,36,1224,87,0.0004092704424510632,0.5825380152091384,0.24306342005729675,0.015385749,0.973141610622406,0.1981201171875,1376,0.2,0.6402991414070129,-0.02024023956619203,-43.094913840293884,-2.7409400285714285,1258.0
45056,36,1224,88,0.0004092704424510632,0.003937648965802509,-0.033763010054826736,0.020509578,0.9748775362968445,0.28515625,1392,0.2,-11.941722869873047,-0.025827474251855165,-43.11482131481171,-2.7409400285714285,1258.0
45568,37,1224,89,0.0004092704424510632,0.003414667913602898,-0.02883763611316681,0.018436719,0.9759007096290588,0.271728515625,1408,0.2,-0.018816232681274414,-0.024763505964074284,-43.158960700035095,-2.7382695555555556,1258.0
46080,37,1224,90,0.0004092704424510632,0.7394821071065962,0.15813088417053223,0.0085950345,0.9759443402290344,0.024169921875,1424,0.2,0.08453810214996338,-0.010762903228169307,-43.17729878425598,-2.7382695555555556,1258.0
46592,38,1223,91,0.0004092704424510632,0.03843253216473386,-0.012860359624028206,0.016642632,0.9769247174263,0.1951904296875,1440,0.2,-0.5362511873245239,-0.023154978378443047,-43.18460810184479,-2.740801864864865,1258.0
47104,38,1223,92,0.0004092704424510632,0.5136955110356212,0.1966697871685028,0.011382129,0.9765113592147827,0.099609375,1456,0.2,0.6243021488189697,-0.008677502351929434,-43.204429268836975,-2.740801864864865,1258.0
47616,38,1223,93,0.0004092704424510632,0.008479610020003747,-0.025685790926218033,0.01793838,0.9757325053215027,0.2164306640625,1472,0.2,-18.11135482788086,-0.021852052814210765,-43.18107080459595,-2.740801864864865,1258.0
48128,39,1223,94,0.0004092704424510632,0.014080601831665263,-0.03733998164534569,0.028417729,0.9772741198539734,0.280029296875,1488,0.2,0.022036433219909668,-0.030416712354053743,-43.17877733707428,-2.7408535526315787,1258.0
48640,39,1223,95,0.0004092704424510632,0.7040756735950708,0.1762986034154892,0.007891443,0.9782507419586182,0.048095703125,1504,0.2,0.08233374357223511,-0.010247281534248032,-43.235575437545776,-2.7408535526315787,1258.0
49152,40,1223,96,0.0004092704424510632,0.015112464461708441,-0.0339505672454834,0.018402748,0.978151261806488,0.20361328125,1520,0.2,-0.47204339504241943,-0.02367832105665002,-43.24553108215332,-2.736818794871795,1258.0
49664,40,1223,97,0.0004092704424510632,0.5595445819199085,0.147604301571846,0.009521279,0.9781485199928284,0.0909423828125,1536,0.2,0.49487781524658203,-0.014077960906433873,-43.24067187309265,-2.736818794871795,1258.0
50176,41,1223,98,0.0004092704424510632,0.009842289960943162,-0.0427604615688324,0.01675055,0.9779185056686401,0.2042236328125,1552,0.2,-15.801218032836914,-0.02727520407643169,-43.23602628707886,-2.736818794871795,1258.0
50688,41,1223,99,0.0004092704424510632,0.012142625433625653,-0.041992880403995514,0.030402552,0.9766370058059692,0.296630859375,1568,0.2,0.04624301195144653,-0.02952521390398033,-43.20875537395477,-2.7378220749999995,1258.0
51200,41,1223,100,0.0004092704424510632,0.7087341984733939,0.15492253005504608,0.010695616,0.9764010310173035,0.0504150390625,1584,0.2,0.07089298963546753,-0.01553457515547052,-43.185666680336,-2.7378220749999995,1258.0
51712,42,1223,101,0.0004092704424510632,0.012609025681740604,-0.03015834465622902,0.013956131,0.977325439453125,0.16650390625,1600,0.2,-2.7029054164886475,-0.018926762859337032,-43.18945336341858,-2.7387191951219507,1258.0
