time/fps,time/episodes,train/n_updates,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/actor_loss,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/critic_loss
25,4,4931,5032,196,-184.114501953125,-121.10235595703125,0.01702762208878994,1258.0,-5.28865025,0.0008459126528049375,1.7495415210723877
26,8,9963,10064,379,-24.06902503967285,-123.02813720703125,0.0011932640336453915,1258.0,-4.227795625,0.0008459126528049375,5.601027965545654
26,12,14995,15096,559,70.16197204589844,-111.91413879394531,0.0012140570906922221,1258.0,-3.530257,0.0008459126528049375,5.646547317504883
26,16,20027,20128,747,-72.36700439453125,-107.41108703613281,0.0007846731459721923,1258.0,-3.1884173125000004,0.0008459126528049375,1.7964444160461426
23,20,25059,25160,6,-49.166316986083984,-87.0660400390625,0.001094681560061872,1258.0,-2.94932045,0.0008459126528049375,3.6983723640441895
24,24,30091,30192,216,53.73916244506836,-82.95491027832031,0.0003282333491370082,1258.0,-2.817677958333333,0.0008459126528049375,0.7658607363700867
24,28,35123,35224,424,55.67085647583008,-81.34477233886719,0.00038755295099690557,1258.0,-2.7151066785714284,0.0008459126528049375,2.2835607528686523
25,32,40155,40256,597,-5.2906599044799805,-58.987815856933594,0.0003452036762610078,1258.0,-2.62742515625,0.0008459126528049375,1.0049076080322266
26,36,45187,45288,776,404.66900634765625,-36.66575241088867,0.0003455964906606823,1258.0,-2.5644511666666663,0.0008459126528049375,22.19854164123535
31,40,50219,50320,10,-12.409280776977539,-34.20268630981445,0.00025231242761947215,1258.0,-2.499062275,0.0008459126528049375,0.8570212721824646
31,44,55251,55352,172,-81.09498596191406,-32.79960632324219,0.0003981506743002683,1258.0,-2.455679,0.0008459126528049375,1.0593414306640625
30,48,60283,60384,335,38.660587310791016,-29.660720825195312,0.0004085366381332278,1258.0,-2.426066604166667,0.0008459126528049375,1.6966156959533691
30,52,65315,65416,499,50.664833068847656,-17.2575740814209,0.001083853654563427,1258.0,-2.384656057692308,0.0008459126528049375,5.022861957550049
30,56,70347,70448,664,35.728660583496094,-13.99134349822998,0.00039208147791214287,1258.0,-2.351435625,0.0008459126528049375,7.0710649490356445
29,60,75379,75480,16,-20.48632049560547,-8.719196319580078,0.0004429555556271225,1258.0,-2.3264130000000005,0.0008459126528049375,3.591247320175171
28,64,80411,80512,192,-32.3960075378418,1.804121732711792,0.0005202333559282124,1258.0,-2.296653984375,0.0008459126528049375,1.1473917961120605
28,68,85443,85544,370,29.476051330566406,2.894326686859131,0.0005303210928104818,1258.0,-2.266768411764706,0.0008459126528049375,0.733112096786499
28,72,90475,90576,547,-23.460487365722656,13.522723197937012,0.000681975157931447,1258.0,-2.2339617499999997,0.0008459126528049375,6.360872745513916
28,76,95507,95608,724,-15.521489143371582,20.178138732910156,0.000647668493911624,1258.0,-2.2143104605263155,0.0008459126528049375,8.12301254272461
