time/fps,time/episodes,train/n_updates,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/actor_loss,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/critic_loss
32,4,4931,5032,155,-163.8760986328125,-124.00204467773438,0.017427822574973106,1258.0,-5.162798,0.0008459126528049375,1.87567138671875
30,8,9963,10064,327,17.627286911010742,-130.3172149658203,0.0012783389538526535,1258.0,-4.1262715,0.0008459126528049375,5.4284234046936035
28,12,14995,15096,521,47.96013259887695,-135.61083984375,0.0008279549074359238,1258.0,-3.4404559999999997,0.0008459126528049375,5.563782691955566
28,16,20027,20128,718,26.206680297851562,-138.2615966796875,0.0006923570763319731,1258.0,-3.05182325,0.0008459126528049375,4.232383728027344
25,20,25059,25160,6,-51.383888244628906,-126.05506134033203,0.0008365928661078215,1258.0,-2.9091761499999995,0.0008459126528049375,1.829515814781189
25,24,30091,30192,203,-11.083158493041992,-102.8868179321289,0.0011603531893342733,1258.0,-2.8064881666666666,0.0008459126528049375,7.055583953857422
25,28,35123,35224,395,5.708165168762207,-101.47806549072266,0.0008757210453040898,1258.0,-2.753140535714286,0.0008459126528049375,7.634391784667969
27,32,40155,40256,559,72.42066192626953,-79.4354248046875,0.00040256953798234463,1258.0,-2.6859856875,0.0008459126528049375,3.5578114986419678
27,36,45187,45288,747,39.69294357299805,-75.33125305175781,0.0004079616046510637,1258.0,-2.622315861111111,0.0008459126528049375,3.6233205795288086
25,40,50219,50320,12,3.247267484664917,-71.13233184814453,0.0003094723797403276,1258.0,-2.560177475,0.0008459126528049375,1.3538813591003418
25,44,55251,55352,207,-21.64881134033203,-66.01948547363281,0.0007198142120614648,1258.0,-2.5100569999999998,0.0008459126528049375,1.8059779405593872
25,48,60283,60384,402,-5.069355487823486,-29.207656860351562,0.002439019735902548,1258.0,-2.47385575,0.0008459126528049375,26.320295333862305
25,52,65315,65416,598,72.20670318603516,-19.927200317382812,0.0009537216392345726,1258.0,-2.4504638461538457,0.0008459126528049375,9.232956886291504
25,56,70347,70448,793,-61.080081939697266,-7.640968322753906,0.0007911287830211222,1258.0,-2.4222871607142857,0.0008459126528049375,5.340506553649902
24,60,75379,75480,19,78.49598693847656,3.315866470336914,0.0008197285351343453,1258.0,-2.3911521833333333,0.0008459126528049375,13.417701721191406
24,64,80411,80512,222,-46.62164306640625,12.261076927185059,0.0008361007203347981,1258.0,-2.3683379218750003,0.0008459126528049375,15.54476547241211
24,68,85443,85544,427,-49.27333450317383,19.67898178100586,0.000993153196759522,1258.0,-2.3607547647058826,0.0008459126528049375,5.557260513305664
24,72,90475,90576,632,-21.76447868347168,34.11185836791992,0.0013979315990582108,1258.0,-2.3389601944444447,0.0008459126528049375,14.848705291748047
24,76,95507,95608,838,-11.517566680908203,50.08631134033203,0.0021759197115898132,1258.0,-2.3163822763157893,0.0008459126528049375,50.406517028808594
