time/fps,time/episodes,train/n_updates,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/actor_loss,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/critic_loss
26,4,4931,5032,192,-182.0011444091797,-123.03288269042969,0.017001237720251083,1258.0,-5.243745,0.0008459126528049375,3.270674228668213
25,8,9963,10064,391,-68.78728485107422,-133.0826416015625,0.0011431608581915498,1258.0,-4.336659375,0.0008459126528049375,5.148270606994629
26,12,14995,15096,571,-17.305828094482422,-135.58241271972656,0.0010322215966880322,1258.0,-3.7207434166666666,0.0008459126528049375,6.581001281738281
27,16,20027,20128,735,-51.85469055175781,-136.01014709472656,0.0010379598243162036,1258.0,-3.3164056874999996,0.0008459126528049375,3.6178178787231445
25,20,25059,25160,6,28.037322998046875,-120.48491668701172,0.0010195801733061671,1258.0,-3.13708745,0.0008459126528049375,3.423037528991699
25,24,30091,30192,206,0.18691492080688477,-94.94776916503906,0.0014011021703481674,1258.0,-2.9642082083333334,0.0008459126528049375,7.3698015213012695
25,28,35123,35224,403,125.61555480957031,-74.5274429321289,0.001405936200171709,1258.0,-2.8784492857142863,0.0008459126528049375,17.25794219970703
25,32,40155,40256,600,-32.14035415649414,-67.98019409179688,0.0009233628516085446,1258.0,-2.8146671875,0.0008459126528049375,4.672206878662109
25,36,45187,45288,796,-17.367259979248047,-48.44058609008789,0.0010356653947383165,1258.0,-2.737072888888889,0.0008459126528049375,3.1218175888061523
25,40,50219,50320,12,-47.950809478759766,-43.99435043334961,0.0004323226457927376,1258.0,-2.67083605,0.0008459126528049375,15.024462699890137
25,44,55251,55352,206,26.822107315063477,-40.254486083984375,0.0002773359592538327,1258.0,-2.610037295454546,0.0008459126528049375,2.9637832641601562
26,48,60283,60384,391,-51.9036865234375,-17.313432693481445,0.0014182061422616243,1258.0,-2.550093604166667,0.0008459126528049375,6.339020729064941
27,52,65315,65416,554,52.557395935058594,-7.620841979980469,0.0007119816145859659,1258.0,-2.5207485000000003,0.0008459126528049375,2.44838809967041
28,56,70347,70448,718,39.39498519897461,-6.8122100830078125,0.0009398964466527104,1258.0,-2.4919828928571426,0.0008459126528049375,3.4877452850341797
29,60,75379,75480,16,-72.4877700805664,-4.673286437988281,0.0005700816982425749,1258.0,-2.468276833333334,0.0008459126528049375,0.7499197721481323
28,64,80411,80512,191,-14.743346214294434,8.537430763244629,0.001427905517630279,1258.0,-2.443852984375,0.0008459126528049375,17.791086196899414
28,68,85443,85544,367,10.880565643310547,15.883184432983398,0.0013225415023043752,1258.0,-2.426032823529412,0.0008459126528049375,5.393828392028809
28,72,90475,90576,545,-21.701738357543945,16.497310638427734,0.0012621054193004966,1258.0,-2.399077986111111,0.0008459126528049375,25.273765563964844
28,76,95507,95608,722,-31.59288787841797,22.874488830566406,0.001165102468803525,1258.0,-2.382669986842105,0.0008459126528049375,8.0661039352417
