time/fps,time/episodes,train/n_updates,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/actor_loss,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/critic_loss
32,4,4931,5032,153,-149.2605438232422,-121.38130187988281,0.017073892056941986,1258.0,-5.3004415,0.0008459126528049375,4.563662528991699
32,8,9963,10064,311,10.24328327178955,-129.70388793945312,0.001089749508537352,1258.0,-4.111389375,0.0008459126528049375,3.8122570514678955
32,12,14995,15096,471,5.641676425933838,-132.13926696777344,0.0007043165387585759,1258.0,-3.6254489999999997,0.0008459126528049375,1.8379112482070923
31,16,20027,20128,631,-20.030006408691406,-118.08712005615234,0.0012716585770249367,1258.0,-3.3030375624999997,0.0008459126528049375,3.66935396194458
31,20,25059,25160,5,75.43942260742188,-97.7020263671875,0.001538613112643361,1258.0,-3.1283156500000002,0.0008459126528049375,8.418621063232422
31,24,30091,30192,164,6.584725379943848,-76.09894561767578,0.0013004557695239782,1258.0,-2.9757112083333332,0.0008459126528049375,9.529022216796875
31,28,35123,35224,324,-41.103485107421875,-73.34428405761719,0.0005256037693470716,1258.0,-2.88315,0.0008459126528049375,1.3363847732543945
31,32,40155,40256,485,17.443161010742188,-67.92741394042969,0.0004934549215249717,1258.0,-2.83302221875,0.0008459126528049375,1.1307458877563477
31,36,45187,45288,644,-59.414222717285156,-51.60023498535156,0.0006205846439115703,1258.0,-2.7925678611111113,0.0008459126528049375,2.5432634353637695
31,40,50219,50320,10,-24.787521362304688,-42.56602096557617,0.0004359045997262001,1258.0,-2.7745365499999997,0.0008459126528049375,1.4931973218917847
31,44,55251,55352,168,19.159835815429688,-36.26564025878906,0.00064963469048962,1258.0,-2.727611,0.0008459126528049375,2.2750391960144043
31,48,60283,60384,328,9.978327751159668,-33.934173583984375,0.0006630024872720242,1258.0,-2.685847729166667,0.0008459126528049375,1.4601064920425415
31,52,65315,65416,488,30.733469009399414,-27.93102264404297,0.0006293827900663018,1258.0,-2.648253711538462,0.0008459126528049375,1.7685563564300537
31,56,70347,70448,649,153.67066955566406,-23.018388748168945,0.001220031059347093,1258.0,-2.604438160714286,0.0008459126528049375,17.212936401367188
29,60,75379,75480,16,41.114173889160156,-16.096900939941406,0.000775694556068629,1258.0,-2.5871208166666677,0.0008459126528049375,16.28126335144043
29,64,80411,80512,189,5.1125664710998535,-15.249007225036621,0.0005200322484597564,1258.0,-2.5710585000000004,0.0008459126528049375,1.2856800556182861
28,68,85443,85544,364,-48.72351837158203,-6.702908515930176,0.0010973401367664337,1258.0,-2.550225617647059,0.0008459126528049375,5.287599086761475
27,72,90475,90576,567,-27.317197799682617,-0.8585983514785767,0.000714171037543565,1258.0,-2.5356261388888885,0.0008459126528049375,6.294028282165527
26,76,95507,95608,772,-10.334396362304688,1.619243860244751,0.0005148687632754445,1258.0,-2.512379565789474,0.0008459126528049375,11.130462646484375
