train/learning_rate,train/ent_coef,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,train/ent_coef_loss,train/n_updates,time/fps,time/episodes,train/critic_loss,time/total_timesteps
0.0008459126528049375,0.017725862562656403,-4.785576750000001,1257.0,-123.07272338867188,227,-172.2449493408203,4927,22,4,1.8467236757278442,5028
0.0008459126528049375,0.0013755238614976406,-3.7295981250000003,1257.0,-130.1374053955078,455,-8.36939811706543,9955,22,8,4.399632453918457,10056
0.0008459126528049375,0.001456317724660039,-3.1007757500000004,1257.0,-129.98721313476562,676,-22.916170120239258,14983,22,12,5.015783309936523,15084
0.0008459126528049375,0.0014067442389205098,-2.7502482500000003,1257.0,-134.14353942871094,915,64.70464324951172,20011,21,16,4.64360237121582,20112
0.0008459126528049375,0.000869921816047281,-2.5749720500000004,1257.0,-132.941650390625,6,61.41202926635742,25039,23,20,1.912989854812622,25140
0.0008459126528049375,0.0008121401770040393,-2.425522583333333,1257.0,-114.97124481201172,236,-13.690312385559082,30067,21,24,2.7658748626708984,30168
0.0008459126528049375,0.000703805941157043,-2.2960005000000003,1257.0,-106.88496398925781,467,26.942760467529297,35095,21,28,33.68547439575195,35196
0.0008459126528049375,0.0005368069978430867,-2.22777859375,1257.0,-81.33018493652344,699,-34.67744445800781,40123,21,32,5.440540790557861,40224
0.0008459126528049375,0.0006245396798476577,-2.186011611111111,1257.0,-73.01734924316406,933,-73.12890625,45151,21,36,6.475248336791992,45252
0.0008459126528049375,0.00035261851735413074,-2.1817141749999998,1257.0,-65.5301513671875,12,-29.7412166595459,50179,22,40,4.602226257324219,50280
0.0008459126528049375,0.0013892650604248047,-2.130665159090909,1257.0,-62.159244537353516,239,-11.498649597167969,55207,22,44,4.535714626312256,55308
0.0008459126528049375,0.00041569164022803307,-2.0717978958333334,1257.0,-56.362327575683594,470,-61.32981872558594,60235,21,48,1.053729772567749,60336
0.0008459126528049375,0.001278589479625225,-2.029283903846154,1257.0,-30.849843978881836,703,-14.660280227661133,65263,21,52,5.813030242919922,65364
0.0008459126528049375,0.0009075436973944306,-1.9835836428571427,1257.0,-22.59042739868164,943,22.262826919555664,70291,21,56,6.374428749084473,70392
0.0008459126528049375,0.0014698464656248689,-1.9406465499999999,1257.0,-10.993687629699707,21,11.649271011352539,75319,19,60,10.0429048538208,75420
0.0008459126528049375,0.001575689879246056,-1.898505515625,1257.0,-8.575718879699707,292,-35.02411651611328,80347,18,64,5.355043888092041,80448
