time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,train/std,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,3988,0,,,,,,,,,,,,,
1024,2,1849,0,0.2,-0.028639841184485704,16,0.0004092704424510632,-0.035358525812625885,0.9982951283454895,-43.96636915206909,0.016627792,0.2353515625,0.2213047440709488,-2.282510280609131,,
1536,3,1585,0,0.2,-0.029562855313997716,32,0.0004092704424510632,-0.032236188650131226,0.9976262450218201,-43.91917896270752,0.016744588,0.2841796875,0.0025828152101894375,-0.0007953643798828125,-2.200489,1223.0
2048,4,1479,1,0.2,-0.026117159897694364,48,0.0004092704424510632,-0.03021281585097313,0.9949110746383667,-43.878458738327026,0.0134182945,0.2325439453125,0.003181209343892988,0.007188856601715088,-2.200489,1223.0
2560,5,1419,1,0.2,-0.027295616426272318,64,0.0004092704424510632,-0.02713608928024769,0.9938162565231323,-43.80306136608124,0.022221792,0.298828125,0.0020282374334783526,0.0068468451499938965,-2.2581765000000003,1223.0
3072,6,1383,2,0.2,-0.026345626421971247,80,0.0004092704424510632,-0.037317920476198196,0.993898332118988,-43.787657260894775,0.013586034,0.2481689453125,0.0045487150200642645,0.004246890544891357,-2.2581765000000003,1223.0
3584,7,1360,2,0.2,-0.02497752469207626,96,0.0004092704424510632,-0.038333360105752945,0.9949169754981995,-43.8093204498291,0.013330065,0.2435302734375,0.002430242759146495,-0.0015430450439453125,-2.2581765000000003,1223.0
4096,8,1344,3,0.2,-0.029910113022197038,112,0.0004092704424510632,-0.05534418299794197,0.9961055517196655,-43.8425589799881,0.020331956,0.310302734375,0.002428836429317016,0.006102204322814941,-2.2719823333333333,1223.0
4608,9,1330,3,0.2,-0.019175045483279973,128,0.0004092704424510632,-0.023079168051481247,0.9946627616882324,-43.84718990325928,0.011184932,0.194091796875,0.012485382612794638,0.001122891902923584,-2.2719823333333333,1223.0
5120,10,1314,3,0.2,-0.020857538795098662,144,0.0004092704424510632,-0.03234951198101044,0.9939041137695312,-43.80126917362213,0.013763798,0.2254638671875,0.0016183831721718889,0.012214601039886475,-2.31895175,1223.0
5632,11,1305,4,0.2,-0.025083492568228394,160,0.0004092704424510632,-0.027238156646490097,0.9944595098495483,-43.793468594551086,0.016454432,0.241943359375,0.018019327835645527,0.0012975335121154785,-2.31895175,1223.0
6144,12,1296,4,0.2,-0.024216777776018716,176,0.0004092704424510632,-0.02664017677307129,0.9931606650352478,-43.793535232543945,0.012726922,0.205078125,0.0016009113896870986,-0.0042601823806762695,-2.3373182,1223.0
6656,13,1292,5,0.2,-0.02707230456871912,192,0.0004092704424510632,-0.0246724970638752,0.9919583201408386,-43.745587944984436,0.01897715,0.2239990234375,0.02531015157001093,0.001167893409729004,-2.3373182,1223.0
7168,14,1287,5,0.2,-0.025887849784339778,208,0.0004092704424510632,-0.04126860946416855,0.9931351542472839,-43.74430811405182,0.016509045,0.202880859375,0.0022205593522812705,0.009176135063171387,-2.3373182,1223.0
7680,15,1284,5,0.2,-0.02355945241288282,224,0.0004092704424510632,-0.03164934366941452,0.9942278861999512,-43.781163811683655,0.015246678,0.2069091796875,0.002472960710292682,-0.00042057037353515625,-2.3178300000000003,1223.0
8192,16,1281,6,0.2,-0.03312034497503191,240,0.0004092704424510632,-0.03341100737452507,0.992750346660614,-43.784380316734314,0.036554046,0.2825927734375,0.04101996892131865,0.0004929900169372559,-2.3178300000000003,1223.0
8704,17,1280,6,0.2,-0.02592342786374502,256,0.0004092704424510632,-0.031167782843112946,0.9906035661697388,-43.71604824066162,0.021446494,0.2386474609375,0.0017755828885128722,-0.001052260398864746,-2.325119285714286,1223.0
9216,18,1277,7,0.2,-0.023345347653958015,272,0.0004092704424510632,-0.005954314023256302,0.9924029111862183,-43.70446038246155,0.016238915,0.18994140625,0.04666188673581928,0.0011553168296813965,-2.325119285714286,1223.0
9728,19,1273,7,0.2,-0.028172376347356476,288,0.0004092704424510632,-0.03302737697958946,0.9922604560852051,-43.74449670314789,0.022525297,0.2530517578125,0.001550837008835515,0.0020807981491088867,-2.325119285714286,1223.0
10240,20,1268,8,0.2,-0.018644860523636453,304,0.0004092704424510632,-0.031045671552419662,0.9900464415550232,-43.703704476356506,0.011918278,0.166259765625,0.0026369418592366856,0.002200603485107422,-2.2975531250000003,1223.0
10752,21,1267,8,0.2,-0.02899760886793956,320,0.0004092704424510632,-0.010687856003642082,0.9897444844245911,-43.653663754463196,0.02624964,0.2491455078125,0.059109098627232015,0.00032013654708862305,-2.2975531250000003,1223.0
11264,22,1265,8,0.2,-0.021658739919075742,336,0.0004092704424510632,-0.024497412145137787,0.9901527166366577,-43.66006410121918,0.0155494185,0.190673828125,0.0019982426856586244,0.005572497844696045,-2.301428555555556,1223.0
11776,23,1264,9,0.2,-0.024293452486745082,352,0.0004092704424510632,0.01667669042944908,0.9909241199493408,-43.679280042648315,0.017747272,0.232177734375,0.06925045512616634,0.0003120899200439453,-2.301428555555556,1223.0
12288,24,1263,9,0.2,-0.022578606673050672,368,0.0004092704424510632,-0.03007163107395172,0.9896085262298584,-43.67259216308594,0.015175212,0.180908203125,0.0013276552926981822,-0.05852973461151123,-2.3048263,1223.0
12800,25,1262,10,0.2,-0.020953116327291355,384,0.0004092704424510632,0.014247339218854904,0.9889096617698669,-43.63194537162781,0.01559121,0.197021484375,0.08132624998688698,0.00039631128311157227,-2.3048263,1223.0
13312,26,1260,10,0.2,-0.02717858020332642,400,0.0004092704424510632,-0.03750219568610191,0.9888992309570312,-43.61765229701996,0.015105922,0.214599609375,0.0027447234497230966,0.0071083903312683105,-2.3048263,1223.0
13824,27,1258,10,0.2,-0.026762368899653666,416,0.0004092704424510632,-0.04192791506648064,0.989406943321228,-43.62874114513397,0.019320793,0.226806640625,0.0028443032133509405,0.00043332576751708984,-2.300019272727273,1223.0
14336,28,1257,11,0.2,-0.020494333060923964,432,0.0004092704424510632,0.019194889813661575,0.9900026917457581,-43.64537262916565,0.016872749,0.1834716796875,0.1001338039059192,0.00019824504852294922,-2.300019272727273,1223.0
14848,29,1256,11,0.2,-0.032021129634813406,448,0.0004092704424510632,-0.0434231273829937,0.9899778962135315,-43.65443968772888,0.023845688,0.259765625,0.0015827395509404596,-0.0014662742614746094,-2.294826,1223.0
15360,30,1255,12,0.2,-0.028088355917134322,464,0.0004092704424510632,0.001808997243642807,0.9896460771560669,-43.65300631523132,0.022958566,0.2554931640625,0.09958373475819826,0.0005239248275756836,-2.294826,1223.0
15872,31,1254,12,0.2,-0.019535630228347145,480,0.0004092704424510632,-0.04088543727993965,0.9884664416313171,-43.62227785587311,0.012366978,0.1865234375,0.0018932946768472902,-0.02565443515777588,-2.294826,1223.0
16384,32,1253,13,0.2,-0.022784762375522405,496,0.0004092704424510632,-0.021077217534184456,0.9879384636878967,-43.59115242958069,0.0137346,0.190673828125,0.002887148399167927,0.0007879734039306641,-2.296221307692308,1223.0
16896,33,1252,13,0.2,-0.02517003820685204,512,0.0004092704424510632,0.005982767790555954,0.9887298345565796,-43.59196937084198,0.041881256,0.2939453125,0.09108632151037455,0.0001342296600341797,-2.296221307692308,1223.0
17408,34,1251,13,0.2,-0.022647422636509873,528,0.0004092704424510632,-0.03497100993990898,0.9904128909111023,-43.62861204147339,0.015030965,0.234619140625,0.002611383137264056,-0.0003325939178466797,-2.3001195000000005,1223.0
17920,35,1251,14,0.2,-0.024619555129902437,544,0.0004092704424510632,0.02902843803167343,0.9908086657524109,-43.667611956596375,0.018048463,0.224609375,0.13155148713849485,0.00022071599960327148,-2.3001195000000005,1223.0
18432,36,1250,14,0.2,-0.027521007606992498,560,0.0004092704424510632,-0.04001792520284653,0.9892417192459106,-43.64362585544586,0.020568885,0.271240234375,0.0012726884069707012,-0.00489044189453125,-2.2908831333333337,1223.0
18944,37,1250,15,0.2,-0.02291643072385341,576,0.0004092704424510632,0.03540606424212456,0.9881724715232849,-43.59685218334198,0.019520022,0.2244873046875,0.12807042710483074,0.0004545450210571289,-2.2908831333333337,1223.0
19456,38,1249,15,0.2,-0.02285260423377622,592,0.0004092704424510632,-0.021893609315156937,0.9880260825157166,-43.57262051105499,0.019584628,0.2247314453125,0.0018937420027214102,-0.004681587219238281,-2.2908831333333337,1223.0
19968,39,1248,15,0.2,-0.021110828631208278,608,0.0004092704424510632,-0.01761939562857151,0.9881489872932434,-43.571014642715454,0.016567284,0.196044921875,0.0027816805959446356,0.0011789798736572266,-2.2869475625,1223.0
20480,40,1247,16,0.2,-0.02153275797900278,624,0.0004092704424510632,0.03877157345414162,0.9884997010231018,-43.57434523105621,0.02039427,0.2156982421875,0.15028400695882738,0.0003139972686767578,-2.2869475625,1223.0
20992,41,1247,16,0.2,-0.02651109019643627,640,0.0004092704424510632,-0.036942798644304276,0.9882951378822327,-43.57687246799469,0.024582274,0.2843017578125,0.0017172582065541064,-0.0040885210037231445,-2.287652117647059,1223.0
21504,42,1247,17,0.2,-0.02926841552834958,656,0.0004092704424510632,0.031377047300338745,0.9876577854156494,-43.560593605041504,0.025721934,0.251953125,0.14191486407071352,0.0009658336639404297,-2.287652117647059,1223.0
22016,43,1247,17,0.2,-0.02864220524497796,672,0.0004092704424510632,-0.041568007320165634,0.9863212704658508,-43.53112530708313,0.018810928,0.2496337890625,0.0014929613844287815,-0.027959585189819336,-2.2895205,1223.0
22528,44,1246,18,0.2,-0.025032728924998082,688,0.0004092704424510632,0.03645436838269234,0.9857195019721985,-43.498067021369934,0.024857042,0.265380859375,0.14052869868464768,0.0011345744132995605,-2.2895205,1223.0
23040,45,1246,18,0.2,-0.025271101694670506,704,0.0004092704424510632,-0.03079618513584137,0.9830745458602905,-43.45234537124634,0.018619388,0.2569580078125,0.0028592550770554226,0.012003779411315918,-2.2895205,1223.0
23552,46,1246,18,0.2,-0.026080797688337043,720,0.0004092704424510632,-0.04595896974205971,0.9851920008659363,-43.42641496658325,0.020845057,0.2498779296875,0.003243228482460836,-0.0007779598236083984,-2.285210157894737,1223.0
