time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,train/std,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,4043,0,,,,,,,,,,,,,
1024,2,1911,0,0.2,-0.03604591733892448,16,0.0004092704424510632,-0.03589051961898804,0.9998266696929932,-43.98227632045746,0.016751636,0.2706298828125,0.07548490782937733,-0.19626080989837646,,
1536,3,1639,0,0.2,-0.025878138083498925,32,0.0004092704424510632,-0.02293822169303894,1.0001097917556763,-43.98529851436615,0.015111599,0.2412109375,0.002624448596179718,0.017249584197998047,-2.374066,1223.0
2048,4,1534,1,0.2,-0.024461700362735428,48,0.0004092704424510632,-0.0350489504635334,0.9979757070541382,-43.96247959136963,0.011049712,0.2137451171875,0.008045662252698094,0.0032427310943603516,-2.374066,1223.0
2560,5,1470,1,0.2,-0.02775380070670508,64,0.0004092704424510632,-0.030455438420176506,0.9972521066665649,-43.90386748313904,0.0147359865,0.251953125,0.0014687912589579355,0.01560884714126587,-2.3759215,1223.0
3072,6,1429,2,0.2,-0.024105903547024354,80,0.0004092704424510632,-0.01995137147605419,0.9978053569793701,-43.90558660030365,0.014741592,0.252197265625,0.010618109139613807,-0.0006242990493774414,-2.3759215,1223.0
3584,7,1402,2,0.2,-0.024375580658670515,96,0.0004092704424510632,-0.02728925086557865,0.9968122243881226,-43.90309703350067,0.0147947995,0.2232666015625,0.0019398971089685801,0.02996373176574707,-2.3759215,1223.0
4096,8,1383,2,0.2,-0.02665353025076911,112,0.0004092704424510632,-0.030428335070610046,0.9970897436141968,-43.88217735290527,0.016885743,0.2430419921875,0.0025126466862275265,0.022701501846313477,-2.349852,1223.0
4608,9,1367,3,0.2,-0.029540343472035602,128,0.0004092704424510632,-0.022714316844940186,0.998102068901062,-43.90361297130585,0.023095213,0.267333984375,0.022405664960388094,0.002185642719268799,-2.349852,1223.0
5120,10,1356,3,0.2,-0.026036795577965677,144,0.0004092704424510632,-0.03230859339237213,0.9982924461364746,-43.9256796836853,0.027135823,0.269287109375,0.0018575497651909245,0.03341621160507202,-2.3576465,1223.0
5632,11,1347,4,0.2,-0.02429289696738124,160,0.0004092704424510632,-0.011504478752613068,0.9976850748062134,-43.918957591056824,0.017303523,0.2181396484375,0.029051774472463876,0.004703223705291748,-2.3576465,1223.0
6144,12,1340,4,0.2,-0.021426505874842405,176,0.0004092704424510632,-0.041183874011039734,0.9964702725410461,-43.88974988460541,0.012430709,0.1771240234375,0.0016554490102862474,-0.002959609031677246,-2.3493484,1223.0
6656,13,1331,4,0.2,-0.023622450447874144,192,0.0004092704424510632,-0.020683543756604195,0.997251570224762,-43.87552213668823,0.017535862,0.230224609375,0.03338026552228257,0.006188750267028809,-2.3493484,1223.0
7168,14,1326,5,0.2,-0.023384704851196148,208,0.0004092704424510632,-0.025017710402607918,0.9971603751182556,-43.892969727516174,0.01672417,0.2117919921875,0.0028037551055604126,0.08216643333435059,-2.3493484,1223.0
7680,15,1321,5,0.2,-0.02331137945293449,224,0.0004092704424510632,-0.03564203158020973,0.9958718419075012,-43.87108564376831,0.016150512,0.2197265625,0.002645969783770852,-0.02362954616546631,-2.3342846666666666,1223.0
8192,16,1319,6,0.2,-0.023585737246321514,240,0.0004092704424510632,-0.017003152519464493,0.9951499104499817,-43.834147691726685,0.018204248,0.21337890625,0.04509261669591069,0.005804479122161865,-2.3342846666666666,1223.0
8704,17,1314,6,0.2,-0.027125749737024307,256,0.0004092704424510632,-0.03193870931863785,0.9943494200706482,-43.80911135673523,0.021180848,0.2637939453125,0.0015037499615573324,-0.042334794998168945,-2.328257142857143,1223.0
