time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,train/std,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,4086,0,,,,,,,,,,,,,
1024,2,1865,0,0.2,-0.03337430258397944,16,0.0004092704424510632,-0.03321613371372223,1.0006591081619263,-43.992477774620056,0.01711154,0.2635498046875,0.18261987023288384,-0.554262638092041,,
1536,3,1587,0,0.2,-0.033818035619333386,32,0.0004092704424510632,-0.039805229753255844,1.0003129243850708,-44.0051087141037,0.022035455,0.2928466796875,0.003442853965680115,-0.18872451782226562,-2.302123,1223.0
2048,4,1478,1,0.2,-0.026805763118318282,48,0.0004092704424510632,-0.026496972888708115,0.9990561008453369,-43.97503483295441,0.020954285,0.299560546875,0.017344959982438013,0.0275687575340271,-2.302123,1223.0
2560,5,1420,1,0.2,-0.022393512903363444,64,0.0004092704424510632,-0.03669857978820801,0.9996662139892578,-43.95903170108795,0.013965709,0.2166748046875,0.0018765094137052074,-0.23302316665649414,-2.3754739999999996,1223.0
3072,6,1383,2,0.2,-0.02898772327171173,80,0.0004092704424510632,-0.021069005131721497,0.9995760917663574,-43.9745055437088,0.018998815,0.303955078125,0.021469316503498703,0.025704383850097656,-2.3754739999999996,1223.0
3584,7,1361,2,0.2,-0.022416261141188443,96,0.0004092704424510632,-0.02759428508579731,0.9991258978843689,-43.96430861949921,0.016957376,0.223388671875,0.0024235106211563107,-0.09331536293029785,-2.3754739999999996,1223.0
4096,8,1341,3,0.2,-0.028612102789338678,112,0.0004092704424510632,-0.04096253588795662,1.0003316402435303,-43.97105944156647,0.019189183,0.27099609375,0.0026279213197994977,-0.04189956188201904,-2.3308176666666665,1223.0
4608,9,1320,3,0.2,-0.02485071524279192,128,0.0004092704424510632,-0.02163623832166195,1.0008440017700195,-44.00062346458435,0.019287132,0.239990234375,0.03266837581759319,0.010485649108886719,-2.3308176666666665,1223.0
5120,10,1307,3,0.2,-0.025300063891336322,144,0.0004092704424510632,-0.024912042543292046,1.0005255937576294,-44.00639986991882,0.018814482,0.250244140625,0.001698365167612792,-0.1566699743270874,-2.27187825,1223.0
5632,11,1298,4,0.2,-0.02417237042391207,160,0.0004092704424510632,-0.017924081534147263,1.001805305480957,-44.01482582092285,0.017829172,0.2420654296875,0.037941578309983015,0.024664580821990967,-2.27187825,1223.0
6144,12,1291,4,0.2,-0.02007541779312305,176,0.0004092704424510632,-0.039746057242155075,1.0017187595367432,-44.040833711624146,0.014910543,0.20849609375,0.001507143781054765,-0.6807326078414917,-2.2577013999999997,1223.0
6656,13,1285,5,0.2,-0.029124989203410223,192,0.0004092704424510632,-0.019516900181770325,0.9993661642074585,-44.00251924991608,0.019236995,0.2615966796875,0.038113666349090636,0.04827892780303955,-2.2577013999999997,1223.0
7168,14,1281,5,0.2,-0.02431663332390599,208,0.0004092704424510632,-0.03325582295656204,0.9985533356666565,-43.94212555885315,0.015116138,0.2125244140625,0.005341502670489717,0.22035139799118042,-2.2577013999999997,1223.0
7680,15,1278,6,0.2,-0.027818397124065086,224,0.0004092704424510632,-0.032935742288827896,0.9986644983291626,-43.93622708320618,0.018333955,0.2513427734375,0.002496069089829689,-0.010379672050476074,-2.242642333333333,1223.0
8192,16,1275,6,0.2,-0.023388418514514342,240,0.0004092704424510632,-0.011251544579863548,1.0007795095443726,-43.9668892621994,0.016121032,0.199951171875,0.061223990633152425,0.012627899646759033,-2.242642333333333,1223.0
8704,17,1273,6,0.2,-0.021823912422405556,256,0.0004092704424510632,-0.02832711860537529,1.0015523433685303,-44.01875841617584,0.015105185,0.2037353515625,0.0030472453217953444,-0.3084295988082886,-2.278323,1223.0
9216,18,1270,7,0.2,-0.030345262508490123,272,0.0004092704424510632,-0.009861014783382416,1.0005890130996704,-44.011680245399475,0.026066681,0.314208984375,0.05880813312251121,0.05421900749206543,-2.278323,1223.0
9728,19,1267,7,0.2,-0.022092882565630134,288,0.0004092704424510632,-0.01675662398338318,0.9996575117111206,-43.981459975242615,0.015177112,0.1988525390625,0.0032727964426157996,-0.4013493061065674,-2.278323,1223.0
10240,20,1263,8,0.2,-0.023442415986210108,304,0.0004092704424510632,-0.05040639266371727,0.999365508556366,-43.96429622173309,0.018299956,0.218505859375,0.003405555347853806,0.11166304349899292,-2.266829875,1223.0
10752,21,1263,8,0.2,-0.028109219056204893,320,0.0004092704424510632,-0.007034938782453537,0.9989752769470215,-43.95426964759827,0.022269074,0.25927734375,0.06836692208889872,0.032228946685791016,-2.266829875,1223.0
