rollout/ep_len_mean,train/ent_coef,train/actor_loss,time/episodes,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/learning_rate,train/critic_loss,time/total_timesteps
1258.0,0.017153088003396988,-123.23265838623047,4,4931,129,-4.887080500000001,38,-179.59750366210938,0.0008459126528049375,1.2148429155349731,5032
1258.0,0.0010030673583969474,-131.3764190673828,8,9963,286,-3.907894625,35,-41.25590133666992,0.0008459126528049375,3.269731044769287,10064
1258.0,0.0012220425996929407,-133.585693359375,12,14995,448,-3.3402784999999997,33,-64.06560516357422,0.0008459126528049375,4.090116500854492,15096
1258.0,0.0010126210981979966,-137.75405883789062,16,20027,611,-3.0093916875,32,32.21788024902344,0.0008459126528049375,8.33253288269043,20128
1258.0,0.00122643425129354,-141.77426147460938,20,25059,5,-2.7984959999999997,30,-17.34056854248047,0.0008459126528049375,7.949868202209473,25160
1258.0,0.0011474528582766652,-136.7348175048828,24,30091,172,-2.654044708333333,30,-87.94511413574219,0.0008459126528049375,6.6977009773254395,30192
1258.0,0.0009654005989432335,-133.97848510742188,28,35123,340,-2.5582474285714283,30,24.52507209777832,0.0008459126528049375,5.158051490783691,35224
1258.0,0.0003977940941695124,-130.3420867919922,32,40155,505,-2.4756785624999997,30,-89.84175872802734,0.0008459126528049375,4.390674591064453,40256
1258.0,0.0007232123170979321,-123.98881530761719,36,45187,667,-2.4070012222222217,30,27.665578842163086,0.0008459126528049375,4.263850688934326,45288
1258.0,0.0007209731847979128,-105.14058685302734,40,50219,10,-2.3566133000000002,31,74.07923126220703,0.0008459126528049375,9.495250701904297,50320
1258.0,0.0010498720221221447,-101.55792999267578,44,55251,172,-2.2993147954545456,31,53.91718292236328,0.0008459126528049375,5.496856212615967,55352
1258.0,0.0009160182089544833,-99.702880859375,48,60283,334,-2.2483072291666666,31,38.61635971069336,0.0008459126528049375,6.025416851043701,60384
1258.0,0.0011938291136175394,-63.760398864746094,52,65315,497,-2.1963150000000002,31,9.836467742919922,0.0008459126528049375,29.500946044921875,65416
1258.0,0.001210855320096016,-55.892539978027344,56,70347,661,-2.168472625,30,24.753253936767578,0.0008459126528049375,8.338067054748535,70448
1258.0,0.000980263575911522,-50.39644241333008,60,75379,16,-2.1256368500000002,29,-1.6473472118377686,0.0008459126528049375,7.049807548522949,75480
1258.0,0.0007255960954353213,-42.33815002441406,64,80411,191,-2.094878640625,28,-44.72891616821289,0.0008459126528049375,7.074131011962891,80512
1258.0,0.0006574105354957283,-32.29437255859375,68,85443,369,-2.0686050441176476,28,1.5472447872161865,0.0008459126528049375,8.02056884765625,85544
1258.0,0.0006126635707914829,-25.88214683532715,72,90475,521,-2.052189513888889,29,178.28147888183594,0.0008459126528049375,4.946308135986328,90576
1258.0,0.0006050674710422754,-13.592175483703613,76,95507,659,-2.0278358947368424,31,-129.27520751953125,0.0008459126528049375,6.2873005867004395,95608
