rollout/ep_len_mean,train/ent_coef,train/actor_loss,time/episodes,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/learning_rate,train/critic_loss,time/total_timesteps
1258.0,0.017573289573192596,-123.62386322021484,4,4931,121,-5.08478475,41,-166.27786254882812,0.0008459126528049375,2.5496668815612793,5032
1258.0,0.0011335747549310327,-129.7164764404297,8,9963,253,-4.0956475,39,-25.74567985534668,0.0008459126528049375,3.7520527839660645,10064
1258.0,0.0006611853023059666,-134.98243713378906,12,14995,405,-3.4084138333333325,37,48.28952407836914,0.0008459126528049375,5.030788421630859,15096
1258.0,0.001086871954612434,-139.38365173339844,16,20027,532,-3.0344296875000003,37,-8.0380220413208,0.0008459126528049375,5.866063594818115,20128
1258.0,0.0009327528532594442,-142.75396728515625,20,25059,4,-2.8015853500000003,39,38.16942596435547,0.0008459126528049375,6.2379913330078125,25160
1258.0,0.0008055258076637983,-137.08480834960938,24,30091,131,-2.6616592083333335,39,71.64368438720703,0.0008459126528049375,12.30055046081543,30192
1258.0,0.0007076195906847715,-121.1848373413086,28,35123,254,-2.5700690357142864,40,-54.91688919067383,0.0008459126528049375,5.48811149597168,35224
1258.0,0.0016971512231975794,-108.1083984375,32,40155,376,-2.46645946875,40,-20.35170555114746,0.0008459126528049375,5.71668815612793,40256
1258.0,0.0005642581963911653,-103.34207153320312,36,45187,503,-2.4046250277777776,40,-4.455023765563965,0.0008459126528049375,6.906039237976074,45288
1258.0,0.0006841662107035518,-100.496337890625,40,50219,8,-2.353916225,39,-6.997855186462402,0.0008459126528049375,5.205897331237793,50320
1258.0,0.0006000262801535428,-96.34037780761719,44,55251,134,-2.3173840681818185,39,-21.575191497802734,0.0008459126528049375,2.6408464908599854,55352
1258.0,0.0009175175800919533,-88.05108642578125,48,60283,263,-2.2675657499999997,39,-20.758066177368164,0.0008459126528049375,9.933462142944336,60384
1258.0,0.0014404990943148732,-82.7033920288086,52,65315,417,-2.212046653846154,36,-66.9603271484375,0.0008459126528049375,6.47587776184082,65416
1258.0,0.0011608208296820521,-76.98050689697266,56,70347,582,-2.1767716071428573,35,-25.69900894165039,0.0008459126528049375,11.326105117797852,70448
1258.0,0.0010580013040453196,-69.83550262451172,60,75379,16,-2.1508132833333335,29,-17.691152572631836,0.0008459126528049375,4.926239967346191,75480
1258.0,0.0012897056294605136,-66.70404815673828,64,80411,194,-2.1327985781249996,28,-15.750675201416016,0.0008459126528049375,20.97167205810547,80512
1258.0,0.001035383902490139,-61.13351058959961,68,85443,377,-2.107385132352941,27,-45.594356536865234,0.0008459126528049375,4.3165388107299805,85544
1258.0,0.001034370856359601,-52.20209884643555,72,90475,555,-2.086967680555555,28,2.3417880535125732,0.0008459126528049375,15.232290267944336,90576
1258.0,0.0008060456602834165,-40.11381530761719,76,95507,735,-2.0644241710526314,28,-53.95917510986328,0.0008459126528049375,10.710271835327148,95608
