time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
5,1271,13,6656,192,-43.811997413635254,0.2,0.0004092704424510632,-0.041292790323495865,0.292236328125,0.0037943462884868495,0.01928489,-0.001255631446838379,-0.029695720179006457,0.9941368103027344,-2.290842,1257.0
5,1267,14,7168,208,-43.80293655395508,0.2,0.0004092704424510632,-0.021472565829753876,0.2884521484375,0.026621893979609013,0.01979669,0.0002455711364746094,-0.03037475916062249,0.99472975730896,-2.290842,1257.0
6,1263,15,7680,224,-43.79909670352936,0.2,0.0004092704424510632,-0.031753361225128174,0.3084716796875,0.0024792918302409817,0.025878137,0.0043122172355651855,-0.029030481353402138,0.993034839630127,-2.290899833333333,1257.0
6,1259,16,8192,240,-43.73771893978119,0.2,0.0004092704424510632,-0.014050936326384544,0.2763671875,0.03059110080357641,0.02191215,-0.0007318258285522461,-0.025261910923290998,0.9918964505195618,-2.290899833333333,1257.0
6,1256,17,8704,256,-43.723172307014465,0.2,0.0004092704424510632,-0.03789713606238365,0.2578125,0.005008836022170726,0.019161973,0.003511667251586914,-0.027125439082738012,0.9918435215950012,-2.290899833333333,1257.0
7,1253,18,9216,272,-43.714680194854736,0.2,0.0004092704424510632,-0.03641410171985626,0.2659912109375,0.0037575373571598902,0.021334272,0.0015828609466552734,-0.028136495282524265,0.990967333316803,-2.304876,1257.0
7,1250,19,9728,288,-43.68058753013611,0.2,0.0004092704424510632,-0.007736433297395706,0.2032470703125,0.050955246086232364,0.015372105,0.0009462833404541016,-0.0244870853057364,0.9902578592300415,-2.304876,1257.0
8,1248,20,10240,304,-43.63037884235382,0.2,0.0004092704424510632,-0.03275080770254135,0.20751953125,0.0034686669969232753,0.015262401,-0.03513753414154053,-0.02464728603081312,0.9874343872070312,-2.3035992500000004,1257.0
8,1240,21,10752,320,-43.557360768318176,0.2,0.0004092704424510632,-0.028885848820209503,0.2958984375,0.05357032502070069,0.030620616,0.0005171895027160645,-0.03210410531028174,0.9861612915992737,-2.3035992500000004,1257.0
9,1237,22,11264,336,-43.50404870510101,0.2,0.0004092704424510632,-0.031283341348171234,0.192626953125,0.0036524419992929325,0.01716841,-0.0028020143508911133,-0.021295515325618908,0.9837742447853088,-2.3035992500000004,1257.0
9,1237,23,11776,352,-43.42897975444794,0.2,0.0004092704424510632,-0.03928181529045105,0.250732421875,0.003707448620843934,0.019466192,0.0012451410293579102,-0.02772132166137453,0.9816895127296448,-2.298815555555556,1257.0
9,1236,24,12288,368,-43.3847154378891,0.2,0.0004092704424510632,-0.0020881053060293198,0.2703857421875,0.07145630591548979,0.023707276,0.0007125735282897949,-0.02672199074004311,0.9811162352561951,-2.298815555555556,1257.0
10,1235,25,12800,384,-43.3700065612793,0.2,0.0004092704424510632,-0.0355907641351223,0.260986328125,0.0038696069386787713,0.022460856,-0.00895535945892334,-0.027949709707172588,0.9803482890129089,-2.2959989000000003,1257.0
10,1234,26,13312,400,-43.327330589294434,0.2,0.0004092704424510632,0.01268179714679718,0.2222900390625,0.08349059359170496,0.01735492,0.001402735710144043,-0.022778057245886885,0.9785023331642151,-2.2959989000000003,1257.0
