train/n_updates,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,train/critic_loss,time/fps,train/learning_rate,train/ent_coef,time/total_timesteps
4927,4,-5.450614249999999,437,-169.02154541015625,1257.0,-120.78614044189453,49.425262451171875,11,0.0008459126528049375,0.017374509945511818,5028
9955,8,-4.2462599999999995,901,-41.33728790283203,1257.0,-126.20440673828125,3.184134006500244,11,0.0008459126528049375,0.0009332489571534097,10056
14983,12,-3.4744905833333326,1363,10.086511611938477,1257.0,-128.93350219726562,41.754371643066406,11,0.0008459126528049375,0.0011001898674294353,15084
20011,16,-3.0450943125,1825,8.179157257080078,1257.0,-132.1947479248047,6.919673919677734,11,0.0008459126528049375,0.000820652290713042,20112
25039,20,-2.85418495,13,-5.13958215713501,1257.0,-121.92741394042969,5.875704765319824,10,0.0008459126528049375,0.0009136951994150877,25140
30067,24,-2.744122583333333,483,-74.37895965576172,1257.0,-105.23363494873047,4.991387367248535,10,0.0008459126528049375,0.0007417090819217265,30168
35095,28,-2.644592821428571,951,49.16118240356445,1257.0,-94.84664916992188,2.8448221683502197,10,0.0008459126528049375,0.0011955067748203874,35196
40123,32,-2.57163359375,1426,-17.502342224121094,1257.0,-87.42721557617188,6.172978401184082,10,0.0008459126528049375,0.0011797979241237044,40224
45151,36,-2.550215777777778,1896,-55.362518310546875,1257.0,-84.31329345703125,1.3616386651992798,10,0.0008459126528049375,0.0006602388457395136,45252
50179,40,-2.535894675,24,-51.07447052001953,1257.0,-80.735107421875,8.141590118408203,11,0.0008459126528049375,0.00027946874615736306,50280
55207,44,-2.515075659090909,474,-88.33914947509766,1257.0,-76.24051666259766,1.193464756011963,11,0.0008459126528049375,0.00021468214981723577,55308
60235,48,-2.46239725,939,0.5854307413101196,1257.0,-68.9438705444336,5.169015407562256,11,0.0008459126528049375,0.0004043681838084012,60336
65263,52,-2.449769480769231,1397,-85.18696594238281,1257.0,-60.72236251831055,9.552334785461426,10,0.0008459126528049375,0.0008847585995681584,65364
70291,56,-2.4246547857142855,1864,-0.8890151977539062,1257.0,-53.933692932128906,2.561734676361084,10,0.0008459126528049375,0.000537256128154695,70392
75319,60,-2.4053240166666665,40,-32.76773452758789,1257.0,-50.279052734375,1.526658296585083,10,0.0008459126528049375,0.00039238130557350814,75420
80347,64,-2.3846546562500004,529,-0.5359772443771362,1257.0,-44.92481231689453,4.806482315063477,10,0.0008459126528049375,0.0013282160507515073,80448
85375,68,-2.356260735294118,1025,4.737448215484619,1257.0,-40.38350296020508,2.528050422668457,10,0.0008459126528049375,0.0006775804213248193,85476
90403,72,-2.3387561666666667,1507,46.00171661376953,1257.0,-36.30842590332031,1.2297784090042114,10,0.0008459126528049375,0.0008512905333191156,90504
