train/actor_loss,time/episodes,rollout/ep_len_mean,time/fps,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss
-121.47254943847656,4,1258.0,11,4931,-181.54232788085938,0.0008459126528049375,0.01696726493537426,5032,-5.4455557500000005,450,3.244079351425171
-129.83177185058594,8,1258.0,11,9963,33.22254943847656,0.0008459126528049375,0.0009056087583303452,10064,-4.206003625,905,6.739171028137207
-124.1141357421875,12,1258.0,11,14995,60.00715255737305,0.0008459126528049375,0.000996892456896603,15096,-3.474908916666667,1347,3.051985263824463
-124.06239318847656,16,1258.0,11,20027,-139.61375427246094,0.0008459126528049375,0.00042779906652867794,20128,-3.0747423124999997,1806,5.508251667022705
-119.04354095458984,20,1258.0,10,25059,-65.92848205566406,0.0008459126528049375,0.0009397243265993893,25160,-2.8610236,14,3.9918324947357178
-78.64614868164062,24,1258.0,10,30091,39.549949645996094,0.0008459126528049375,0.0005641522002406418,30192,-2.7382684583333337,492,3.0865163803100586
-72.50804138183594,28,1258.0,10,35123,-13.256802558898926,0.0008459126528049375,0.00032067662687040865,35224,-2.6275127142857144,953,1.8645521402359009
-61.24665069580078,32,1258.0,10,40155,-24.746259689331055,0.0008459126528049375,0.00034486575168557465,40256,-2.57896675,1424,1.9068573713302612
-46.385093688964844,36,1258.0,10,45187,-23.91559410095215,0.0008459126528049375,0.0006943049957044423,45288,-2.5258521944444445,1890,2.6986398696899414
-35.08324432373047,40,1258.0,10,50219,-40.9862174987793,0.0008459126528049375,0.0003445598413236439,50320,-2.515370275,29,3.4984753131866455
-28.337751388549805,44,1258.0,10,55251,-23.802722930908203,0.0008459126528049375,0.00032914523035287857,55352,-2.4728611590909093,497,1.8406294584274292
-18.4786434173584,48,1258.0,11,60283,280.3279724121094,0.0008459126528049375,0.00041971117025241256,60384,-2.4429528333333335,938,3.8377623558044434
-16.044824600219727,52,1258.0,11,65315,9.754358291625977,0.0008459126528049375,0.00022440595785155892,65416,-2.4126132115384613,1390,1.3444629907608032
-8.513790130615234,56,1258.0,11,70347,29.392301559448242,0.0008459126528049375,0.00031859069713391364,70448,-2.4046475178571427,1838,1.0925650596618652
-5.5681471824646,60,1258.0,10,75379,-38.88221740722656,0.0008459126528049375,0.00022424764756578952,75480,-2.3858788333333334,46,0.738578736782074
-1.852768898010254,64,1258.0,10,80411,-18.04480743408203,0.0008459126528049375,8.694133430253714e-05,80512,-2.37090534375,526,0.6080102920532227
0.7752204537391663,68,1258.0,10,85443,-42.42997360229492,0.0008459126528049375,0.00013739721907768399,85544,-2.3557987205882354,1020,0.5431178212165833
7.185309410095215,72,1258.0,10,90475,-48.60567855834961,0.0008459126528049375,0.00034074002178385854,90576,-2.356627763888889,1516,0.9875659942626953
