train/n_updates,time/fps,train/learning_rate,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/ent_coef,time/total_timesteps
4927,10,0.0008459126528049375,4,-123.74607849121094,-5.2277305,-177.3397674560547,459,1.8958529233932495,1257.0,0.017278103157877922,5028
9955,10,0.0008459126528049375,8,-124.69381713867188,-4.056005875,11.656310081481934,920,8.57406997680664,1257.0,0.001725439098663628,10056
14983,10,0.0008459126528049375,12,-110.33171844482422,-3.3768810833333336,390.14080810546875,1381,6.449019432067871,1257.0,0.0007381677278317511,15084
20011,10,0.0008459126528049375,16,-102.39279174804688,-3.011759625,12.956978797912598,1850,6.742867946624756,1257.0,0.0005255127907730639,20112
25039,11,0.0008459126528049375,20,-89.89278411865234,-2.75045775,-73.51228332519531,12,2.542264461517334,1257.0,0.0009303839178755879,25140
30067,10,0.0008459126528049375,24,-86.25170135498047,-2.611583,67.64947509765625,477,4.349503517150879,1257.0,0.00028323481092229486,30168
35095,10,0.0008459126528049375,28,-80.25532531738281,-2.5483898571428574,-21.5128173828125,952,1.5066606998443604,1257.0,0.0004499416099861264,35196
40123,10,0.0008459126528049375,32,-39.948753356933594,-2.49022309375,-87.57992553710938,1412,3.1463398933410645,1257.0,0.000735072884708643,40224
45151,10,0.0008459126528049375,36,-33.83219528198242,-2.445124027777778,-11.43257999420166,1878,2.3949880599975586,1257.0,0.0004040484200231731,45252
50179,11,0.0008459126528049375,40,-26.45934295654297,-2.41960595,-104.999267578125,24,1.0035914182662964,1257.0,0.00019494998559821397,50280
55207,10,0.0008459126528049375,44,-8.117533683776855,-2.377162909090909,-3.426387310028076,488,1.3645908832550049,1257.0,0.0002861698449123651,55308
60235,10,0.0008459126528049375,48,-2.333097457885742,-2.351324208333333,-4.433225154876709,945,0.7744125127792358,1257.0,0.0005013899644836783,60336
65263,10,0.0008459126528049375,52,15.494962692260742,-2.316070057692308,14.133111953735352,1409,3.5762834548950195,1257.0,0.0006652800948359072,65364
70291,10,0.0008459126528049375,56,21.778724670410156,-2.300478571428571,31.003883361816406,1869,0.917969286441803,1257.0,0.00020950054749846458,70392
75319,10,0.0008459126528049375,60,26.454965591430664,-2.2857909666666663,-11.824798583984375,40,0.93382728099823,1257.0,9.071482054423541e-05,75420
80347,10,0.0008459126528049375,64,28.966951370239258,-2.28608390625,-4.862151622772217,529,0.3804953694343567,1257.0,0.00014194387767929584,80448
85375,10,0.0008459126528049375,68,31.451786041259766,-2.273854544117647,-7.914071559906006,985,0.26232755184173584,1257.0,0.00014949715114198625,85476
90403,10,0.0008459126528049375,72,33.577415466308594,-2.257614333333333,-73.64601135253906,1481,0.4711726903915405,1257.0,3.820731944870204e-05,90504
