time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
7168,14,3,2025,0.0911972289904952,0.0004092704424510632,-0.02895270123553928,0.009400725364685059,0.015700635,0.2532958984375,208,0.9913764595985413,0.2,-43.7475460767746,0.0015084147453308105,1257.0,-2.9768992
7680,15,3,2021,0.003451615724770818,0.0004092704424510632,-0.019763124495511875,-0.0351247563958168,0.016670162,0.211181640625,224,0.9924944043159485,0.2,-43.714741826057434,-0.029085516929626465,1257.0,-2.9967055000000005
8192,16,4,2016,0.08633124968037009,0.0004092704424510632,-0.022978053471888416,0.013716332614421844,0.015992848,0.2447509765625,240,0.9919289350509644,0.2,-43.74390661716461,0.004760622978210449,1257.0,-2.9967055000000005
8704,17,4,2012,0.0127675486728549,0.0004092704424510632,-0.03356695997354109,-0.035706765949726105,0.0182717,0.3155517578125,256,0.991396963596344,0.2,-43.71976673603058,0.03131955862045288,1257.0,-2.9967055000000005
9216,18,4,2008,0.005460775246319827,0.0004092704424510632,-0.027570877718972042,-0.028498508036136627,0.015938062,0.2490234375,272,0.9926316738128662,0.2,-43.7219660282135,-0.006750345230102539,1257.0,-2.9771858571428576
9728,19,4,2005,0.11931002233177423,0.0004092704424510632,-0.02591094844683539,0.017326045781373978,0.018288802,0.260498046875,288,0.9899738430976868,0.2,-43.71819591522217,0.0046866536140441895,1257.0,-2.9771858571428576
10240,20,5,2002,0.0030982354837760795,0.0004092704424510632,-0.02253088864381425,-0.03222246840596199,0.016435223,0.24267578125,304,0.9894266724586487,0.2,-43.64165794849396,-0.2032715082168579,1257.0,-2.955235375
10752,21,5,2000,0.10152334137819707,0.0004092704424510632,-0.028330361979897134,0.01564754918217659,0.021546287,0.2728271484375,320,0.9879229068756104,0.2,-43.62672960758209,0.002174675464630127,1257.0,-2.955235375
11264,22,5,1997,0.012057910178555176,0.0004092704424510632,-0.02512768519227393,-0.041803713887929916,0.019055136,0.2275390625,336,0.9854971170425415,0.2,-43.5546452999115,0.09312909841537476,1257.0,-2.955235375
11776,23,5,1995,0.004327735579863656,0.0004092704424510632,-0.030784076021518558,-0.02985229529440403,0.02181181,0.2799072265625,352,0.9838674068450928,0.2,-43.494449973106384,-0.044567227363586426,1257.0,-2.9308418888888887
12288,24,6,1993,0.13152884203009307,0.0004092704424510632,-0.029608900425955653,0.018942128866910934,0.030053826,0.2838134765625,368,0.981615424156189,0.2,-43.43187749385834,0.0023373961448669434,1257.0,-2.9308418888888887
12800,25,6,1991,0.004998374046408571,0.0004092704424510632,-0.02336466667475179,-0.03221376612782478,0.020926818,0.22314453125,384,0.9799379706382751,0.2,-43.36541950702667,-0.23583471775054932,1257.0,-2.9226059999999996
13312,26,6,1990,0.1323702542576939,0.0004092704424510632,-0.034278832405107096,0.0201125368475914,0.026348766,0.2841796875,400,0.9800549149513245,0.2,-43.34284818172455,0.011690020561218262,1257.0,-2.9226059999999996
