time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
512,1,0,4047,,,,,,,,,,,,,
1024,2,0,2630,0.10301995047484525,0.0004092704424510632,-0.028121923911385238,-0.02992902509868145,0.0161766,0.2137451171875,16,0.9982746839523315,0.2,-43.96263647079468,0.021131396293640137,,
1536,3,0,2370,0.005192795943003148,0.0004092704424510632,-0.025497848313534632,-0.039383698254823685,0.017350608,0.23583984375,32,0.997822642326355,0.2,-43.922229647636414,0.035287439823150635,1257.0,-2.780874
2048,4,0,2259,0.008857426786562428,0.0004092704424510632,-0.023634316225070506,-0.0256064310669899,0.017976228,0.2813720703125,48,0.9971683621406555,0.2,-43.907997250556946,-0.0470198392868042,1257.0,-2.780874
2560,5,1,2196,0.004819643552764319,0.0004092704424510632,-0.02910561443422921,-0.03898477926850319,0.02386964,0.3228759765625,64,0.9973160624504089,0.2,-43.892001271247864,0.031872332096099854,1257.0,-2.7535575
3072,6,1,2158,0.017596768215298653,0.0004092704424510632,-0.027279364818241447,-0.02598484978079796,0.026363885,0.3001708984375,80,0.9962316751480103,0.2,-43.88777458667755,-0.030188322067260742,1257.0,-2.7535575
3584,7,1,2136,0.011193510581506416,0.0004092704424510632,-0.03258099404047243,-0.03388156741857529,0.017373359,0.298095703125,96,0.9967601895332336,0.2,-43.86369526386261,-0.0017993450164794922,1257.0,-2.7535575
4096,8,1,2118,0.00449194560496835,0.0004092704424510632,-0.02730212770984508,-0.03810964897274971,0.017494902,0.282470703125,112,0.9948837757110596,0.2,-43.855151772499084,0.032334089279174805,1257.0,-2.795761666666667
4608,9,2,2102,0.047986006597056985,0.0004092704424510632,-0.02820660515135387,-0.021620996296405792,0.020386653,0.2947998046875,128,0.9930000305175781,0.2,-43.7876740694046,-0.0018706321716308594,1257.0,-2.795761666666667
5120,10,2,2090,0.003778214675548952,0.0004092704424510632,-0.02077043916506227,-0.017045486718416214,0.017121367,0.2034912109375,144,0.9917921423912048,0.2,-43.73649787902832,0.010671555995941162,1257.0,-2.927463
5632,11,2,2080,0.048899315879680216,0.0004092704424510632,-0.0269436200032942,-0.012363940477371216,0.018349104,0.2767333984375,160,0.9906384944915771,0.2,-43.69677937030792,-0.0026395320892333984,1257.0,-2.927463
6144,12,2,2070,0.012288397265365347,0.0004092704424510632,-0.028950728563359007,-0.030984580516815186,0.019418389,0.2633056640625,176,0.9917680621147156,0.2,-43.686797857284546,0.0006267428398132324,1257.0,-2.927463
6656,13,3,2065,0.006039975218300242,0.0004092704424510632,-0.022932377658435144,-0.0320771187543869,0.015953742,0.2255859375,192,0.9926736354827881,0.2,-43.72821319103241,0.005454599857330322,1257.0,-2.9527372
7168,14,3,2058,0.08729994134046137,0.0004092704424510632,-0.029114851378835738,0.0008058212697505951,0.022523064,0.293212890625,208,0.9921047687530518,0.2,-43.732603430747986,0.0015310049057006836,1257.0,-2.9527372
7680,15,3,2052,0.003926828008843586,0.0004092704424510632,-0.027582468086620793,-0.03902146965265274,0.018874418,0.27294921875,224,0.9903600811958313,0.2,-43.693474888801575,-0.015408635139465332,1257.0,-2.9443493333333333
8192,16,3,2049,0.08378811134025455,0.0004092704424510632,-0.024486117879860103,0.0037240535020828247,0.017450798,0.2320556640625,240,0.9916087985038757,0.2,-43.67582941055298,0.0026783347129821777,1257.0,-2.9443493333333333
8704,17,4,2046,0.009768081872607581,0.0004092704424510632,-0.027842643321491778,-0.042609892785549164,0.023909746,0.2637939453125,256,0.9933692216873169,0.2,-43.72492837905884,-0.0795058012008667,1257.0,-2.9443493333333333
9216,18,4,2043,0.006839817724539898,0.0004092704424510632,-0.022179887469974346,-0.03250407427549362,0.013883771,0.216064453125,272,0.9917824864387512,0.2,-43.73781180381775,0.0031749606132507324,1257.0,-2.9626554285714284
9728,19,4,2041,0.12097622291184962,0.0004092704424510632,-0.028076142392819747,0.027845367789268494,0.018203551,0.2947998046875,288,0.9899156093597412,0.2,-43.67246472835541,0.0019724369049072266,1257.0,-2.9626554285714284
10240,20,5,2038,0.004205716628348455,0.0004092704424510632,-0.02905494478181936,-0.03760204836726189,0.022805791,0.2529296875,304,0.9893875122070312,0.2,-43.63277888298035,-0.025451183319091797,1257.0,-2.963508
10752,21,5,2033,0.11235436866991222,0.0004092704424510632,-0.030576730147004128,0.0035426802933216095,0.022927836,0.2598876953125,320,0.989395022392273,0.2,-43.62489092350006,0.001474916934967041,1257.0,-2.963508
11264,22,5,2031,0.014748045534361154,0.0004092704424510632,-0.01936454670794774,-0.0256019476801157,0.02244174,0.2236328125,336,0.9885869026184082,0.2,-43.605321168899536,0.004775285720825195,1257.0,-2.963508
11776,23,5,2028,0.0047725968979648314,0.0004092704424510632,-0.027266387623967603,-0.03928271681070328,0.016320437,0.2298583984375,352,0.9870442152023315,0.2,-43.565394282341,-0.001867055892944336,1257.0,-2.949509
12288,24,6,2026,0.1482090400531888,0.0004092704424510632,-0.023007637093542144,0.03709593787789345,0.02112765,0.2474365234375,368,0.9857215285301208,0.2,-43.519371509552,0.002226531505584717,1257.0,-2.949509
12800,25,6,2025,0.004889314732281491,0.0004092704424510632,-0.02862680323596578,-0.031313903629779816,0.029162321,0.2767333984375,384,0.9876886010169983,0.2,-43.51513755321503,-0.029239177703857422,1257.0,-2.9439192
