time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/loss,train/std,train/approx_kl,train/learning_rate,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
512,3759,1,0,,,,,,,,,,,,,
1024,2355,2,0,0.08127629282535054,-43.99442946910858,0.2,-0.473547101020813,0.254150390625,-0.030304422340122983,-0.04262641444802284,1.000625491142273,0.018011868,0.0004092704424510632,16,,
1536,2119,3,0,0.004294053302146494,-44.004868268966675,0.2,0.055952370166778564,0.225830078125,-0.022898001421708614,-0.04064689576625824,1.0004732608795166,0.013792278,0.0004092704424510632,32,1257.0,-2.434798
2048,2009,4,1,0.007849285917473026,-43.96146512031555,0.2,0.0021158456802368164,0.2921142578125,-0.02811788467806764,-0.035582032054662704,0.9974451661109924,0.0203672,0.0004092704424510632,48,1257.0,-2.434798
2560,1946,5,1,0.004084962027263828,-43.88941240310669,0.2,0.07553732395172119,0.3199462890625,-0.033710900228470564,-0.04260358586907387,0.9968822598457336,0.024186045,0.0004092704424510632,64,1257.0,-2.5707825
3072,1909,6,1,0.016626164928311482,-43.89673602581024,0.2,-0.02180778980255127,0.294921875,-0.0251525359635707,-0.020059598609805107,0.9975024461746216,0.02271454,0.0004092704424510632,80,1257.0,-2.5707825
3584,1886,7,1,0.0056060699571389705,-43.90907168388367,0.2,0.03993350267410278,0.298583984375,-0.026051594424643554,-0.042038947343826294,0.9975892901420593,0.018559169,0.0004092704424510632,96,1257.0,-2.5707825
4096,1865,8,2,0.004481673851842061,-43.902021050453186,0.2,0.027159690856933594,0.25390625,-0.027541064511751756,-0.03282144293189049,0.9969107508659363,0.017523333,0.0004092704424510632,112,1257.0,-2.6051483333333336
4608,1846,9,2,0.035057359433267266,-43.84754753112793,0.2,0.0015619397163391113,0.305419921875,-0.032275729201501235,-0.025825418531894684,0.9940127730369568,0.01915504,0.0004092704424510632,128,1257.0,-2.6051483333333336
5120,1834,10,2,0.002157153852749616,-43.79591739177704,0.2,0.09334737062454224,0.239990234375,-0.023662305145990103,-0.030605211853981018,0.9945831894874573,0.015308149,0.0004092704424510632,144,1257.0,-2.5940885000000002
5632,1828,11,3,0.039707267889752984,-43.82689726352692,0.2,-0.003968954086303711,0.2315673828125,-0.02251950892241439,-0.005011457949876785,0.9952399134635925,0.016973909,0.0004092704424510632,160,1257.0,-2.5940885000000002
6144,1822,12,3,0.005281131590891164,-43.82296133041382,0.2,0.026486337184906006,0.266845703125,-0.027187639818293974,-0.030537845566868782,0.9941348433494568,0.017985296,0.0004092704424510632,176,1257.0,-2.5940885000000002
6656,1810,13,3,0.00404014864761848,-43.7912118434906,0.2,-0.0006273984909057617,0.2989501953125,-0.028283293824642897,-0.02133059874176979,0.9938250184059143,0.022314984,0.0004092704424510632,192,1257.0,-2.5963314000000004
7168,1805,14,3,0.06470678886398673,-43.79521119594574,0.2,0.002052605152130127,0.3076171875,-0.026847274421015754,-0.005854140967130661,0.9942203760147095,0.018919341,0.0004092704424510632,208,1257.0,-2.5963314000000004
7680,1798,15,4,0.002302589897226426,-43.78152370452881,0.2,0.04120534658432007,0.3070068359375,-0.030492615391267464,-0.0494794100522995,0.9929699897766113,0.020407148,0.0004092704424510632,224,1257.0,-2.5903243333333337
8192,1792,16,4,0.06179998011793941,-43.74258553981781,0.2,0.00342559814453125,0.2989501953125,-0.026819698425242677,-0.006131153553724289,0.9919342398643494,0.022806693,0.0004092704424510632,240,1257.0,-2.5903243333333337
8704,1786,17,4,0.004632639916962944,-43.73879814147949,0.2,-0.02072608470916748,0.3232421875,-0.028023515638778917,-0.03415699675679207,0.9931500554084778,0.0281928,0.0004092704424510632,256,1257.0,-2.5903243333333337
9216,1782,18,5,0.0035626785065687727,-43.783676505088806,0.2,-0.04003322124481201,0.258056640625,-0.028515796671854332,-0.0442548543214798,0.9945697784423828,0.018784724,0.0004092704424510632,272,1257.0,-2.5794850000000005
9728,1779,19,5,0.08638365613296628,-43.793616771698,0.2,0.002644062042236328,0.272216796875,-0.02595490965177305,0.007887208834290504,0.9931607246398926,0.019370496,0.0004092704424510632,288,1257.0,-2.5794850000000005
10240,1772,20,5,0.002914200180384796,-43.766276359558105,0.2,0.0325779914855957,0.2679443359375,-0.027806612284621224,-0.03180088475346565,0.9941050410270691,0.020891527,0.0004092704424510632,304,1257.0,-2.5567427499999997
10752,1768,21,6,0.08486685960087925,-43.78745102882385,0.2,0.010359406471252441,0.2928466796875,-0.027316766034346074,0.0012228786945343018,0.9932674169540405,0.022639945,0.0004092704424510632,320,1257.0,-2.5567427499999997
11264,1765,22,6,0.004819105364731513,-43.78474485874176,0.2,0.15093570947647095,0.27490234375,-0.02769329125294462,-0.03805645927786827,0.995231032371521,0.017832013,0.0004092704424510632,336,1257.0,-2.5567427499999997
11776,1761,23,6,0.0042729937777039595,-43.839070439338684,0.2,-0.06554079055786133,0.2158203125,-0.022686054988298565,-0.03049687296152115,0.995495080947876,0.01702374,0.0004092704424510632,352,1257.0,-2.5532401111111107
12288,1756,24,6,0.10305990814231336,-43.81319344043732,0.2,0.0031102895736694336,0.2891845703125,-0.027788182138465345,-0.0035021640360355377,0.9943223595619202,0.030544033,0.0004092704424510632,368,1257.0,-2.5532401111111107
12800,1755,25,7,0.005500353974639438,-43.791821241378784,0.2,-0.1209796667098999,0.221923828125,-0.027012669190298766,-0.03703360632061958,0.9944197535514832,0.015236483,0.0004092704424510632,384,1257.0,-2.5553920999999997
13312,1752,26,7,0.11461104894988239,-43.77808964252472,0.2,0.001945197582244873,0.23046875,-0.0226631288533099,0.03706779330968857,0.9935283064842224,0.016738411,0.0004092704424510632,400,1257.0,-2.5553920999999997
13824,1750,27,7,0.0054048228048486635,-43.7387615442276,0.2,0.008384287357330322,0.2275390625,-0.02149419869238045,-0.030252087861299515,0.9917694926261902,0.019022407,0.0004092704424510632,416,1257.0,-2.5553920999999997
14336,1747,28,8,0.004900412386632524,-43.68569755554199,0.2,-0.0003503561019897461,0.242431640625,-0.028901709210913396,-0.04430272802710533,0.9906428456306458,0.01847829,0.0004092704424510632,432,1257.0,-2.554194
14848,1747,29,8,0.023758926181471907,-43.66905915737152,0.2,0.001398622989654541,0.2288818359375,-0.017101258970797062,-0.015188256278634071,0.9908267259597778,0.022055576,0.0004092704424510632,448,1257.0,-2.554194
