time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/loss,train/std,train/approx_kl,train/learning_rate,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
512,3832,1,0,,,,,,,,,,,,,
1024,2413,2,0,0.10223634505382506,-43.95962750911713,0.2,0.007009685039520264,0.1943359375,-0.029989642527652904,-0.032714251428842545,0.997923731803894,0.012591386,0.0004092704424510632,16,,
1536,2149,3,0,0.004260236557456665,-43.90841448307037,0.2,0.012834548950195312,0.2213134765625,-0.025647163507528603,-0.039395079016685486,0.9974227547645569,0.015660804,0.0004092704424510632,32,1257.0,-2.351361
2048,2027,4,1,0.007595848976052366,-43.89903736114502,0.2,-0.014825820922851562,0.271484375,-0.02310501431929879,-0.02911406196653843,0.9970210790634155,0.01699476,0.0004092704424510632,48,1257.0,-2.351361
2560,1979,5,1,0.0028170805926492903,-43.881911873817444,0.2,0.06418687105178833,0.28173828125,-0.029238284012535587,-0.041016772389411926,0.9964646697044373,0.018545914,0.0004092704424510632,64,1257.0,-2.3226
3072,1933,6,1,0.014538882503984496,-43.85897934436798,0.2,-0.016978144645690918,0.302490234375,-0.028467521973652765,-0.02776256948709488,0.9954039454460144,0.019693132,0.0004092704424510632,80,1257.0,-2.3226
3584,1903,7,1,0.006049961149983574,-43.83464753627777,0.2,0.027448594570159912,0.291748046875,-0.03406651521800086,-0.042939405888319016,0.995593786239624,0.018263154,0.0004092704424510632,96,1257.0,-2.3226
4096,1878,8,2,0.0038409512271755375,-43.82155191898346,0.2,0.0212976336479187,0.2803955078125,-0.027106376743176952,-0.034823931753635406,0.9936817288398743,0.016483435,0.0004092704424510632,112,1257.0,-2.3625716666666667
4608,1852,9,2,0.03497402893844992,-43.74589800834656,0.2,-0.0017625093460083008,0.2802734375,-0.029086255468428135,-0.030335305258631706,0.9916749596595764,0.01850048,0.0004092704424510632,128,1257.0,-2.3625716666666667
5120,1827,10,2,0.003498042256978806,-43.70311200618744,0.2,0.013435125350952148,0.2132568359375,-0.022178157429152634,-0.0214893389493227,0.9909050464630127,0.01521148,0.0004092704424510632,144,1257.0,-2.4781705
5632,1807,11,3,0.03982850874308497,-43.67164421081543,0.2,-0.0033621788024902344,0.285888671875,-0.026660222647478804,-0.020193366333842278,0.9897385835647583,0.020158418,0.0004092704424510632,160,1257.0,-2.4781705
6144,1796,12,3,0.0060529578040586784,-43.660011291503906,0.2,-0.06055784225463867,0.2567138671875,-0.031186127045657486,-0.03621060773730278,0.9905828237533569,0.021431357,0.0004092704424510632,176,1257.0,-2.4781705
6656,1781,13,3,0.005102186696603894,-43.68681263923645,0.2,0.0008438825607299805,0.2418212890625,-0.023863750888267532,-0.031658150255680084,0.9911035895347595,0.017817482,0.0004092704424510632,192,1257.0,-2.4979126000000003
7168,1774,14,4,0.06273836584296077,-43.683300852775574,0.2,0.0016286373138427734,0.29052734375,-0.02773382922168821,-0.012861218303442001,0.9902713298797607,0.020047907,0.0004092704424510632,208,1257.0,-2.4979126000000003
7680,1768,15,4,0.003226330954930745,-43.64360845088959,0.2,-0.038190364837646484,0.28125,-0.028174454462714493,-0.037905529141426086,0.9888272881507874,0.01623914,0.0004092704424510632,224,1257.0,-2.490459
8192,1759,16,4,0.06266421417240053,-43.631295919418335,0.2,0.0032418370246887207,0.2403564453125,-0.024440871668048203,-0.005242716521024704,0.99016273021698,0.017342784,0.0004092704424510632,240,1257.0,-2.490459
8704,1749,17,4,0.004732313325803261,-43.67223107814789,0.2,-0.1364666223526001,0.2684326171875,-0.02877740460098721,-0.047943659126758575,0.99105304479599,0.024540948,0.0004092704424510632,256,1257.0,-2.490459
9216,1739,18,5,0.005683735966158565,-43.66586661338806,0.2,-0.004208683967590332,0.2132568359375,-0.02213549628504552,-0.03442193567752838,0.989355206489563,0.014566705,0.0004092704424510632,272,1257.0,-2.5094504285714287
9728,1735,19,5,0.08814925025217235,-43.59976327419281,0.2,0.001756906509399414,0.2978515625,-0.027089439594419673,0.01134420931339264,0.9875667691230774,0.019366737,0.0004092704424510632,288,1257.0,-2.5094504285714287
10240,1731,20,5,0.003949051249946933,-43.56206130981445,0.2,-0.056511640548706055,0.2646484375,-0.030510781361954287,-0.033920805901288986,0.9869987964630127,0.021396697,0.0004092704424510632,304,1257.0,-2.5090665000000003
10752,1730,21,6,0.08244260400533676,-43.55640089511871,0.2,0.0036256909370422363,0.282470703125,-0.030916345327568706,-0.011481933295726776,0.9870300889015198,0.021393185,0.0004092704424510632,320,1257.0,-2.5090665000000003
11264,1730,22,6,0.007531743234721944,-43.5264196395874,0.2,-0.11405086517333984,0.2398681640625,-0.02092851018824149,-0.029337868094444275,0.9854833483695984,0.02214519,0.0004092704424510632,336,1257.0,-2.5090665000000003
11776,1725,23,6,0.0036370767338667065,-43.4684681892395,0.2,-0.01607835292816162,0.245849609375,-0.028269816466490738,-0.04185152053833008,0.9839383959770203,0.016852163,0.0004092704424510632,352,1257.0,-2.4939233333333335
12288,1728,24,7,0.1032561818137765,-43.42596387863159,0.2,0.0025506019592285156,0.2596435546875,-0.022777691658120602,0.013773228973150253,0.9825549125671387,0.023635603,0.0004092704424510632,368,1257.0,-2.4939233333333335
12800,1730,25,7,0.003511299735691864,-43.41306483745575,0.2,-0.18215882778167725,0.2869873046875,-0.0282049514062237,-0.02771950513124466,0.9840438365936279,0.027835958,0.0004092704424510632,384,1257.0,-2.4903169000000003
13312,1734,26,7,0.11318939086049795,-43.466997146606445,0.2,0.006314992904663086,0.2901611328125,-0.028260386316105723,0.02270517498254776,0.9854229092597961,0.023143793,0.0004092704424510632,400,1257.0,-2.4903169000000003
13824,1735,27,7,0.005959524991340004,-43.50564253330231,0.2,-0.26131439208984375,0.2813720703125,-0.02813958488695789,-0.03532830625772476,0.9865925908088684,0.018442951,0.0004092704424510632,416,1257.0,-2.4903169000000003
14336,1733,28,8,0.004794612163095735,-43.5208922624588,0.2,-0.0012083053588867188,0.2879638671875,-0.02874325297307223,-0.03530818223953247,0.9861408472061157,0.022101551,0.0004092704424510632,432,1257.0,-2.4898866363636363
14848,1733,29,8,0.021274508049828,-43.507941484451294,0.2,0.0034852027893066406,0.2655029296875,-0.019327199464896694,-0.024758510291576385,0.9859955310821533,0.028870312,0.0004092704424510632,448,1257.0,-2.4898866363636363
15360,1733,30,8,0.006290065706707537,-43.496957540512085,0.2,0.007826387882232666,0.2667236328125,-0.02709111765761918,-0.03543062508106232,0.9850207567214966,0.024005068,0.0004092704424510632,464,1257.0,-2.518451166666667
15872,1732,31,9,0.1443247776478529,-43.45004713535309,0.2,0.003322601318359375,0.291259765625,-0.028427645476767793,0.02217944711446762,0.9838012456893921,0.02943632,0.0004092704424510632,480,1257.0,-2.518451166666667
16384,1731,32,9,0.005187722759728786,-43.428842663764954,0.2,-0.5032169818878174,0.235595703125,-0.025202103977790102,-0.039182987064123154,0.9837141633033752,0.015188691,0.0004092704424510632,496,1257.0,-2.514925923076923
16896,1730,33,9,0.15222053788602352,-43.435352087020874,0.2,0.0014286041259765625,0.22705078125,-0.024473020879668184,0.02340196818113327,0.9844939112663269,0.01932932,0.0004092704424510632,512,1257.0,-2.514925923076923
17408,1730,34,10,0.00889901201298926,-43.457154631614685,0.2,-0.6029853820800781,0.2652587890625,-0.026506737543968484,-0.02846449986100197,0.9849177002906799,0.022020131,0.0004092704424510632,528,1257.0,-2.514925923076923
17920,1732,35,10,0.004329212810262106,-43.4609352350235,0.2,-0.005640864372253418,0.1971435546875,-0.0190388988412451,-0.03577379882335663,0.9846565127372742,0.013747122,0.0004092704424510632,544,1257.0,-2.513622857142857
18432,1733,36,10,0.17747050151228905,-43.44575321674347,0.2,0.0037007927894592285,0.2803955078125,-0.029169219938921742,0.05315782129764557,0.9841854572296143,0.02278303,0.0004092704424510632,560,1257.0,-2.513622857142857
18944,1734,37,10,0.004417992797243642,-43.435235023498535,0.2,-2.2565319538116455,0.237548828125,-0.026734170634881593,-0.03281853720545769,0.9841364026069641,0.01681838,0.0004092704424510632,576,1257.0,-2.4996998
19456,1733,38,11,0.18756189895793796,-43.42645728588104,0.2,0.0009464621543884277,0.269775390625,-0.028336439019767568,0.04996460676193237,0.9833878874778748,0.014823532,0.0004092704424510632,592,1257.0,-2.4996998
19968,1734,39,11,0.007627063532709144,-43.39993596076965,0.2,-0.00027060508728027344,0.2451171875,-0.02392517552652862,-0.03476158529520035,0.9828303456306458,0.016413894,0.0004092704424510632,608,1257.0,-2.4996998
20480,1732,40,11,0.003855930503050331,-43.39775550365448,0.2,-0.0009126663208007812,0.252685546875,-0.023693867333349772,-0.0280951838940382,0.9828394055366516,0.020812139,0.0004092704424510632,624,1257.0,-2.5016408125
20992,1732,41,12,0.1781179215759039,-43.396488189697266,0.2,0.009185850620269775,0.281005859375,-0.03240987323806621,0.033668871968984604,0.982761800289154,0.023822162,0.0004092704424510632,640,1257.0,-2.5016408125
21504,1731,42,12,0.007149189725168981,-43.40074372291565,0.2,-5.571497917175293,0.2327880859375,-0.026715756990597583,-0.037159305065870285,0.983381450176239,0.018173262,0.0004092704424510632,656,1257.0,-2.496949764705882
22016,1730,43,12,0.15773850423283875,-43.40216422080994,0.2,0.021585702896118164,0.3116455078125,-0.031286335055483505,0.027012303471565247,0.9826590418815613,0.02640408,0.0004092704424510632,672,1257.0,-2.496949764705882
22528,1729,44,13,0.009877121396129951,-43.389859318733215,0.2,-0.30998265743255615,0.252197265625,-0.02664857142372057,-0.0365629717707634,0.9828557372093201,0.014687826,0.0004092704424510632,688,1257.0,-2.496949764705882
23040,1728,45,13,0.004841361791477539,-43.40236973762512,0.2,0.009168505668640137,0.1944580078125,-0.021921994455624372,-0.03619322180747986,0.983211874961853,0.014125751,0.0004092704424510632,704,1257.0,-2.4950228888888883
23552,1728,46,13,0.1794687749352306,-43.41735303401947,0.2,0.00872957706451416,0.306396484375,-0.029698392580030486,0.02429773658514023,0.9838137030601501,0.021008912,0.0004092704424510632,720,1257.0,-2.4950228888888883
24064,1728,47,13,0.010994892436428927,-43.427064657211304,0.2,-1.4703369140625,0.2806396484375,-0.03219985496252775,-0.029289059340953827,0.9837998747825623,0.019604597,0.0004092704424510632,736,1257.0,-2.509047736842105
24576,1728,48,14,0.1370788775384426,-43.41072344779968,0.2,0.1427532434463501,0.2584228515625,-0.02672672078188043,0.014684706926345825,0.9827211499214172,0.021882573,0.0004092704424510632,752,1257.0,-2.509047736842105
