time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1321,38,19456,14,0.025889032,0.018241211771965027,0.2,0.0004092704424510632,-0.02773996104951948,0.234375,0.9753913879394531,592,0.20769858360290527,0.12703739968128502,-43.19390547275543,1258.0,-2.2843993333333334
1321,39,19968,15,0.023943072,-0.03897958621382713,0.2,0.0004092704424510632,-0.02511431295715738,0.237548828125,0.9737926721572876,608,-2.925722599029541,0.006464570789830759,-43.16068708896637,1258.0,-2.2843993333333334
1320,40,20480,15,0.012996017,-0.01684335432946682,0.2,0.0004092704424510632,-0.019901519175618887,0.1749267578125,0.9717521667480469,624,0.07268428802490234,0.005674662854289636,-43.10132110118866,1258.0,-2.279319625
1320,41,20992,15,0.02238403,0.013504605740308762,0.2,0.0004092704424510632,-0.02447282409411855,0.2435302734375,0.9718565940856934,640,0.28467148542404175,0.13226910261437297,-43.0637469291687,1258.0,-2.279319625
1320,42,21504,16,0.014432182,-0.01817767694592476,0.2,0.0004092704424510632,-0.01966474457003642,0.1737060546875,0.9709627032279968,656,-2.7216641902923584,0.009797744351089932,-43.05708181858063,1258.0,-2.289307705882353
1320,43,22016,16,0.01946456,0.053990237414836884,0.2,0.0004092704424510632,-0.021180975280003622,0.208740234375,0.9688041806221008,672,0.0906444787979126,0.12968454556539655,-43.004687905311584,1258.0,-2.289307705882353
1319,44,22528,17,0.020980658,-0.04485328122973442,0.2,0.0004092704424510632,-0.02909742661722703,0.2408447265625,0.967024028301239,688,-4.2178473472595215,0.007382644551398698,-42.942437171936035,1258.0,-2.289307705882353
1319,45,23040,17,0.02835059,-0.039838872849941254,0.2,0.0004092704424510632,-0.029091156466165558,0.27587890625,0.9660795331001282,704,0.18586814403533936,0.005185368652746547,-42.89349448680878,1258.0,-2.2769749444444445
1319,46,23552,17,0.02684139,0.01115463674068451,0.2,0.0004092704424510632,-0.026595756615279242,0.2611083984375,0.9660083651542664,720,0.23109513521194458,0.10569969390053302,-42.87808001041412,1258.0,-2.2769749444444445
1319,47,24064,18,0.012699118,-0.021918630227446556,0.2,0.0004092704424510632,-0.01672709010745166,0.154541015625,0.9664813876152039,736,-2.95173978805542,0.012181882964796387,-42.87865352630615,1258.0,-2.271865157894737
1318,48,24576,18,0.023826923,-0.0013872087001800537,0.2,0.0004092704424510632,-0.02467446486116387,0.23681640625,0.9667658805847168,752,0.15774846076965332,0.11306025343947113,-42.89945876598358,1258.0,-2.271865157894737
1318,49,25088,19,0.017349314,-0.04193559288978577,0.2,0.0004092704424510632,-0.023965438565937802,0.238037109375,0.9665804505348206,768,-4.267366409301758,0.00678333654650487,-42.90107274055481,1258.0,-2.271865157894737
1318,50,25600,19,0.015321689,-0.02225395292043686,0.2,0.0004092704424510632,-0.02429925165779423,0.218505859375,0.9654549360275269,784,0.24949389696121216,0.005492263619089499,-42.877071022987366,1258.0,-2.2717486
1318,51,26112,19,0.015864449,0.0250474214553833,0.2,0.0004092704424510632,-0.017699396805255674,0.1612548828125,0.9641082286834717,800,0.2701863646507263,0.09914578124880791,-42.8322776556015,1258.0,-2.2717486
