train/critic_loss,time/total_timesteps,train/n_updates,train/ent_coef,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean,time/episodes,time/fps,train/ent_coef_loss
1.8767377138137817,5032,4931,0.017456091940402985,-122.73853302001953,1258.0,140,0.0008459126528049375,-4.30305725,4,35,-170.396728515625
14.352949142456055,10064,9963,0.0014891254249960184,-124.81666564941406,1258.0,285,0.0008459126528049375,-3.113701125,8,35,-6.830260276794434
11.869588851928711,15096,14995,0.0014903002884238958,-116.63533782958984,1258.0,432,0.0008459126528049375,-2.462172583333333,12,34,33.494422912597656
11.116534233093262,20128,20027,0.0017209560610353947,-108.32125854492188,1258.0,582,0.0008459126528049375,-2.1287010625000002,16,34,-9.64494514465332
5.98365592956543,25160,25059,0.0007329295040108263,-105.38346099853516,1258.0,4,0.0008459126528049375,-1.9765762000000002,20,33,17.992643356323242
3.1785426139831543,30192,30091,0.0007470556884072721,-100.68892669677734,1258.0,154,0.0008459126528049375,-1.8774187500000001,24,33,32.930213928222656
2.270388126373291,35224,35123,0.0004164872516412288,-97.46473693847656,1258.0,305,0.0008459126528049375,-1.7841792142857142,28,33,-14.745858192443848
4.154602527618408,40256,40155,0.0007642582640983164,-78.75203704833984,1258.0,455,0.0008459126528049375,-1.6923205000000001,32,33,-2.8338277339935303
9.926091194152832,45288,45187,0.0008652569376863539,-69.30606842041016,1258.0,606,0.0008459126528049375,-1.6435100277777779,36,33,6.318868637084961
12.177132606506348,50320,50219,0.00210530124604702,-34.271026611328125,1258.0,9,0.0008459126528049375,-1.5931672,40,33,-60.92708969116211
15.88075065612793,55352,55251,0.0013496889732778072,-22.39482879638672,1258.0,161,0.0008459126528049375,-1.5667590681818182,44,33,42.06586456298828
9.701953887939453,60384,60283,0.001140053034760058,-17.8183650970459,1258.0,313,0.0008459126528049375,-1.540968375,48,33,-54.7427864074707
72.09187316894531,65416,65315,0.004293571226298809,12.706952095031738,1258.0,468,0.0008459126528049375,-1.4996730961538458,52,32,-15.062644004821777
23.43239974975586,70448,70347,0.0013482918730005622,39.0406494140625,1258.0,623,0.0008459126528049375,-1.5035169107142856,56,32,53.782657623291016
14.407161712646484,75480,75379,0.0007718285778537393,57.42097473144531,1258.0,15,0.0008459126528049375,-1.5034354166666666,60,30,57.19435501098633
26.581600189208984,80512,80411,0.0012079344596713781,73.74020385742188,1258.0,183,0.0008459126528049375,-1.50874746875,64,30,30.48759651184082
36.34404754638672,85544,85443,0.0017361524514853954,97.2863540649414,1258.0,354,0.0008459126528049375,-1.488841955882353,68,29,0.7142093181610107
26.465316772460938,90576,90475,0.0013993148459121585,121.83702087402344,1258.0,523,0.0008459126528049375,-1.4768551666666667,72,29,2.0990664958953857
18.892127990722656,95608,95507,0.002082458231598139,146.05628967285156,1258.0,692,0.0008459126528049375,-1.4704132631578948,76,29,-35.81575012207031
