train/ent_coef,time/fps,train/critic_loss,train/n_updates,train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/actor_loss,time/total_timesteps
0.019526472315192223,72,1.1948339939117432,4791,-171.8791046142578,-4.78899775,0.0008459126528049375,67,4,1223.0,-121.19908905029297,4892
0.0012778561795130372,71,12.077371597290039,9683,-1.2044728994369507,-3.73511775,0.0008459126528049375,137,8,1223.0,-125.67699432373047,9784
0.0010844331700354815,70,4.774900436401367,14575,65.52359008789062,-3.089196916666667,0.0008459126528049375,207,12,1223.0,-116.9704360961914,14676
0.0012956316350027919,70,12.625468254089355,19467,136.97518920898438,-2.8081038124999997,0.0008459126528049375,276,16,1223.0,-101.28240203857422,19568
0.0007659609545953572,70,5.410606861114502,24359,4.06287956237793,-2.6508850500000003,0.0008459126528049375,346,20,1223.0,-80.40713500976562,24460
0.0011335898889228702,70,4.522089004516602,29251,-36.88693618774414,-2.4634747916666666,0.0008459126528049375,61,24,1223.0,-59.430912017822266,29352
0.0009619523771107197,70,4.46778678894043,34143,1.7830219268798828,-2.3565110357142856,0.0008459126528049375,131,28,1223.0,-45.24779510498047,34244
0.0005329059204086661,69,2.769855260848999,39035,-16.892650604248047,-2.25327471875,0.0008459126528049375,202,32,1223.0,-45.21482467651367,39136
0.00025449268287047744,69,2.0456228256225586,43927,20.387975692749023,-2.1778418611111108,0.0008459126528049375,274,36,1223.0,-35.907073974609375,44028
0.0005840506637468934,69,0.9752786159515381,48819,-0.3415766954421997,-2.107011025,0.0008459126528049375,346,40,1223.0,-25.94550323486328,48920
0.00042233147541992366,67,1.1178903579711914,53711,-29.27756690979004,-2.075557727272727,0.0008459126528049375,56,44,1223.0,-22.205322265625,53812
0.00017653362010605633,67,0.359353244304657,58603,-51.115577697753906,-2.0314764375,0.0008459126528049375,128,48,1223.0,-21.305953979492188,58704
0.00011888323206221685,67,0.5008449554443359,63495,-5.855439186096191,-1.9961592307692309,0.0008459126528049375,200,52,1223.0,-18.88251495361328,63596
0.00017582323926035315,67,1.1355246305465698,68387,0.762437105178833,-1.9519472142857144,0.0008459126528049375,272,56,1223.0,-17.084548950195312,68488
0.00025719660334289074,67,0.08757087588310242,73279,-13.170625686645508,-1.9177667333333335,0.0008459126528049375,344,60,1223.0,-17.273906707763672,73380
0.00019020962645299733,65,0.07567457109689713,78171,-24.164522171020508,-1.892073140625,0.0008459126528049375,49,64,1223.0,-16.873613357543945,78272
0.0001532857131678611,64,0.45479151606559753,83063,-73.82843780517578,-1.8689143088235292,0.0008459126528049375,126,68,1223.0,-15.171053886413574,83164
0.0001204416184918955,63,0.2982989549636841,87955,-17.42755126953125,-1.8438099583333336,0.0008459126528049375,204,72,1223.0,-13.740276336669922,88056
0.00021718521020375192,63,0.322723388671875,92847,-9.356744766235352,-1.822387736842105,0.0008459126528049375,282,76,1223.0,-6.710638523101807,92948
0.0001562222751090303,63,0.36112111806869507,97739,-33.009761810302734,-1.7979351749999999,0.0008459126528049375,361,80,1223.0,-5.584414005279541,97840
