time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
4064,0,1,512,,,,,,,,,,,,,
2425,0,2,1024,0.2647705078125,0.15187251042516436,0.0004092704424510632,-0.16044902801513672,16,0.2,-43.992523074150085,-0.026910703629255295,-0.026169289340032265,0.020217925,1.0006016492843628,,
2097,0,3,1536,0.2525634765625,0.004833786588278599,0.0004092704424510632,0.012392640113830566,32,0.2,-43.998454570770264,-0.036409325897693634,-0.0339169483340811,0.01802067,1.0000295639038086,-2.125058,1258.0
1999,1,4,2048,0.2952880859375,0.01583300539641641,0.0004092704424510632,-0.008632302284240723,48,0.2,-43.96906769275665,-0.02357601560652256,-0.02501620215480216,0.021851901,0.9988933801651001,-2.125058,1258.0
1953,1,5,2560,0.22900390625,0.0019375663014216116,0.0004092704424510632,0.001369476318359375,64,0.2,-43.95328664779663,-0.03888249769806862,-0.0225374321162235,0.016147267,0.9994177222251892,-2.054039,1258.0
1928,1,6,3072,0.29345703125,0.021473856584634632,0.0004092704424510632,0.005137503147125244,80,0.2,-43.97136902809143,-0.023545440286397934,-0.02892000225256197,0.019611556,0.9994693994522095,-2.054039,1258.0
1909,1,7,3584,0.24462890625,0.002644214331667172,0.0004092704424510632,-0.012845754623413086,96,0.2,-43.98240888118744,-0.022802896797657013,-0.02099031953548547,0.018248245,1.0010713338851929,-2.054039,1258.0
1897,2,8,4096,0.2579345703125,0.005532007329748012,0.0004092704424510632,0.0042858123779296875,112,0.2,-44.02836632728577,-0.043407414108514786,-0.025138158001936972,0.01983023,1.0018330812454224,-2.114702,1258.0
1870,2,9,4608,0.2664794921875,0.032208388089202344,0.0004092704424510632,0.004295229911804199,128,0.2,-44.03652882575989,-0.013330364599823952,-0.024344493460375816,0.020497203,1.0015754699707031,-2.114702,1258.0
1850,2,10,5120,0.283447265625,0.004126538893615361,0.0004092704424510632,0.10308098793029785,144,0.2,-44.02015745639801,-0.037682536989450455,-0.029218992611276917,0.030146778,1.0012019872665405,-2.16586875,1258.0
