time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
3961,0,1,512,,,,,,,,,,,,,
2412,0,2,1024,0.2525634765625,0.11205907190014841,0.0004092704424510632,-0.1786658763885498,16,0.2,-44.0002464056015,-0.033697523176670074,-0.02855499596626032,0.018158536,1.0011210441589355,,
2124,0,3,1536,0.285400390625,0.0035028531710850075,0.0004092704424510632,0.10771369934082031,32,0.2,-44.05084025859833,-0.054481033235788345,-0.03558304211765062,0.02091872,1.003234624862671,-2.209622,1258.0
2021,1,4,2048,0.2772216796875,0.018635098997037858,0.0004092704424510632,0.04067552089691162,48,0.2,-44.07399559020996,-0.02604508213698864,-0.029049565666355193,0.019710459,1.0019731521606445,-2.209622,1258.0
1958,1,5,2560,0.2210693359375,0.0017547306106280303,0.0004092704424510632,0.08611994981765747,64,0.2,-44.064106464385986,-0.03651537001132965,-0.02265624125720933,0.014320152,1.0037717819213867,-2.03757,1258.0
1906,1,6,3072,0.2763671875,0.021037643105955794,0.0004092704424510632,0.03365713357925415,80,0.2,-44.1115505695343,-0.02598516456782818,-0.027040612243581563,0.023356732,1.0040943622589111,-2.03757,1258.0
1877,1,7,3584,0.2127685546875,0.002378136403422104,0.0004092704424510632,0.01683497428894043,96,0.2,-44.08443892002106,-0.030669165775179863,-0.021598024875856936,0.013849992,1.0022506713867188,-2.03757,1258.0
1860,2,8,4096,0.2490234375,0.0034761739152600057,0.0004092704424510632,0.13704168796539307,112,0.2,-44.064077973365784,-0.04105036333203316,-0.027608033240539953,0.0154759735,1.0039950609207153,-2.110617,1258.0
1822,2,9,4608,0.3038330078125,0.02779009408550337,0.0004092704424510632,0.1296101212501526,128,0.2,-44.12342405319214,-0.02499442920088768,-0.02693548107345123,0.022737695,1.0049242973327637,-2.110617,1258.0
1814,2,10,5120,0.20703125,0.004647111210942967,0.0004092704424510632,-0.04880034923553467,144,0.2,-44.147953748703,-0.03659563884139061,-0.023666769411647692,0.0144039085,1.0064001083374023,-2.15649625,1258.0
