time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/critic_loss
5032,0.01751047931611538,-4.837725,-123.9070053100586,-174.90858459472656,4,12,4931,0.0008459126528049375,1258.0,398,1.6698722839355469
10064,0.0009976718574762344,-3.8308722499999996,-130.75474548339844,2.2182493209838867,8,12,9963,0.0008459126528049375,1258.0,796,10.392157554626465
15096,0.0008028047741390765,-3.152996416666667,-125.85305786132812,-13.566245079040527,12,12,14995,0.0008459126528049375,1258.0,1187,2.7161598205566406
20128,0.0009415920940227807,-2.7993583749999997,-110.26103973388672,-31.525585174560547,16,12,20027,0.0008459126528049375,1258.0,1585,2.8636271953582764
25160,0.0005128604825586081,-2.6326205499999995,-104.9371109008789,10.996870040893555,20,12,25059,0.0008459126528049375,1258.0,12,4.693975448608398
30192,0.0007823023479431868,-2.468474375,-94.56157684326172,-61.744022369384766,24,12,30091,0.0008459126528049375,1258.0,415,2.1549105644226074
35224,0.001016473863273859,-2.3451765357142853,-72.54864501953125,257.0841369628906,28,12,35123,0.0008459126528049375,1258.0,811,23.166166305541992
40256,0.0005267710075713694,-2.273393875,-67.12872314453125,-0.8471270799636841,32,12,40155,0.0008459126528049375,1258.0,1222,2.3870444297790527
45288,0.0005738369654864073,-2.241386861111111,-57.85944366455078,31.30702018737793,36,12,45187,0.0008459126528049375,1258.0,1613,2.7748913764953613
50320,0.00034405189217068255,-2.1794093500000002,-55.624839782714844,8.29928207397461,40,12,50219,0.0008459126528049375,1258.0,25,1.776984691619873
55352,0.00022423033078666776,-2.1484707272727275,-52.89984130859375,-68.20866394042969,44,12,55251,0.0008459126528049375,1258.0,416,1.4532407522201538
60384,0.0005237871082499623,-2.1074185625,-49.743751525878906,-38.64255142211914,48,12,60283,0.0008459126528049375,1258.0,805,2.2194876670837402
65416,0.0009362432756461203,-2.068002769230769,-46.854827880859375,-44.61709213256836,52,12,65315,0.0008459126528049375,1258.0,1201,1.9834938049316406
70448,0.0005908944294787943,-2.0472776964285715,-43.127037048339844,-7.506789684295654,56,12,70347,0.0008459126528049375,1258.0,1598,0.8670307993888855
75480,0.00026943613192997873,-2.0086197500000003,-36.55925750732422,124.54292297363281,60,11,75379,0.0008459126528049375,1258.0,40,1.9523663520812988
