time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/policy_gradient_loss,train/std,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
1333,7,20,10240,304,0.2,0.016047698,-0.0011868476867675781,-43.95451748371124,0.227783203125,-0.037288978695869446,0.004759658811963163,-0.02427898505993653,0.9996800422668457,0.0004092704424510632,-2.60786725,1257.0
1331,8,21,10752,320,0.2,0.025495427,-0.0004131793975830078,-43.926629304885864,0.2725830078125,-0.019410451874136925,0.02788244519615546,-0.0247601845767349,0.9975759387016296,0.0004092704424510632,-2.60786725,1257.0
1329,8,22,11264,336,0.2,0.01585002,0.000926971435546875,-43.83974611759186,0.19921875,-0.027732878923416138,0.0039139810323831625,-0.02333522937260568,0.9941882491111755,0.0004092704424510632,-2.60786725,1257.0
1327,8,23,11776,352,0.2,0.019209443,0.0011692047119140625,-43.75435733795166,0.2489013671875,-0.0405040867626667,0.002149597308743978,-0.026076723617734388,0.9928932189941406,0.0004092704424510632,-2.6034990000000002,1257.0
1325,9,24,12288,368,0.2,0.027253719,-0.00010967254638671875,-43.768242597579956,0.24951171875,-0.007544729858636856,0.040119970159139484,-0.024993173108668998,0.9951515197753906,0.0004092704424510632,-2.6034990000000002,1257.0
1324,9,25,12800,384,0.2,0.02600212,-0.0013197660446166992,-43.7925181388855,0.247314453125,-0.028235509991645813,0.004640983235731255,-0.02833543557790108,0.993770956993103,0.0004092704424510632,-2.6012543,1257.0
1323,10,26,13312,400,0.2,0.012437195,-0.0003311634063720703,-43.722327709198,0.184326171875,-0.001124989241361618,0.05590770719572902,-0.020399637782247737,0.9909476041793823,0.0004092704424510632,-2.6012543,1257.0
1321,10,27,13824,416,0.2,0.012141514,0.002803325653076172,-43.64858555793762,0.18115234375,-0.03112594224512577,0.0042018318199552596,-0.01924020904698409,0.9897519946098328,0.0004092704424510632,-2.6012543,1257.0
1321,10,28,14336,432,0.2,0.012853498,-0.0012581348419189453,-43.64385521411896,0.167724609375,-0.037130869925022125,0.0015959937063598773,-0.02109750302770408,0.9910809993743896,0.0004092704424510632,-2.5877295454545455,1257.0
1321,11,29,14848,448,0.2,0.032109153,-0.00011110305786132812,-43.67875277996063,0.228515625,-0.023707173764705658,0.014438281184993684,-0.020039890230691526,0.9912285208702087,0.0004092704424510632,-2.5877295454545455,1257.0
1320,11,30,15360,464,0.2,0.012546209,4.094839096069336e-05,-43.66464388370514,0.1427001953125,-0.03381538391113281,0.003939461275876965,-0.019829939788905904,0.9900792241096497,0.0004092704424510632,-2.56549775,1257.0
1319,12,31,15872,480,0.2,0.021969024,-8.344650268554688e-06,-43.61849761009216,0.2349853515625,-0.008580610156059265,0.08608654048293829,-0.02515185027732514,0.9884474873542786,0.0004092704424510632,-2.56549775,1257.0
1317,12,32,16384,496,0.2,0.014420141,0.0014235377311706543,-43.598206758499146,0.18701171875,-0.04446607083082199,0.005062185831775423,-0.02550561967655085,0.9893701076507568,0.0004092704424510632,-2.557261,1257.0
1317,12,33,16896,512,0.2,0.013540725,-2.1576881408691406e-05,-43.64667010307312,0.1932373046875,0.009379059076309204,0.08956816769205034,-0.020054758380865678,0.9911354184150696,0.0004092704424510632,-2.557261,1257.0
1317,13,34,17408,528,0.2,0.024899203,8.928775787353516e-05,-43.681379079818726,0.200927734375,-0.026348425075411797,0.002576563354523387,-0.020197448844555765,0.9910030961036682,0.0004092704424510632,-2.557261,1257.0
1316,13,35,17920,544,0.2,0.02181333,-0.000546574592590332,-43.670026540756226,0.23828125,-0.03623086214065552,0.004484166485781316,-0.029565384204033762,0.9917028546333313,0.0004092704424510632,-2.5578155000000002,1257.0
1316,14,36,18432,560,0.2,0.01880977,4.947185516357422e-06,-43.69364333152771,0.2674560546875,0.0022478513419628143,0.10486311395652592,-0.02878006781975273,0.9920755624771118,0.0004092704424510632,-2.5578155000000002,1257.0
1316,14,37,18944,576,0.2,0.02009765,0.0006871819496154785,-43.67759144306183,0.20849609375,-0.03701302781701088,0.0042741636716527864,-0.02257826222194126,0.9906673431396484,0.0004092704424510632,-2.5602552666666667,1257.0
1317,14,38,19456,592,0.2,0.015566906,-5.352497100830078e-05,-43.64813935756683,0.189697265625,0.02242210879921913,0.1086715788114816,-0.019843349989969283,0.9906699061393738,0.0004092704424510632,-2.5602552666666667,1257.0
1316,15,39,19968,608,0.2,0.015553326,0.0033725500106811523,-43.66476047039032,0.212890625,-0.045288361608982086,0.0030423444404732436,-0.02326000361063052,0.9915264248847961,0.0004092704424510632,-2.5602552666666667,1257.0
1316,15,40,20480,624,0.2,0.020554446,0.0003014206886291504,-43.69215905666351,0.2591552734375,-0.051772698760032654,0.002797062996251043,-0.029734546784311533,0.9922633171081543,0.0004092704424510632,-2.547932375,1257.0
1316,15,41,20992,640,0.2,0.014609626,2.1576881408691406e-05,-43.70766723155975,0.1729736328125,0.03915320336818695,0.12007554853335023,-0.018342938943533227,0.9926049709320068,0.0004092704424510632,-2.547932375,1257.0
1316,16,42,21504,656,0.2,0.0233736,-0.0016088485717773438,-43.709975361824036,0.28955078125,-0.04015941545367241,0.004569513883325271,-0.03175276767433388,0.9925647974014282,0.0004092704424510632,-2.540496470588235,1257.0
1316,16,43,22016,672,0.2,0.029924804,-3.695487976074219e-05,-43.69100892543793,0.2825927734375,0.024141453206539154,0.12574164383113384,-0.027890050783753395,0.9910343885421753,0.0004092704424510632,-2.540496470588235,1257.0
1316,17,44,22528,688,0.2,0.019612536,0.0027559995651245117,-43.61875104904175,0.256103515625,-0.041706349700689316,0.003968062108469894,-0.02901623520301655,0.9883226156234741,0.0004092704424510632,-2.540496470588235,1257.0
1316,17,45,23040,704,0.2,0.021616388,0.0007801055908203125,-43.54312825202942,0.236328125,-0.02391831949353218,0.003012976150785107,-0.02529867083649151,0.986021876335144,0.0004092704424510632,-2.539871944444444,1257.0
1315,17,46,23552,720,0.2,0.023816165,7.480382919311523e-05,-43.45199656486511,0.26025390625,0.022866573184728622,0.14221167680807412,-0.030493849713820964,0.98251873254776,0.0004092704424510632,-2.539871944444444,1257.0
1315,18,47,24064,736,0.2,0.018928213,0.00026679039001464844,-43.379801511764526,0.230224609375,-0.043527211993932724,0.0037245675484882668,-0.027498572831973433,0.9823325276374817,0.0004092704424510632,-2.531410368421053,1257.0
1314,18,48,24576,752,0.2,0.027106201,8.994340896606445e-05,-43.39772319793701,0.2532958984375,0.03663388267159462,0.13664655201137066,-0.030178283384884708,0.9829044342041016,0.0004092704424510632,-2.531410368421053,1257.0
1314,19,49,25088,768,0.2,0.018122528,0.0014780163764953613,-43.4026335477829,0.2117919921875,-0.05529879778623581,0.005170113385247532,-0.026525001652771607,0.9828212261199951,0.0004092704424510632,-2.531410368421053,1257.0
1314,19,50,25600,784,0.2,0.016522694,0.0004773736000061035,-43.414299726486206,0.236083984375,-0.03723565861582756,0.001831842695537489,-0.02695258795574773,0.9837758541107178,0.0004092704424510632,-2.5362666000000003,1257.0
1314,19,51,26112,800,0.2,0.033218227,0.00012856721878051758,-43.45022702217102,0.301513671875,0.03233006224036217,0.1432292009703815,-0.030551276009646244,0.9844794273376465,0.0004092704424510632,-2.5362666000000003,1257.0
1313,20,52,26624,816,0.2,0.016542442,0.0012569427490234375,-43.446874022483826,0.21044921875,-0.03063802979886532,0.004116770782275125,-0.022053444641642272,0.9840047955513,0.0004092704424510632,-2.5305486190476194,1257.0
1312,20,53,27136,832,0.2,0.01941,0.00016123056411743164,-43.4143351316452,0.2423095703125,0.03685715049505234,0.1528836591169238,-0.027163676350028254,0.9825590252876282,0.0004092704424510632,-2.5305486190476194,1257.0
1312,21,54,27648,848,0.2,0.015687505,0.0024561285972595215,-43.35556757450104,0.1939697265625,-0.035447921603918076,0.00394034700730117,-0.02065163572842721,0.9802199602127075,0.0004092704424510632,-2.5305486190476194,1257.0
1312,21,55,28160,864,0.2,0.016298128,0.0010391473770141602,-43.298683285713196,0.2239990234375,-0.037057921290397644,0.0021542212780332193,-0.02473961652140133,0.9795023202896118,0.0004092704424510632,-2.5272683181818185,1257.0
1311,21,56,28672,880,0.2,0.03177239,5.1856040954589844e-05,-43.29322326183319,0.2568359375,0.006286676973104477,0.0475359871488763,-0.021896657708566636,0.9793916940689087,0.0004092704424510632,-2.5272683181818185,1257.0
1311,22,57,29184,896,0.2,0.019390324,0.0003193020820617676,-43.28322112560272,0.26220703125,-0.03502058982849121,0.005447611474664882,-0.02563193629612215,0.9786608219146729,0.0004092704424510632,-2.530510130434783,1257.0
1311,22,58,29696,912,0.2,0.022660546,0.0001296401023864746,-43.27823221683502,0.264404296875,0.05373107269406319,0.18982764007523656,-0.02949963413993828,0.9797797799110413,0.0004092704424510632,-2.530510130434783,1257.0
1310,23,59,30208,928,0.2,0.019919043,0.0021622776985168457,-43.316773653030396,0.2427978515625,-0.046146586537361145,0.0037125640228623524,-0.02818365558050573,0.9808363318443298,0.0004092704424510632,-2.523680333333333,1257.0
1310,23,60,30720,944,0.2,0.019298881,0.0001423954963684082,-43.33180820941925,0.2454833984375,0.03863378241658211,0.1851032031700015,-0.02462524053407833,0.9807580709457397,0.0004092704424510632,-2.523680333333333,1257.0
1307,23,61,31232,960,0.2,0.016847927,-0.0020357370376586914,-43.33997082710266,0.240966796875,-0.042567189782857895,0.002681054327695165,-0.029167725326260552,0.9816083312034607,0.0004092704424510632,-2.523680333333333,1257.0
1306,24,62,31744,976,0.2,0.014249805,0.0001437067985534668,-43.38516449928284,0.209716796875,-0.036632027477025986,0.004167646839050576,-0.02660304121673107,0.9835653901100159,0.0004092704424510632,-2.5272640799999997,1257.0
