time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/policy_gradient_loss,train/std,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
3965,0,1,512,,,,,,,,,,,,,
1837,0,2,1024,16,0.2,0.020911977,0.0010448098182678223,-43.95478069782257,0.302734375,-0.0407240130007267,0.13007557295350125,-0.027921777982555795,0.9980531930923462,0.0004092704424510632,,
1570,0,3,1536,32,0.2,0.019604422,-0.0175020694732666,-43.93377351760864,0.269775390625,-0.042950816452503204,0.004511104270932265,-0.03181384308845736,0.9987749457359314,0.0004092704424510632,-2.547333,1257.0
1477,1,4,2048,48,0.2,0.022130705,0.003191828727722168,-43.945897459983826,0.2796630859375,-0.03711611032485962,0.00888269569259137,-0.027841623726999387,0.9985553026199341,0.0004092704424510632,-2.547333,1257.0
1425,1,5,2560,64,0.2,0.0163179,-0.00585627555847168,-43.948593854904175,0.234130859375,-0.023340890184044838,0.0038748007646063343,-0.021858101710677147,0.9991521239280701,0.0004092704424510632,-2.574477,1257.0
1393,2,6,3072,80,0.2,0.01785035,0.002628505229949951,-43.95467472076416,0.2410888671875,-0.033158279955387115,0.0044127245200797915,-0.025912480108672753,0.9988915324211121,0.0004092704424510632,-2.574477,1257.0
1370,2,7,3584,96,0.2,0.012052469,0.019749760627746582,-43.94537591934204,0.1871337890625,-0.03427685424685478,0.002609414168546209,-0.02098543499596417,0.9987574815750122,0.0004092704424510632,-2.574477,1257.0
1355,3,8,4096,112,0.2,0.019554544,-0.0137559175491333,-43.91509020328522,0.2515869140625,-0.034696318209171295,0.003846154948405456,-0.024808794754790142,0.9967917799949646,0.0004092704424510632,-2.5193116666666664,1257.0
1344,3,9,4608,128,0.2,0.014710739,0.0006092190742492676,-43.8886513710022,0.210205078125,-0.024598510935902596,0.01268444475135766,-0.019860236352542415,0.9980729222297668,0.0004092704424510632,-2.5193116666666664,1257.0
1336,3,10,5120,144,0.2,0.015785925,-0.0030012130737304688,-43.94597518444061,0.19921875,-0.02348894439637661,0.004348620612290688,-0.020395388957695104,0.9997166395187378,0.0004092704424510632,-2.5628617499999997,1257.0
1329,4,11,5632,160,0.2,0.024464812,0.0003803372383117676,-43.97338020801544,0.2724609375,-0.029320284724235535,0.023486867430619895,-0.023879758431576192,0.9997652769088745,0.0004092704424510632,-2.5628617499999997,1257.0
1322,4,12,6144,176,0.2,0.017721415,0.0034879446029663086,-43.958433747291565,0.2491455078125,-0.025387005880475044,0.0027784143676399253,-0.025921573978848755,0.9994272589683533,0.0004092704424510632,-2.5628617499999997,1257.0
1319,5,13,6656,192,0.2,0.017496731,0.0020781755447387695,-43.959701895713806,0.230224609375,-0.034120526164770126,0.002963917373563163,-0.026665310724638402,0.9994170665740967,0.0004092704424510632,-2.6083603999999996,1257.0
1315,5,14,7168,208,0.2,0.016125666,-7.534027099609375e-05,-43.925801157951355,0.2578125,-0.024727825075387955,0.0331242170650512,-0.0255859324533958,0.9969998002052307,0.0004092704424510632,-2.6083603999999996,1257.0
1312,5,15,7680,224,0.2,0.013591383,-0.0019159317016601562,-43.847917556762695,0.22265625,-0.030741507187485695,0.004733857596875168,-0.022010384112945758,0.9951013326644897,0.0004092704424510632,-2.5929696666666664,1257.0
1309,6,16,8192,240,0.2,0.016725603,0.0004813671112060547,-43.80470657348633,0.26318359375,-0.012511463835835457,0.04140626691514626,-0.024248756788438186,0.994147777557373,0.0004092704424510632,-2.5929696666666664,1257.0
1306,6,17,8704,256,0.2,0.015907085,-0.002230405807495117,-43.777061223983765,0.232666015625,-0.024050075560808182,0.0032137287817022298,-0.021941309270914644,0.9933901429176331,0.0004092704424510632,-2.5929696666666664,1257.0
1304,7,18,9216,272,0.2,0.01768532,0.004584968090057373,-43.758376240730286,0.2313232421875,-0.019641710445284843,0.0021742085518781096,-0.02044741329154931,0.9928741455078125,0.0004092704424510632,-2.5580347142857143,1257.0
1302,7,19,9728,288,0.2,0.023123115,1.823902130126953e-05,-43.74626922607422,0.276611328125,-0.00011494383215904236,0.06489055627025664,-0.02770177208003588,0.9927820563316345,0.0004092704424510632,-2.5580347142857143,1257.0
1300,7,20,10240,304,0.2,0.01775939,0.0014967918395996094,-43.742961287498474,0.219970703125,-0.03602955862879753,0.0045593864560942166,-0.0242966173827881,0.9923253059387207,0.0004092704424510632,-2.57387775,1257.0
1299,8,21,10752,320,0.2,0.02095284,9.608268737792969e-05,-43.745890617370605,0.262451171875,-0.0052818432450294495,0.07022279256489128,-0.027248316997429356,0.9937586188316345,0.0004092704424510632,-2.57387775,1257.0
1298,8,22,11264,336,0.2,0.017717699,-0.003520369529724121,-43.80097448825836,0.2318115234375,-0.03395752236247063,0.003065966953727184,-0.026233063894324005,0.9956063032150269,0.0004092704424510632,-2.57387775,1257.0
1296,9,23,11776,352,0.2,0.014624134,0.008642196655273438,-43.84524309635162,0.228759765625,-0.03177868574857712,0.0018107472260453505,-0.023004882983514108,0.9960615038871765,0.0004092704424510632,-2.5748866666666665,1257.0
1295,9,24,12288,368,0.2,0.026287038,8.71419906616211e-05,-43.8201642036438,0.2686767578125,0.010148510336875916,0.08567705564200878,-0.026979561283951625,0.9939621686935425,0.0004092704424510632,-2.5748866666666665,1257.0
1292,9,25,12800,384,0.2,0.022749947,0.00267636775970459,-43.761427998542786,0.2625732421875,-0.027864716947078705,0.004978844546712935,-0.030292726383777335,0.9928109049797058,0.0004092704424510632,-2.5925583,1257.0
1291,10,26,13312,400,0.2,0.022723183,0.0005173087120056152,-43.75621318817139,0.259033203125,0.0196712426841259,0.10254088300280273,-0.025358241924550384,0.9937987923622131,0.0004092704424510632,-2.5925583,1257.0
1288,10,27,13824,416,0.2,0.016256437,-0.007859587669372559,-43.75846183300018,0.2080078125,-0.032282110303640366,0.003742238193808589,-0.024998528286232613,0.9922576546669006,0.0004092704424510632,-2.5925583,1257.0
