time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/policy_gradient_loss,train/std,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
4009,0,1,512,,,,,,,,,,,,,
1893,0,2,1024,16,0.2,0.019500624,-0.21734941005706787,-43.992796421051025,0.2667236328125,-0.03135401010513306,0.10485664654697757,-0.031913388113025576,1.000508427619934,0.0004092704424510632,,
1605,0,3,1536,32,0.2,0.018537026,-0.03014981746673584,-44.00940430164337,0.271240234375,-0.046132661402225494,0.004390573987620883,-0.027278768364340067,1.0008896589279175,0.0004092704424510632,-2.305001,1257.0
1496,1,4,2048,48,0.2,0.029280413,0.00035130977630615234,-44.01420617103577,0.3621826171875,-0.04543240740895271,0.01175712002441287,-0.036320504412287846,1.0009616613388062,0.0004092704424510632,-2.305001,1257.0
1439,1,5,2560,64,0.2,0.01441348,-0.010612726211547852,-43.99687933921814,0.1971435546875,-0.03542421758174896,0.004841953908908181,-0.02010044630151242,0.9994878172874451,0.0004092704424510632,-2.5108829999999998,1257.0
1408,2,6,3072,80,0.2,0.018906295,-0.0001550912857055664,-43.94363796710968,0.2869873046875,-0.021072523668408394,0.01803892821772024,-0.025525601813569665,0.9981787800788879,0.0004092704424510632,-2.5108829999999998,1257.0
1383,2,7,3584,96,0.2,0.015194316,-0.03935670852661133,-43.92181622982025,0.2532958984375,-0.028230462223291397,0.002284041875100229,-0.02530367620056495,0.998063325881958,0.0004092704424510632,-2.5108829999999998,1257.0
1366,2,8,4096,112,0.2,0.018289942,-0.023235797882080078,-43.918625235557556,0.2625732421875,-0.032703690230846405,0.004090049384103622,-0.0259110824263189,0.9980902075767517,0.0004092704424510632,-2.5572566666666665,1257.0
1351,3,9,4608,128,0.2,0.018119905,-0.0005848407745361328,-43.92360746860504,0.282958984375,-0.0181654691696167,0.02935383841395378,-0.024939613387687132,0.9981256127357483,0.0004092704424510632,-2.5572566666666665,1257.0
1340,3,10,5120,144,0.2,0.017197741,0.008395791053771973,-43.8930139541626,0.24072265625,-0.036183200776576996,0.002685339524759911,-0.02521393750794232,0.9960984587669373,0.0004092704424510632,-2.5469092499999997,1257.0
1331,4,11,5632,160,0.2,0.023799703,0.00096893310546875,-43.8441596031189,0.28857421875,-0.027021748945116997,0.03873333043884486,-0.031316474749473855,0.9959017038345337,0.0004092704424510632,-2.5469092499999997,1257.0
1324,4,12,6144,176,0.2,0.011509957,0.007942616939544678,-43.843509554862976,0.2095947265625,-0.0207410529255867,0.0024388618585362565,-0.019272345598437823,0.9956960082054138,0.0004092704424510632,-2.5469092499999997,1257.0
1317,5,13,6656,192,0.2,0.015373804,-0.006996870040893555,-43.83539390563965,0.2535400390625,-0.044559210538864136,0.003090732447162736,-0.026907999090326484,0.9955356121063232,0.0004092704424510632,-2.5482587999999997,1257.0
1311,5,14,7168,208,0.2,0.038822956,-0.0012810230255126953,-43.81493926048279,0.323974609375,-0.019323229789733887,0.05055586132220924,-0.03967760190425906,0.9940391182899475,0.0004092704424510632,-2.5482587999999997,1257.0
1307,5,15,7680,224,0.2,0.017458132,-0.06902003288269043,-43.7875440120697,0.2435302734375,-0.026471080258488655,0.0035747088259086013,-0.026484110538149253,0.9947373867034912,0.0004092704424510632,-2.5371254999999997,1257.0
1304,6,16,8192,240,0.2,0.01814286,-0.0015625953674316406,-43.80588948726654,0.214111328125,-0.006735228002071381,0.059080351260490716,-0.021362715822760947,0.9946487545967102,0.0004092704424510632,-2.5371254999999997,1257.0
1301,6,17,8704,256,0.2,0.018794717,0.0023289918899536133,-43.81274235248566,0.216796875,-0.03660864382982254,0.003100340622040676,-0.027812647400423884,0.9959778785705566,0.0004092704424510632,-2.5371254999999997,1257.0
1298,7,18,9216,272,0.2,0.018103754,0.0017185807228088379,-43.862143754959106,0.2020263671875,-0.04036884754896164,0.0023120011610444635,-0.021946421518805437,0.9974120855331421,0.0004092704424510632,-2.5458591428571427,1257.0
1295,7,19,9728,288,0.2,0.02487617,-7.748603820800781e-05,-43.898990988731384,0.2718505859375,0.008536852896213531,0.07214701257180423,-0.025976207562052878,0.9981946349143982,0.0004092704424510632,-2.5458591428571427,1257.0
1293,7,20,10240,304,0.2,0.013110142,0.018631339073181152,-43.89443325996399,0.1749267578125,-0.01832694746553898,0.0032138667884282768,-0.02103696166886948,0.997277021408081,0.0004092704424510632,-2.579609875,1257.0
1292,8,21,10752,320,0.2,0.020474268,0.0007898211479187012,-43.85656666755676,0.278076171875,0.0031011998653411865,0.08207019930705428,-0.026084489683853462,0.9960892200469971,0.0004092704424510632,-2.579609875,1257.0
1290,8,22,11264,336,0.2,0.016186355,0.004176914691925049,-43.81637156009674,0.2496337890625,-0.030327199026942253,0.003867254694341682,-0.027436107164248824,0.9945489168167114,0.0004092704424510632,-2.579609875,1257.0
1288,9,23,11776,352,0.2,0.013687756,2.199411392211914e-05,-43.7655953168869,0.2042236328125,-0.014016995206475258,0.0027658963517751545,-0.024148816883098334,0.9931471347808838,0.0004092704424510632,-2.583162777777778,1257.0
1286,9,24,12288,368,0.2,0.03465986,-0.00011098384857177734,-43.74641156196594,0.257568359375,0.0020339898765087128,0.09559065266512334,-0.02596056045149453,0.9936557412147522,0.0004092704424510632,-2.583162777777778,1257.0
1285,9,25,12800,384,0.2,0.014751984,-0.0002535581588745117,-43.77876913547516,0.1949462890625,-0.020949391648173332,0.005386045311752241,-0.022500010731164366,0.9951575398445129,0.0004092704424510632,-2.5949286999999996,1257.0
1284,10,26,13312,400,0.2,0.016463986,0.0004000067710876465,-43.79944467544556,0.191162109375,0.013757225126028061,0.10941120842471719,-0.019746723322896287,0.9943943619728088,0.0004092704424510632,-2.5949286999999996,1257.0
1283,10,27,13824,416,0.2,0.020800231,-0.02835988998413086,-43.76038455963135,0.2347412109375,-0.042102064937353134,0.003857381954730954,-0.026822563988389447,0.9935142397880554,0.0004092704424510632,-2.5949286999999996,1257.0
1282,11,28,14336,432,0.2,0.018221874,-0.0017688274383544922,-43.74816405773163,0.2003173828125,-0.03567931801080704,0.001938847217388684,-0.02102995121094864,0.9935373067855835,0.0004092704424510632,-2.5871539090909086,1257.0
1281,11,29,14848,448,0.2,0.025592461,-0.00017273426055908203,-43.741734743118286,0.24951171875,-0.015945345163345337,0.02141861477139173,-0.02215264187543653,0.99251788854599,0.0004092704424510632,-2.5871539090909086,1257.0
1280,11,30,15360,464,0.2,0.01343514,0.0001437067985534668,-43.70189714431763,0.1903076171875,-0.026039501652121544,0.0038442939840024337,-0.01817711573676206,0.9914914965629578,0.0004092704424510632,-2.581285833333333,1257.0
1279,12,31,15872,480,0.2,0.0159216,-5.4001808166503906e-05,-43.6408371925354,0.2325439453125,0.027261637151241302,0.14576328149996698,-0.024997393949888647,0.9879393577575684,0.0004092704424510632,-2.581285833333333,1257.0
1277,12,32,16384,496,0.2,0.01635504,-0.0003947019577026367,-43.56491994857788,0.2081298828125,-0.030275363475084305,0.004874648380791768,-0.021207316633081064,0.9882761836051941,0.0004092704424510632,-2.5776457692307693,1257.0
