time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,time/episodes,rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,train/critic_loss
125,4892,38,4791,4,1223.0,0.019495125859975815,-122.32567596435547,-188.7444610595703,-4.64497475,0.0008459126528049375,58.774269104003906
268,9784,36,9683,8,1223.0,0.0012896250700578094,-128.96083068847656,-49.88391876220703,-3.6152325000000003,0.0008459126528049375,0.37213361263275146
421,14676,34,14575,12,1223.0,0.0008446403662674129,-133.80429077148438,22.01516342163086,-2.9440254166666673,0.0008459126528049375,0.7716217041015625
576,19568,33,19467,16,1223.0,0.0006879610591568053,-137.37193298339844,40.25331497192383,-2.659313375,0.0008459126528049375,0.6973406076431274
732,24460,33,24359,20,1223.0,0.0009353156201541424,-140.9136962890625,-47.123741149902344,-2.4484247499999996,0.0008459126528049375,3.190112590789795
138,29352,31,29251,24,1223.0,0.0010226169833913445,-141.78538513183594,-17.52971839904785,-2.3807546250000002,0.0008459126528049375,70.592041015625
295,34244,31,34143,28,1223.0,0.0007983285468071699,-143.71006774902344,-66.34483337402344,-2.2974648571428573,0.0008459126528049375,71.83914184570312
452,39136,31,39035,32,1223.0,0.0010196351213380694,-147.66282653808594,-6.416532516479492,-2.2410298749999997,0.0008459126528049375,2.0382885932922363
610,44028,31,43927,36,1223.0,0.0006633626762777567,-149.431396484375,-20.402267456054688,-2.188136833333333,0.0008459126528049375,3.194385051727295
767,48920,31,48819,40,1223.0,0.0013272303622215986,-149.96539306640625,42.64632034301758,-2.137571875,0.0008459126528049375,3.0651092529296875
122,53812,31,53711,44,1223.0,0.0009896294213831425,-151.44715881347656,50.17759704589844,-2.103956772727273,0.0008459126528049375,4.640775680541992
279,58704,31,58603,48,1223.0,0.0024683468509465456,-151.3162841796875,-17.09347152709961,-2.0624527500000003,0.0008459126528049375,2.7943670749664307
439,63596,30,63495,52,1223.0,0.0012561207404360175,-153.69033813476562,48.008216857910156,-2.0352373461538464,0.0008459126528049375,2.559478998184204
599,68488,30,68387,56,1223.0,0.0012015515239909291,-154.75729370117188,-8.75191879272461,-2.009360392857143,0.0008459126528049375,2.8740620613098145
760,73380,30,73279,60,1223.0,0.0014414727920666337,-156.45103454589844,5.1225385665893555,-1.9948777,0.0008459126528049375,75.84844970703125
112,78272,29,78171,64,1223.0,0.0018208000110462308,-158.22369384765625,-7.8862481117248535,-1.9732109374999998,0.0008459126528049375,4.937962532043457
284,83164,28,83063,68,1223.0,0.0015178883913904428,-160.98838806152344,14.358375549316406,-1.9424040147058819,0.0008459126528049375,3.2662229537963867
456,88056,28,87955,72,1223.0,0.002094426192343235,-162.81427001953125,2.389529228210449,-1.914400013888889,0.0008459126528049375,6.741207599639893
630,92948,28,92847,76,1223.0,0.0023390082642436028,-163.58612060546875,-15.729480743408203,-1.895729223684211,0.0008459126528049375,3.1131539344787598
803,97840,28,97739,80,1223.0,0.001562531921081245,-165.03196716308594,45.36358642578125,-1.8823276375,0.0008459126528049375,4.039502143859863
