time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,time/episodes,rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,train/critic_loss
130,4892,37,4791,4,1223.0,0.019428910687565804,-122.0804672241211,-150.59063720703125,-4.52869575,0.0008459126528049375,2.5017480850219727
265,9784,36,9683,8,1223.0,0.0012658392079174519,-127.47786712646484,-105.8582763671875,-3.4013535,0.0008459126528049375,0.9503834247589111
400,14676,36,14575,12,1223.0,0.0010520454961806536,-128.512451171875,-2.9345076084136963,-2.6951110833333334,0.0008459126528049375,126.97789001464844
536,19568,36,19467,16,1223.0,0.0007458266336470842,-133.28353881835938,26.823820114135742,-2.3435449375,0.0008459126528049375,65.63748168945312
671,24460,36,24359,20,1223.0,0.0006890444783493876,-135.39923095703125,27.420379638671875,-2.13027085,0.0008459126528049375,65.32223510742188
121,29352,35,29251,24,1223.0,0.0006678517675027251,-137.19615173339844,50.25162887573242,-1.9986167083333335,0.0008459126528049375,1.390965461730957
258,34244,35,34143,28,1223.0,0.001028873142786324,-139.81207275390625,-0.636376142501831,-1.914580035714286,0.0008459126528049375,1.297270655632019
396,39136,35,39035,32,1223.0,0.0009502934408374131,-140.32667541503906,-12.616305351257324,-1.8521803437499997,0.0008459126528049375,1.6916329860687256
534,44028,35,43927,36,1223.0,0.000757977832108736,-142.6595458984375,24.052629470825195,-1.8104719166666665,0.0008459126528049375,2.30264949798584
672,48920,35,48819,40,1223.0,0.0013306160690262914,-145.31617736816406,-14.963470458984375,-1.7748670999999998,0.0008459126528049375,67.73202514648438
107,53812,35,53711,44,1223.0,0.001420839224010706,-147.69674682617188,61.17454528808594,-1.7272752954545452,0.0008459126528049375,2.5688018798828125
245,58704,35,58603,48,1223.0,0.0010809566592797637,-148.26019287109375,-20.595623016357422,-1.6845511041666665,0.0008459126528049375,3.6020684242248535
383,63596,35,63495,52,1223.0,0.0014999712584540248,-150.78335571289062,37.82148361206055,-1.6528636538461539,0.0008459126528049375,4.928670883178711
521,68488,35,68387,56,1223.0,0.0012933674734085798,-153.97265625,82.15798950195312,-1.6293491607142858,0.0008459126528049375,3.0629773139953613
663,73380,35,73279,60,1223.0,0.0010126882698386908,-155.0595245361328,-0.9270948767662048,-1.6101048666666666,0.0008459126528049375,2.6306114196777344
100,78272,32,78171,64,1223.0,0.0014653984690085053,-152.9092254638672,24.528738021850586,-1.588656875,0.0008459126528049375,3.2883777618408203
253,83164,32,83063,68,1223.0,0.002090687397867441,-158.14315795898438,39.97917556762695,-1.578778705882353,0.0008459126528049375,60.01465606689453
405,88056,32,87955,72,1223.0,0.001822864986024797,-156.03672790527344,7.198026657104492,-1.5689355972222223,0.0008459126528049375,153.71453857421875
558,92948,32,92847,76,1223.0,0.001965160947293043,-158.98509216308594,17.605560302734375,-1.5557892236842106,0.0008459126528049375,4.169522285461426
713,97840,32,97739,80,1223.0,0.001127435825765133,-161.74734497070312,-3.3855113983154297,-1.5446388,0.0008459126528049375,2.722703456878662
