train/learning_rate,train/critic_loss,train/ent_coef_loss,time/fps,time/time_elapsed,train/actor_loss,time/episodes,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,train/ent_coef,rollout/ep_len_mean
0.0008459126528049375,2.117459774017334,-172.27430725097656,30,163,-121.62739562988281,4,-4.436501000000001,4931,5032,0.017191171646118164,1258.0
0.0008459126528049375,5.566545486450195,-11.99162483215332,31,324,-127.1627197265625,8,-3.4408339999999997,9963,10064,0.0011240331223234534,1258.0
0.0008459126528049375,4.389974594116211,58.37840270996094,30,502,-118.30390930175781,12,-2.8015445833333334,14995,15096,0.001349581521935761,1258.0
0.0008459126528049375,2.0670156478881836,10.632823944091797,30,661,-105.36089324951172,16,-2.5332591874999997,20027,20128,0.0007110530277714133,1258.0
0.0008459126528049375,4.692069053649902,-100.56074523925781,32,4,-88.72537231445312,20,-2.2852186999999997,25059,25160,0.0014380976790562272,1258.0
0.0008459126528049375,3.814819812774658,-9.76928424835205,29,173,-86.80699920654297,24,-2.1654552500000004,30091,30192,0.0008912901976145804,1258.0
0.0008459126528049375,1.141709327697754,-24.44880485534668,29,345,-81.35372161865234,28,-2.1017984285714286,35123,35224,0.000416487455368042,1258.0
0.0008459126528049375,2.233016014099121,124.4245376586914,29,509,-79.42122650146484,32,-2.0246879375,40155,40256,0.0004305211768951267,1258.0
0.0008459126528049375,1.174704909324646,79.72509002685547,30,674,-63.70950698852539,36,-1.9552667499999998,45187,45288,0.00036813929909840226,1258.0
0.0008459126528049375,2.0674004554748535,-9.841716766357422,27,11,-60.43259048461914,40,-1.8817803000000002,50219,50320,0.0005571206565946341,1258.0
0.0008459126528049375,7.729376792907715,-8.3280668258667,28,185,-39.00093078613281,44,-1.8811943863636365,55251,55352,0.0007602967089042068,1258.0
0.0008459126528049375,1.654858112335205,39.33198547363281,29,355,-30.7002010345459,48,-1.837718375,60283,60384,0.0005016070790588856,1258.0
0.0008459126528049375,3.5694823265075684,-116.29098510742188,29,527,-16.672365188598633,52,-1.80242475,65315,65416,0.0007982337265275419,1258.0
0.0008459126528049375,3.9636287689208984,-78.14958190917969,29,688,-10.011478424072266,56,-1.7865501964285713,70347,70448,0.0005147492047399282,1258.0
0.0008459126528049375,7.339470863342285,-50.046749114990234,26,18,-0.2941783666610718,60,-1.7712096166666667,75379,75480,0.0005613911780528724,1258.0
0.0008459126528049375,1.9569926261901855,14.550955772399902,26,206,-0.3806077837944031,64,-1.74932053125,80411,80512,0.0007041959906928241,1258.0
