time/episodes,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,time/fps
4,-174.15298461914062,5032,201,0.017423326149582863,0.0008459126528049375,4931,2.1687748432159424,1258.0,-4.399272,-122.89354705810547,24
8,83.33155822753906,10064,406,0.0014003714313730597,0.0008459126528049375,9963,4.55587100982666,1258.0,-3.4261105,-130.5113525390625,24
12,-14.060335159301758,15096,612,0.0012038237182423472,0.0008459126528049375,14995,5.231836318969727,1258.0,-2.7833065833333337,-127.21309661865234,24
16,58.13787841796875,20128,820,0.0006615961901843548,0.0008459126528049375,20027,1.7001742124557495,1258.0,-2.4887224999999997,-124.93804168701172,24
20,2.0641160011291504,25160,6,0.002265277784317732,0.0008459126528049375,25059,8.46253776550293,1258.0,-2.2563439499999998,-107.99818420410156,25
24,27.81237030029297,30192,206,0.0010509178973734379,0.0008459126528049375,30091,3.5589962005615234,1258.0,-2.1833698333333333,-103.9545669555664,25
28,-27.660785675048828,35224,406,0.0006164941005408764,0.0008459126528049375,35123,2.1200973987579346,1258.0,-2.0504317857142853,-102.82759857177734,25
32,120.90373229980469,40256,611,0.00028921334887854755,0.0008459126528049375,40155,2.7405338287353516,1258.0,-2.01062046875,-102.03203582763672,24
36,8.455397605895996,45288,824,0.00023565160518046468,0.0008459126528049375,45187,1.4507641792297363,1258.0,-1.980336583333333,-95.81819915771484,24
40,68.04537200927734,50320,12,0.0003174430748913437,0.0008459126528049375,50219,1.4624178409576416,1258.0,-1.943669375,-90.5904541015625,25
44,-32.731651306152344,55352,214,0.0003988012613262981,0.0008459126528049375,55251,4.109803676605225,1258.0,-1.8812227499999998,-85.52242279052734,24
48,-24.82717514038086,60384,421,0.0011896983487531543,0.0008459126528049375,60283,12.939898490905762,1258.0,-1.8236578749999997,-75.01704406738281,24
52,-17.796329498291016,65416,633,0.0011481369147077203,0.0008459126528049375,65315,90.14108276367188,1258.0,-1.7755433653846149,-74.32430267333984,24
56,29.83087158203125,70448,846,0.0012987646041437984,0.0008459126528049375,70347,13.599615097045898,1258.0,-1.7326834285714285,-66.53146362304688,24
60,30.66754722595215,75480,21,0.0015321826795116067,0.0008459126528049375,75379,113.59202575683594,1258.0,-1.6960670333333332,-59.8605842590332,21
64,3.298527479171753,80512,259,0.0033549927175045013,0.0008459126528049375,80411,12.509538650512695,1258.0,-1.671561828125,-61.00358963012695,21
