train/learning_rate,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,time/fps,rollout/ep_rew_mean,train/n_updates,time/episodes,time/total_timesteps,time/time_elapsed
0.0008459126528049375,0.017238996922969818,-123.05228424072266,-175.51974487304688,1258.0,1.1231824159622192,33,-4.08048475,4931,4,5032,150
0.0008459126528049375,0.001146431197412312,-130.3788604736328,40.46570587158203,1258.0,3.3930540084838867,32,-3.175565,9963,8,10064,305
0.0008459126528049375,0.0007608120213262737,-131.4055938720703,6.591876983642578,1258.0,6.371194362640381,32,-2.5579065,14995,12,15096,461
0.0008459126528049375,0.0015371295157819986,-125.97315979003906,93.22879028320312,1258.0,8.80623722076416,32,-2.2118210625,20027,16,20128,619
0.0008459126528049375,0.0014650742523372173,-111.6072769165039,220.55807495117188,1258.0,37.48908615112305,31,-2.00709525,25059,20,25160,5
0.0008459126528049375,0.001096837455406785,-102.14956665039062,-18.661895751953125,1258.0,5.0115838050842285,31,-1.9023480833333333,30091,24,30192,165
0.0008459126528049375,0.000914751086384058,-99.6651840209961,-37.566925048828125,1258.0,8.686060905456543,31,-1.8132139642857144,35123,28,35224,323
0.0008459126528049375,0.0005831153830513358,-90.01448822021484,-40.49103546142578,1258.0,6.503923416137695,31,-1.7211613749999999,40155,32,40256,481
0.0008459126528049375,0.0008563994197174907,-82.2193603515625,-27.04672622680664,1258.0,6.6527557373046875,31,-1.6678645277777777,45187,36,45288,639
0.0008459126528049375,0.0008492333581671119,-77.7025146484375,15.488523483276367,1258.0,2.6960649490356445,32,-1.6232644,50219,40,50320,9
0.0008459126528049375,0.0006741755059920251,-74.21588134765625,-2.556363105773926,1258.0,7.7144880294799805,32,-1.578743022727273,55251,44,55352,167
0.0008459126528049375,0.0010487072868272662,-64.5361099243164,70.04032897949219,1258.0,11.502645492553711,31,-1.5737989791666667,60283,48,60384,324
0.0008459126528049375,0.0006489006336778402,-57.454280853271484,6.936409950256348,1258.0,5.29689884185791,32,-1.5532454807692306,65315,52,65416,481
0.0008459126528049375,0.0010660242987796664,-47.475868225097656,-5.724181175231934,1258.0,10.03477668762207,32,-1.5280372500000001,70347,56,70448,628
0.0008459126528049375,0.0009880432626232505,-34.50899124145508,-21.657215118408203,1258.0,6.996870994567871,33,-1.5142012666666667,75379,60,75480,14
0.0008459126528049375,0.000996023416519165,-22.72157859802246,-12.210555076599121,1258.0,14.72939395904541,32,-1.500317328125,80411,64,80512,169
