time/fps,train/actor_loss,train/n_updates,train/ent_coef,time/episodes,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean
10,-122.50846099853516,4931,0.01709182932972908,4,-184.28176879882812,1258.0,0.0008459126528049375,472,1.9559853076934814,5032,-4.0971795
10,-122.62744140625,9963,0.0011485761497169733,8,-95.74708557128906,1258.0,0.0008459126528049375,954,3.406550884246826,10064,-3.0416715
10,-102.11925506591797,14995,0.0012040229048579931,12,-21.13785171508789,1258.0,0.0008459126528049375,1430,2.9464263916015625,15096,-2.3661235
10,-83.53137969970703,20027,0.0008890329045243561,16,-19.94024658203125,1258.0,0.0008459126528049375,1914,2.5232791900634766,20128,-2.0393941875
10,-67.56717681884766,25059,0.000797450018581003,20,13.52536392211914,1258.0,0.0008459126528049375,15,3.1353490352630615,25160,-1.85648865
10,-66.2599105834961,30091,0.000283818575553596,24,-31.670852661132812,1258.0,0.0008459126528049375,505,2.4351015090942383,30192,-1.737914375
10,-66.6414794921875,35123,0.00018123483459930867,28,14.541521072387695,1258.0,0.0008459126528049375,994,0.7668887376785278,35224,-1.6222096428571429
10,-63.346038818359375,40155,0.0003557808813638985,32,-2.516925811767578,1258.0,0.0008459126528049375,1482,2.686723232269287,40256,-1.5461430624999999
10,-62.39128112792969,45187,0.00012772530317306519,36,6.219821929931641,1258.0,0.0008459126528049375,1966,1.810594916343689,45288,-1.4823989722222222
10,-61.71454620361328,50219,0.00035909918369725347,40,-36.051246643066406,1258.0,0.0008459126528049375,29,0.8148982524871826,50320,-1.42235175
10,-58.454105377197266,55251,0.0004918570630252361,44,72.43572998046875,1258.0,0.0008459126528049375,512,0.8595668077468872,55352,-1.3847512499999999
10,-52.8687858581543,60283,0.0002896547084674239,48,-92.6281967163086,1258.0,0.0008459126528049375,996,1.0578328371047974,60384,-1.340970083333333
10,-52.36274337768555,65315,0.000319196202326566,52,-89.2115478515625,1258.0,0.0008459126528049375,1476,1.4457827806472778,65416,-1.3134539038461535
10,-48.36374282836914,70347,0.0003792069328483194,56,4.544044494628906,1258.0,0.0008459126528049375,1960,1.3197025060653687,70448,-1.2844965178571428
10,-47.6330451965332,75379,0.0007995838532224298,60,6.480443000793457,1258.0,0.0008459126528049375,46,0.8741827607154846,75480,-1.2586253666666665
10,-42.77838897705078,80411,0.0005117089604027569,64,-17.064037322998047,1258.0,0.0008459126528049375,540,0.7708033323287964,80512,-1.2310705937500002
10,-45.54169845581055,85443,0.0005561794387176633,68,27.61631202697754,1258.0,0.0008459126528049375,1036,1.1636099815368652,85544,-1.2092504117647058
10,-38.01952362060547,90475,0.0006680457736365497,72,-60.60406494140625,1258.0,0.0008459126528049375,1523,59.21797180175781,90576,-1.188012
