time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/std,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
10752,21,1825,5,0.0004092704424510632,0.005286276340484619,320,0.2,0.31396484375,0.04283709218725562,0.9842236638069153,-43.469929933547974,0.03966086,-0.034570690244436264,-0.0331032624526415,-2.6676079999999995,1258.0
11264,22,1821,6,0.0004092704424510632,-0.034186601638793945,336,0.2,0.2613525390625,0.0018550265522208065,0.9866177439689636,-43.50037729740143,0.022606634,-0.03130508214235306,-0.028736872627632692,-2.6676079999999995,1258.0
11776,23,1817,6,0.0004092704424510632,0.03911244869232178,352,0.2,0.2613525390625,0.01012664807785768,0.9870522022247314,-43.557241439819336,0.025872603,-0.03391564264893532,-0.02672455896390602,-2.6700942222222217,1258.0
12288,24,1813,6,0.0004092704424510632,0.04600018262863159,368,0.2,0.212158203125,0.04053281474625692,0.986538827419281,-43.555184960365295,0.019479554,-0.01703680120408535,-0.022054387081880122,-2.6700942222222217,1258.0
12800,25,1810,7,0.0004092704424510632,0.042344093322753906,384,0.2,0.2486572265625,0.0028849965638073627,0.9873878955841064,-43.54759168624878,0.0201884,-0.044555965811014175,-0.027937633927649586,-2.6777501999999993,1258.0
13312,26,1807,7,0.0004092704424510632,0.033487915992736816,400,0.2,0.2607421875,0.06487679341807961,0.9865676760673523,-43.55709660053253,0.02069252,-0.010705366730690002,-0.02892280386731727,-2.6777501999999993,1258.0
13824,27,1804,7,0.0004092704424510632,-0.2083888053894043,416,0.2,0.1817626953125,0.0014934927457943559,0.9845281839370728,-43.50749671459198,0.0136405025,-0.03758508339524269,-0.02244547099689953,-2.6777501999999993,1258.0
14336,28,1800,7,0.0004092704424510632,0.16784143447875977,432,0.2,0.2747802734375,0.0085473598446697,0.9838722944259644,-43.45802676677704,0.02556185,-0.0350927859544754,-0.02837851262302138,-2.6692652727272725,1258.0
14848,29,1799,8,0.0004092704424510632,0.09051388502120972,448,0.2,0.295166015625,0.035566810925956815,0.9835831522941589,-43.440839529037476,0.03394287,-0.015768831595778465,-0.02447724898229353,-2.6692652727272725,1258.0
15360,30,1797,8,0.0004092704424510632,-0.16921520233154297,464,0.2,0.1533203125,0.002788948448142037,0.9827494025230408,-43.43096137046814,0.012763426,-0.034507520496845245,-0.01994971776730381,-2.662406083333333,1258.0
15872,31,1796,8,0.0004092704424510632,0.04250580072402954,480,0.2,0.2672119140625,0.0836384407011792,0.9819108247756958,-43.40476989746094,0.019916775,-0.014537971466779709,-0.033450202929088846,-2.662406083333333,1258.0
