time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/std,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,4037,0,,,,,,,,,,,,,
1024,2,2419,0,0.0004092704424510632,-0.3003288507461548,16,0.2,0.2633056640625,0.10555965422099689,1.0013219118118286,-44.00449883937836,0.019891929,-0.033011917024850845,-0.030715809494722635,,
1536,3,2169,0,0.0004092704424510632,-0.007273197174072266,32,0.2,0.2548828125,0.003931446946808137,1.0019793510437012,-44.03699994087219,0.022366904,-0.029407469555735588,-0.02778848093294073,-2.895612,1258.0
2048,4,2061,0,0.0004092704424510632,-0.003104686737060547,48,0.2,0.3553466796875,0.019828282354865223,1.0017919540405273,-44.04638409614563,0.03451598,-0.038236066699028015,-0.033339115703711286,-2.895612,1258.0
2560,5,2006,1,0.0004092704424510632,-0.025209903717041016,64,0.2,0.3057861328125,0.002902337902924046,1.0001718997955322,-44.019983649253845,0.016949514,-0.03963666409254074,-0.027698181045707315,-2.774483,1258.0
3072,6,1967,1,0.0004092704424510632,0.0035071372985839844,80,0.2,0.2926025390625,0.03253126877825707,1.0009536743164062,-43.9914345741272,0.020918265,-0.01398051530122757,-0.026648520451999502,-2.774483,1258.0
3584,7,1931,1,0.0004092704424510632,0.016915977001190186,96,0.2,0.23095703125,0.001709160560494638,1.0014808177947998,-44.02471101284027,0.016599309,-0.02259284071624279,-0.02283445166540332,-2.774483,1258.0
4096,8,1905,2,0.0004092704424510632,0.007090091705322266,112,0.2,0.266357421875,0.011539454368175939,1.0012861490249634,-44.02760314941406,0.019142292,-0.035189077258110046,-0.024041694618063048,-2.7748190000000004,1258.0
4608,9,1892,2,0.0004092704424510632,-0.0004494190216064453,128,0.2,0.2120361328125,0.0353686697781086,1.0003821849822998,-44.01090204715729,0.013110996,-0.005377801135182381,-0.019302762753795832,-2.7748190000000004,1258.0
5120,10,1882,2,0.0004092704424510632,0.002108454704284668,144,0.2,0.217041015625,0.003223309562599752,1.0006252527236938,-43.9962203502655,0.01680592,-0.022061878815293312,-0.0177435694495216,-2.7487167500000003,1258.0
