time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/clip_range,train/std,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
38912,76,1265,30,-43.401360750198364,-0.8149343729019165,0.2001953125,1200,0.2,0.9839266538619995,-0.02589167095720768,0.015385982,0.0004092704424510632,0.024702101829461753,-0.021031265787314624,1258.0,-2.3009044999999997
39424,77,1265,31,-43.388453245162964,0.0901799201965332,0.3280029296875,1216,0.2,0.9829967617988586,-0.0404423326253891,0.029594898,0.0004092704424510632,0.009408892816281877,-0.03428237601474393,1258.0,-2.3088531935483867
39936,78,1265,31,-43.366671085357666,0.19429457187652588,0.0758056640625,1232,0.2,0.9826815724372864,0.028848450630903244,0.01386486,0.0004092704424510632,0.2688674267847091,-0.013109651001286693,1258.0,-2.3088531935483867
40448,79,1264,31,-43.38048791885376,-2.762648344039917,0.22802734375,1248,0.2,0.9842407703399658,-0.020247776061296463,0.017247956,0.0004092704424510632,0.008373996970476583,-0.021714529226301238,1258.0,-2.3092137187499997
40960,80,1263,32,-43.41733503341675,0.2519911527633667,0.102294921875,1264,0.2,0.9837813973426819,0.031905852258205414,0.020384528,0.0004092704424510632,0.2866858281195164,-0.01591529112192802,1258.0,-2.3092137187499997
41472,81,1263,32,-43.38717544078827,-10.429917335510254,0.2344970703125,1280,0.2,0.9834781885147095,-0.0389920212328434,0.014518799,0.0004092704424510632,0.006450533925089985,-0.024094774416880682,1258.0,-2.3092137187499997
41984,82,1262,33,-43.395079016685486,0.24955397844314575,0.2322998046875,1296,0.2,0.9835930466651917,-0.026651615276932716,0.019983485,0.0004092704424510632,0.0039106248441385105,-0.020897678477922454,1258.0,-2.3068414848484844
42496,83,1262,33,-43.389936327934265,0.1693550944328308,0.1611328125,1312,0.2,0.9837456345558167,0.0036067478358745575,0.016606005,0.0004092704424510632,0.24913843208923936,-0.022247653017984703,1258.0,-2.3068414848484844
43008,84,1261,34,-43.388232707977295,-9.241360664367676,0.245849609375,1328,0.2,0.9830222129821777,-0.03670898452401161,0.02062288,0.0004092704424510632,0.024813497788272798,-0.023861622088588774,1258.0,-2.3095995
43520,85,1261,34,-43.36294114589691,0.05643266439437866,0.179931640625,1344,0.2,0.982688307762146,0.039085932075977325,0.018671473,0.0004092704424510632,0.42815774376504123,-0.019454831955954432,1258.0,-2.3095995
44032,86,1260,34,-43.343456983566284,-15.888616561889648,0.2392578125,1360,0.2,0.9814619421958923,-0.032059136778116226,0.022077888,0.0004092704424510632,0.010638161489623599,-0.02298637747298926,1258.0,-2.3112162857142855
44544,87,1260,35,-43.294530510902405,0.09971821308135986,0.15673828125,1376,0.2,0.9805905818939209,0.08161057531833649,0.017645076,0.0004092704424510632,0.415267750620842,-0.022992700367467478,1258.0,-2.3112162857142855
