time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/std,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
4087,512,1,0,,,,,,,,,,,,,
2338,1024,2,0,-0.04523293301463127,-43.94869005680084,-0.3737666606903076,-0.03666285178042017,16,0.2054331171020749,0.2,0.0004092704424510632,0.01769746,0.9977732300758362,0.292236328125,,
2057,1536,3,0,-0.045202307403087616,-43.94128656387329,0.005574584007263184,-0.031219638491165824,32,0.0025985951579059474,0.2,0.0004092704424510632,0.01968242,0.9999642372131348,0.266357421875,1258.0,-2.233264
1927,2048,4,1,-0.0299469456076622,-43.99416518211365,0.0020317435264587402,-0.02570363151608035,48,0.0033123134708148427,0.2,0.0004092704424510632,0.0193832,1.0002200603485107,0.2669677734375,1258.0,-2.233264
1859,2560,5,1,-0.04004587605595589,-43.993775963783264,2.9385089874267578e-05,-0.026313127193134278,64,0.002607849790365435,0.2,0.0004092704424510632,0.016147045,1.000813603401184,0.2674560546875,1258.0,-2.207091
1814,3072,6,1,-0.0467524528503418,-43.991464257240295,0.0023453831672668457,-0.03137365171278361,80,0.0061683471576543525,0.2,0.0004092704424510632,0.022634525,0.999420702457428,0.295654296875,1258.0,-2.207091
1779,3584,7,2,-0.04061782732605934,-43.980390191078186,0.012209057807922363,-0.023205646575661376,96,0.0012406319783622166,0.2,0.0004092704424510632,0.013603187,1.001487374305725,0.203369140625,1258.0,-2.207091
1765,4096,8,2,-0.042603619396686554,-44.05944776535034,0.004059195518493652,-0.030622125748777762,112,0.003862025754642673,0.2,0.0004092704424510632,0.017263608,1.0033832788467407,0.2738037109375,1258.0,-2.1571770000000003
1755,4608,9,2,-0.031183920800685883,-44.08125960826874,0.006118893623352051,-0.026027269050246105,128,0.006718977499986067,0.2,0.0004092704424510632,0.0185398,1.00298273563385,0.26318359375,1258.0,-2.1571770000000003
1746,5120,10,2,-0.03580758720636368,-44.059571862220764,0.004826724529266357,-0.028529389266623184,144,0.0024371338258788455,0.2,0.0004092704424510632,0.017167056,1.0024006366729736,0.266357421875,1258.0,-2.13053425
1736,5632,11,3,-0.025357920676469803,-44.04113578796387,0.005620718002319336,-0.028477486950578168,160,0.013584669592091814,0.2,0.0004092704424510632,0.023030777,1.0016436576843262,0.2886962890625,1258.0,-2.13053425
1730,6144,12,3,-0.03591367229819298,-44.00625824928284,0.013679146766662598,-0.02856585875269957,176,0.001324975055467803,0.2,0.0004092704424510632,0.019546825,0.9999499320983887,0.2789306640625,1258.0,-2.13053425
1724,6656,13,3,-0.0320105254650116,-43.95500659942627,0.02114945650100708,-0.023421451565809548,192,0.00538808036071714,0.2,0.0004092704424510632,0.016571049,0.9983168840408325,0.2335205078125,1258.0,-2.1175164000000004
1718,7168,14,4,-0.029742050915956497,-43.918506145477295,0.023381352424621582,-0.02961532630433794,208,0.020065148826688528,0.2,0.0004092704424510632,0.022006627,0.998095691204071,0.2545166015625,1258.0,-2.1175164000000004
1715,7680,15,4,-0.043240223079919815,-43.92640960216522,0.09926426410675049,-0.02991784225741867,224,0.002565595947089605,0.2,0.0004092704424510632,0.024546118,0.9987508058547974,0.2899169921875,1258.0,-2.1046195
1710,8192,16,4,-0.017304731532931328,-43.92657554149628,0.01427847146987915,-0.028640332020586357,240,0.03210439352551475,0.2,0.0004092704424510632,0.022932077,0.9979116916656494,0.2706298828125,1258.0,-2.1046195
1703,8704,17,5,-0.03479863703250885,-43.88932132720947,-0.1881575584411621,-0.026582973536278587,256,0.001909544009322417,0.2,0.0004092704424510632,0.015090501,0.9968263506889343,0.2205810546875,1258.0,-2.1046195
1709,9216,18,5,-0.04136623069643974,-43.87618005275726,0.1729559302330017,-0.030466724550933577,272,0.003906282137904782,0.2,0.0004092704424510632,0.02652467,0.9971458315849304,0.26806640625,1258.0,-2.112266714285714
1710,9728,19,5,-0.026450401172041893,-43.89747703075409,0.2572452425956726,-0.02564668911509216,288,0.03138908086111769,0.2,0.0004092704424510632,0.01640251,0.9978451132774353,0.2159423828125,1258.0,-2.112266714285714
1715,10240,20,5,-0.042709216475486755,-43.898327231407166,-0.8600578308105469,-0.028796304846764542,304,0.0032160408518393524,0.2,0.0004092704424510632,0.019979363,0.9974427223205566,0.2593994140625,1258.0,-2.11279025
