train/n_updates,time/time_elapsed,time/episodes,train/actor_loss,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/critic_loss,time/fps,rollout/ep_len_mean
4931,215,4,-122.3702621459961,-162.91326904296875,0.017288289964199066,-4.5081875,5032,0.0008459126528049375,1.7833490371704102,23,1258.0
9963,432,8,-124.05126953125,-25.467866897583008,0.0008871518075466156,-3.262055625,10064,0.0008459126528049375,2.4241676330566406,23,1258.0
14995,649,12,-124.46636199951172,-63.95880126953125,0.0007436171290464699,-2.6121268333333334,15096,0.0008459126528049375,8.110782623291016,23,1258.0
20027,867,16,-110.65925598144531,-21.912111282348633,0.0008839059737510979,-2.3448603125,20128,0.0008459126528049375,3.9763741493225098,23,1258.0
25059,6,20,-100.61857604980469,-42.54152297973633,0.0007450059056282043,-2.15199595,25160,0.0008459126528049375,5.867270469665527,23,1258.0
