train/ent_coef,time/fps,train/critic_loss,train/n_updates,train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/actor_loss,time/total_timesteps
0.01902102306485176,75,1.1313315629959106,4791,-165.15199279785156,-4.75449225,0.0008459126528049375,65,4,1223.0,-122.43476867675781,4892
0.0009112943080253899,74,4.084572792053223,9683,-40.93000793457031,-3.770011625,0.0008459126528049375,131,8,1223.0,-128.7387237548828,9784
0.0007394768763333559,74,3.3800971508026123,14575,-93.746826171875,-3.1611128333333336,0.0008459126528049375,197,12,1223.0,-126.41410827636719,14676
0.0008156403782777488,73,7.123929023742676,19467,-39.29681396484375,-2.853551375,0.0008459126528049375,266,16,1223.0,-115.5623779296875,19568
0.0006026346818543971,72,2.1391308307647705,24359,4.382449150085449,-2.5744029,0.0008459126528049375,337,20,1223.0,-108.99555206298828,24460
0.0002993031230289489,68,3.232555866241455,29251,62.700660705566406,-2.4304083750000003,0.0008459126528049375,63,24,1223.0,-111.28684997558594,29352
0.0005227765650488436,69,2.186000347137451,34143,37.02821731567383,-2.3352505714285714,0.0008459126528049375,132,28,1223.0,-110.23719024658203,34244
0.00042574270628392696,70,3.0919904708862305,39035,68.70072937011719,-2.2598312500000004,0.0008459126528049375,200,32,1223.0,-109.41393280029297,39136
0.0003137178428005427,70,3.296619415283203,43927,51.511810302734375,-2.197279416666667,0.0008459126528049375,269,36,1223.0,-104.56103515625,44028
0.00046736019430682063,70,2.6410293579101562,48819,-32.041893005371094,-2.137106225,0.0008459126528049375,337,40,1223.0,-89.36390686035156,48920
0.000278917868854478,72,4.132169723510742,53711,-18.146459579467773,-2.1119024772727277,0.0008459126528049375,52,44,1223.0,-84.80259704589844,53812
0.0004214308282826096,72,3.284200429916382,58603,-16.216949462890625,-2.074457145833333,0.0008459126528049375,120,48,1223.0,-59.93265914916992,58704
0.0011336023453623056,71,2.6900076866149902,63495,-19.251127243041992,-2.035467365384615,0.0008459126528049375,188,52,1223.0,-57.23834228515625,63596
0.0005984452436678112,71,4.822033405303955,68387,31.565040588378906,-2.0113080178571425,0.0008459126528049375,257,56,1223.0,-50.538169860839844,68488
0.0005061242263764143,71,16.381332397460938,73279,43.750709533691406,-1.9933399333333333,0.0008459126528049375,326,60,1223.0,-44.00918960571289,73380
0.0007265132153406739,69,2.1685070991516113,78171,-1.1796631813049316,-1.9786635781250002,0.0008459126528049375,47,64,1223.0,-41.364501953125,78272
0.0006881136214360595,69,3.405364513397217,83063,48.386653900146484,-1.9595419264705887,0.0008459126528049375,118,68,1223.0,-38.47971725463867,83164
0.001306000747717917,68,5.751517295837402,87955,-15.712039947509766,-1.9292937777777779,0.0008459126528049375,189,72,1223.0,-32.596744537353516,88056
0.0007843275088816881,68,13.899975776672363,92847,17.04412269592285,-1.9085230789473684,0.0008459126528049375,261,76,1223.0,-25.23406410217285,92948
0.001742579392157495,70,26.592575073242188,97739,-50.34345245361328,-1.8875484999999999,0.0008459126528049375,325,80,1223.0,1.037351369857788,97840
