train/ent_coef,rollout/ep_rew_mean,train/actor_loss,time/fps,time/episodes,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,train/ent_coef_loss,time/time_elapsed,train/n_updates
0.01719881407916546,-5.08025625,-120.4667739868164,12,4,1257.0,2.135267972946167,5028,0.0008459126528049375,-182.188232421875,395,4927
0.0016108142444863915,-3.944598375,-120.87601470947266,12,8,1257.0,6.219916343688965,10056,0.0008459126528049375,83.89928436279297,806,9955
0.0013544844696298242,-3.294094583333333,-117.13135528564453,12,12,1257.0,2.7426962852478027,15084,0.0008459126528049375,-3.6126604080200195,1208,14983
0.0007112341118045151,-2.978383375,-113.49617004394531,12,16,1257.0,1.1938598155975342,20112,0.0008459126528049375,-63.145729064941406,1617,20011
0.00038677314296364784,-2.90570665,-110.31283569335938,12,20,1257.0,3.198667526245117,25140,0.0008459126528049375,-8.643741607666016,10,25039
0.0012920871376991272,-2.7455397083333337,-106.49410247802734,12,24,1257.0,5.458760738372803,30168,0.0008459126528049375,14.272195816040039,407,30067
0.0012084420304745436,-2.627441857142857,-96.30543518066406,12,28,1257.0,1.9142463207244873,35196,0.0008459126528049375,11.375052452087402,806,35095
0.0032152151688933372,-2.5528330625,-70.20076751708984,12,32,1257.0,7.513189315795898,40224,0.0008459126528049375,357.470703125,1211,40123
0.00939259771257639,-2.6518216388888884,-52.812049865722656,12,36,1257.0,3.8598766326904297,45252,0.0008459126528049375,-32.18550109863281,1609,45151
0.0006967572262510657,-2.6613138,-47.73681640625,12,40,1257.0,1.509757399559021,50280,0.0008459126528049375,-31.353168487548828,22,50179
0.000678502197843045,-2.587317204545455,-39.52770233154297,12,44,1257.0,2.0014472007751465,55308,0.0008459126528049375,-40.17550277709961,435,55207
0.0011481938418000937,-2.539574,-22.064077377319336,12,48,1257.0,6.196162700653076,60336,0.0008459126528049375,-75.5988998413086,847,60235
0.0004810314567293972,-2.508464269230769,-20.719667434692383,12,52,1257.0,1.1478769779205322,65364,0.0008459126528049375,2.4217395782470703,1254,65263
0.0005443696863949299,-2.475776375,1.2686923742294312,12,56,1257.0,1.4033547639846802,70392,0.0008459126528049375,-0.4632764160633087,1659,70291
0.00022524602536577731,-2.444718583333333,2.304919719696045,11,60,1257.0,1.1198867559432983,75420,0.0008459126528049375,-12.520136833190918,35,75319
