rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/episodes,train/ent_coef_loss,time/total_timesteps,train/n_updates,time/fps,train/actor_loss
-5.1014355,184,0.017337236553430557,1257.0,2.5140764713287354,0.0008459126528049375,4,-176.14259338378906,5028,4927,27,-123.69009399414062
-4.347845625,369,0.0013813106343150139,1257.0,5.398995876312256,0.0008459126528049375,8,7.802740573883057,10056,9955,27,-132.31622314453125
-3.579788583333333,522,0.0014615777181461453,1257.0,15.7712984085083,0.0008459126528049375,12,15.512957572937012,15084,14983,28,-127.77241516113281
-3.1714190625,674,0.001971758669242263,1257.0,12.295249938964844,0.0008459126528049375,16,-36.31892013549805,20112,20011,29,-108.7419662475586
-2.9930667,4,0.0012246209662407637,1257.0,7.054685592651367,0.0008459126528049375,20,-155.68260192871094,25140,25039,33,-95.9337387084961
-2.8628234166666666,155,0.0008922648266889155,1257.0,2.5677924156188965,0.0008459126528049375,24,-86.07232666015625,30168,30067,33,-69.37511444091797
-2.7489173214285714,306,0.0005303203361108899,1257.0,1.5958948135375977,0.0008459126528049375,28,-9.972334861755371,35196,35095,33,-66.12467193603516
-2.678358375,456,0.0007778176222927868,1257.0,2.1295909881591797,0.0008459126528049375,32,120.78988647460938,40224,40123,33,-58.38911437988281
-2.5980624444444445,606,0.0005124202580191195,1257.0,4.445587158203125,0.0008459126528049375,36,4.976503849029541,45252,45151,33,-55.48310089111328
-2.5269209249999998,8,0.00100686214864254,1257.0,2.070202350616455,0.0008459126528049375,40,-83.1009521484375,50280,50179,33,-55.335655212402344
-2.4782302045454547,158,0.0009059098083525896,1257.0,1.9740619659423828,0.0008459126528049375,44,-24.4024600982666,55308,55207,33,-43.993896484375
-2.431721979166667,307,0.000466451165266335,1257.0,3.0300450325012207,0.0008459126528049375,48,33.95791244506836,60336,60235,33,-40.190773010253906
-2.388308,444,0.0008115784730762243,1257.0,1.0143144130706787,0.0008459126528049375,52,18.264440536499023,65364,65263,34,-37.88852310180664
-2.3446332321428573,583,0.0017122321296483278,1257.0,4.536139011383057,0.0008459126528049375,56,-6.189650058746338,70392,70291,34,-15.263526916503906
-2.3155109499999997,12,0.0006335506914183497,1257.0,2.9343512058258057,0.0008459126528049375,60,1.011027455329895,75420,75319,34,-9.617449760437012
