train/learning_rate,rollout/ep_rew_mean,train/ent_coef,train/actor_loss,train/n_updates,time/fps,rollout/ep_len_mean,time/episodes,train/critic_loss,train/ent_coef_loss,time/total_timesteps,time/time_elapsed
0.0008459126528049375,-4.502534750000001,0.017351634800434113,-122.93311309814453,4931,11,1258.0,4,2.2899060249328613,-168.80819702148438,5032,443
0.0008459126528049375,-3.3377513750000003,0.0014458344085142016,-129.7042236328125,9963,11,1258.0,8,3.894245147705078,-57.60674285888672,10064,904
0.0008459126528049375,-2.7157955,0.0015048320638015866,-130.80711364746094,14995,11,1258.0,12,4.783141136169434,10.483834266662598,15096,1367
0.0008459126528049375,-2.3323935000000002,0.0007071881555020809,-135.2073211669922,20027,10,1258.0,16,2.723647117614746,35.44422912597656,20128,1831
0.0008459126528049375,-2.0896484,0.0006207583355717361,-132.62393188476562,25059,10,1258.0,20,4.046003818511963,46.30007553100586,25160,14
0.0008459126528049375,-1.9483530416666668,0.0013322299346327782,-116.7698745727539,30091,10,1258.0,24,4.077861785888672,-51.204471588134766,30192,482
0.0008459126528049375,-1.8561375357142857,0.0010483837686479092,-113.72139739990234,35123,10,1258.0,28,10.120649337768555,-39.48710250854492,35224,958
0.0008459126528049375,-1.76702490625,0.002052277559414506,-81.21565246582031,40155,10,1258.0,32,22.5279483795166,-82.321044921875,40256,1419
0.0008459126528049375,-1.7199071944444446,0.0014578844420611858,-66.75827026367188,45187,10,1258.0,36,10.510747909545898,-24.522933959960938,45288,1882
0.0008459126528049375,-1.659797025,0.0011011319002136588,-60.755027770996094,50219,10,1258.0,40,12.426298141479492,-36.852230072021484,50320,30
0.0008459126528049375,-1.6108793181818184,0.0013827248476445675,-55.98368835449219,55251,10,1258.0,44,13.353915214538574,8.881938934326172,55352,503
0.0008459126528049375,-1.5804111875,0.0006353307398967445,-53.74399185180664,60283,10,1258.0,48,7.5492753982543945,1.334903359413147,60384,975
0.0008459126528049375,-1.5504621730769228,0.0005055508809164166,-52.501068115234375,65315,10,1258.0,52,12.228885650634766,-44.209625244140625,65416,1449
