time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef
4,-4.27625025,1223.0,33,-170.8937225341797,4892,145,0.0008459126528049375,4791,1.067561149597168,-120.78885650634766,0.019676148891448975
8,-3.327364625,1223.0,33,30.091402053833008,9784,294,0.0008459126528049375,9683,2.7922110557556152,-130.45574951171875,0.0015323924599215388
12,-2.7753270833333334,1223.0,33,2.2272918224334717,14676,444,0.0008459126528049375,14575,3.4555552005767822,-132.27455139160156,0.001230856403708458
16,-2.4066184374999997,1223.0,32,2.9697659015655518,19568,595,0.0008459126528049375,19467,4.694627285003662,-112.8599624633789,0.001175816636532545
20,-2.2017394999999995,1223.0,32,7.638859272003174,24460,750,0.0008459126528049375,24359,6.561213970184326,-108.87789154052734,0.0009200525237247348
24,-2.0541549166666666,1223.0,28,-39.31151580810547,29352,151,0.0008459126528049375,29251,2.338470935821533,-103.22338104248047,0.0010705293389037251
28,-1.9744620714285712,1223.0,29,30.810091018676758,34244,309,0.0008459126528049375,34143,0.8459398150444031,-101.17256164550781,0.0004635290533769876
32,-1.91549353125,1223.0,30,-8.912774085998535,39136,461,0.0008459126528049375,39035,2.018611431121826,-96.89200592041016,0.00039029467734508216
36,-1.842407027777778,1223.0,30,4.111946105957031,44028,613,0.0008459126528049375,43927,2.1823880672454834,-96.31159210205078,0.0005583656020462513
40,-1.7829944999999998,1223.0,31,-17.897493362426758,48920,767,0.0008459126528049375,48819,2.261295795440674,-80.43768310546875,0.0009059845469892025
44,-1.7353779318181815,1223.0,31,-34.662437438964844,53812,120,0.0008459126528049375,53711,2.28714656829834,-74.6376724243164,0.0002664205676410347
48,-1.6942588125,1223.0,31,43.29383087158203,58704,274,0.0008459126528049375,58603,57.365745544433594,-55.10370635986328,0.0007152984035201371
52,-1.658402653846154,1223.0,31,122.11193084716797,63596,429,0.0008459126528049375,63495,2.112752676010132,-56.27876663208008,0.00038546923315152526
56,-1.622628,1223.0,30,-44.07294464111328,68488,597,0.0008459126528049375,68387,3.011868953704834,-53.53571701049805,0.000810633588116616
60,-1.6063849666666663,1223.0,30,-21.550251007080078,73380,775,0.0008459126528049375,73279,1.213101863861084,-51.588741302490234,0.0006469017826020718
64,-1.5978647499999998,1223.0,27,24.859413146972656,78272,120,0.0008459126528049375,78171,0.8625954389572144,-49.23387908935547,0.0005845095729455352
68,-1.5805851029411766,1223.0,28,20.76177978515625,83164,284,0.0008459126528049375,83063,1.27064049243927,-49.0018196105957,0.0006599921034649014
72,-1.5566275138888888,1223.0,28,27.335683822631836,88056,459,0.0008459126528049375,87955,0.5404239892959595,-50.1879997253418,0.0006739209638908505
76,-1.5321500789473683,1223.0,27,11.335505485534668,92948,645,0.0008459126528049375,92847,1.1250274181365967,-43.71067428588867,0.0004804267664439976
