time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
4052,512,0,1,,,,,,,,,,,,,
1884,1024,0,2,0.0004092704424510632,0.2857666015625,0.15610635228222236,0.2,0.9992034435272217,-43.97405385971069,-0.03653164589195512,0.020836936,-0.04204368591308594,-0.5817897319793701,16,,
1596,1536,0,3,0.0004092704424510632,0.266845703125,0.00401224701636238,0.2,0.9975932836532593,-43.93952035903931,-0.026890218316111714,0.015359221,-0.03370006009936333,-0.07272720336914062,32,-2.167409,1257.0
1484,2048,1,4,0.0004092704424510632,0.24951171875,0.003041298063180875,0.2,0.9981791377067566,-43.91526401042938,-0.026329554413678125,0.017991725,-0.0277581587433815,-0.014894723892211914,48,-2.167409,1257.0
1427,2560,1,5,0.0004092704424510632,0.22900390625,0.002331057872652309,0.2,1.0011926889419556,-43.969114780426025,-0.024089829457807355,0.0126445815,-0.029768282547593117,0.05126142501831055,64,-2.1854105,1257.0
1390,3072,2,6,0.0004092704424510632,0.3590087890625,0.010084933397592977,0.2,0.9999107718467712,-44.01287126541138,-0.03346548952686135,0.03165711,-0.03991954028606415,-0.02685260772705078,80,-2.1854105,1257.0
1361,3584,2,7,0.0004092704424510632,0.2877197265625,0.004806376920896582,0.2,0.9982923269271851,-43.952385783195496,-0.029736871423665434,0.025460735,-0.03507058322429657,0.017672181129455566,96,-2.1854105,1257.0
1342,4096,3,8,0.0004092704424510632,0.32421875,0.004666183674999047,0.2,0.9965185523033142,-43.90405869483948,-0.032184232433792204,0.018677045,-0.045648396015167236,-0.010150313377380371,112,-2.2631080000000003,1257.0
1329,4608,3,9,0.0004092704424510632,0.316650390625,0.018140155443688855,0.2,0.9952957630157471,-43.85238480567932,-0.02768860018113628,0.023306716,-0.030704213306307793,-0.000920414924621582,128,-2.2631080000000003,1257.0
1321,5120,3,10,0.0004092704424510632,0.2879638671875,0.001988273459573975,0.2,0.9935108423233032,-43.81409132480621,-0.03039866656763479,0.019329697,-0.043231431394815445,0.002271890640258789,144,-2.2414705,1257.0
1313,5632,4,11,0.0004092704424510632,0.31640625,0.022139466658700258,0.2,0.992755651473999,-43.76418650150299,-0.028990690887439996,0.024930183,-0.02928011491894722,-0.009489178657531738,160,-2.2414705,1257.0
1306,6144,4,12,0.0004092704424510632,0.2525634765625,0.004147890591411851,0.2,0.9946480989456177,-43.779168128967285,-0.025618340325308964,0.016482793,-0.034839000552892685,0.014042377471923828,176,-2.2414705,1257.0
1300,6656,5,13,0.0004092704424510632,0.3271484375,0.004100967402337119,0.2,0.995506227016449,-43.83114671707153,-0.03308992559323087,0.024156734,-0.04642047360539436,-0.0036208629608154297,192,-2.2677274,1257.0
1295,7168,5,14,0.0004092704424510632,0.2847900390625,0.03300923464121297,0.2,0.9951541423797607,-43.8355450630188,-0.029584653995698318,0.01686541,-0.025260377675294876,0.0011914372444152832,208,-2.2677274,1257.0
1290,7680,5,15,0.0004092704424510632,0.255615234375,0.003503554493363481,0.2,0.9970354437828064,-43.84790372848511,-0.024852710655977717,0.01787944,-0.0501585491001606,-0.05620229244232178,224,-2.256031,1257.0
1285,8192,6,16,0.0004092704424510632,0.295654296875,0.03899817739147693,0.2,0.9989271759986877,-43.91305112838745,-0.030407369122258388,0.022593303,-0.03069802187383175,-0.0007163286209106445,240,-2.256031,1257.0
1282,8704,6,17,0.0004092704424510632,0.2464599609375,0.004091926268301904,0.2,1.0007137060165405,-43.96639120578766,-0.02670945570571348,0.019872494,-0.03577971085906029,0.012221574783325195,256,-2.256031,1257.0
1279,9216,7,18,0.0004092704424510632,0.2718505859375,0.0045750181743642315,0.2,1.0017402172088623,-44.01761031150818,-0.026897350006038323,0.02200853,-0.040036391466856,-0.003068685531616211,272,-2.2799977142857144,1257.0
