train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/learning_rate,time/time_elapsed,train/ent_coef,train/critic_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes
-166.89840698242188,1258.0,-123.29552459716797,4931,0.0008459126528049375,72,0.01762617751955986,3.1137499809265137,69,-4.4669945,5032,4
-31.746625900268555,1258.0,-126.39132690429688,9963,0.0008459126528049375,146,0.0010337283601984382,5.437183380126953,68,-3.542847125,10064,8
40.01493453979492,1258.0,-123.02983856201172,14995,0.0008459126528049375,221,0.0008469723397865891,50.76932907104492,68,-2.8767824166666673,15096,12
56.93265151977539,1258.0,-108.7725830078125,20027,0.0008459126528049375,295,0.0010287000332027674,4.1936445236206055,68,-2.55239675,20128,16
-24.119937896728516,1258.0,-92.45355224609375,25059,0.0008459126528049375,2,0.0008760179625824094,7.312051773071289,68,-2.3272902,25160,20
-7.277663230895996,1258.0,-91.52622985839844,30091,0.0008459126528049375,75,0.0004937095800414681,3.041748523712158,68,-2.140597916666666,30192,24
-34.82643508911133,1258.0,-91.6009521484375,35123,0.0008459126528049375,148,0.00022143057140056044,1.165295124053955,68,-2.029285107142857,35224,28
-39.31928253173828,1258.0,-90.15980529785156,40155,0.0008459126528049375,221,0.0004226703313179314,3.6256048679351807,68,-1.9379539062500002,40256,32
-70.16661071777344,1258.0,-74.19802856445312,45187,0.0008459126528049375,295,0.0004051108262501657,1.5403189659118652,68,-1.8893463888888888,45288,36
10.432493209838867,1258.0,-56.1470947265625,50219,0.0008459126528049375,4,0.0003779687103815377,1.1883858442306519,69,-1.8489748249999998,50320,40
-17.229198455810547,1258.0,-52.8193359375,55251,0.0008459126528049375,77,0.00045141432201489806,2.876525640487671,69,-1.7983743181818184,55352,44
-7.872003078460693,1258.0,-35.474388122558594,60283,0.0008459126528049375,149,0.0007400627946481109,6.371284484863281,69,-1.7623843333333333,60384,48
-51.865020751953125,1258.0,-28.569381713867188,65315,0.0008459126528049375,222,0.0008548400364816189,3.2732555866241455,69,-1.7376750769230769,65416,52
-39.99443817138672,1258.0,-21.446212768554688,70347,0.0008459126528049375,294,0.0003560558252502233,1.9733047485351562,69,-1.7215157678571429,70448,56
-17.11833953857422,1258.0,-9.393686294555664,75379,0.0008459126528049375,7,0.00036104361061006784,7.922822952270508,67,-1.7162417499999998,75480,60
-79.60440063476562,1258.0,-7.150516033172607,80411,0.0008459126528049375,83,0.0006295349448919296,4.942485809326172,66,-1.695786140625,80512,64
-77.98309326171875,1258.0,-0.017663419246673584,85443,0.0008459126528049375,160,0.0005438048392534256,3.572754383087158,65,-1.6811114264705882,85544,68
