rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,time/episodes,train/learning_rate,train/n_updates,time/fps
1258.0,0.01715352199971676,-123.27156829833984,-179.11868286132812,-4.11531775,1.2161715030670166,424,5032,4,0.0008459126528049375,4931,11
1258.0,0.0010215087095275521,-131.37603759765625,-51.304771423339844,-3.159722625,3.2655701637268066,849,10064,8,0.0008459126528049375,9963,11
1258.0,0.0011364204110577703,-133.40467834472656,-82.21561431884766,-2.6274474999999997,4.12966775894165,1273,15096,12,0.0008459126528049375,14995,11
1258.0,0.0013496517203748226,-133.47918701171875,-18.84577178955078,-2.3259063125,9.222034454345703,1700,20128,16,0.0008459126528049375,20027,11
1258.0,0.0009820848936215043,-123.56105041503906,-43.68114471435547,-2.15565785,46.633941650390625,13,25160,20,0.0008459126528049375,25059,12
1258.0,0.0008164583123289049,-120.88580322265625,23.274478912353516,-2.0072852083333332,48.216949462890625,454,30192,24,0.0008459126528049375,30091,11
1258.0,0.001142315100878477,-106.15345001220703,-28.691194534301758,-1.880551857142857,4.147742748260498,890,35224,28,0.0008459126528049375,35123,11
1258.0,0.0006387867615558207,-104.21188354492188,-30.21402931213379,-1.80146990625,3.9217844009399414,1333,40256,32,0.0008459126528049375,40155,11
1258.0,0.0006159466574899852,-99.32691955566406,-47.044795989990234,-1.7133130277777775,3.130251407623291,1778,45288,36,0.0008459126528049375,45187,11
1258.0,0.0008137593977153301,-93.91602325439453,24.223134994506836,-1.6589721499999999,11.56348991394043,28,50320,40,0.0008459126528049375,50219,11
1258.0,0.0010410965187475085,-82.3171157836914,-39.39815902709961,-1.6241792045454544,9.362125396728516,468,55352,44,0.0008459126528049375,55251,11
1258.0,0.0009770166361704469,-75.09748077392578,4.857358455657959,-1.6220861458333333,14.549114227294922,909,60384,48,0.0008459126528049375,60283,11
1258.0,0.0016178430523723364,-61.62393569946289,13.505742073059082,-1.6180044615384614,12.636723518371582,1346,65416,52,0.0008459126528049375,65315,11
1258.0,0.0011228396324440837,-57.41331481933594,-42.392982482910156,-1.6043496428571429,11.969633102416992,1794,70448,56,0.0008459126528049375,70347,11
1258.0,0.0017790257697924972,-47.58650207519531,-27.875999450683594,-1.5695643499999998,16.177581787109375,42,75480,60,0.0008459126528049375,75379,11
1258.0,0.0013780402950942516,-31.457992553710938,-19.126314163208008,-1.549468921875,27.561288833618164,502,80512,64,0.0008459126528049375,80411,10
1258.0,0.0007186275906860828,-23.03644561767578,70.79034423828125,-1.5276278382352941,12.484333038330078,966,85544,68,0.0008459126528049375,85443,10
1258.0,0.0012297341600060463,-11.955697059631348,55.412837982177734,-1.497866013888889,16.188566207885742,1431,90576,72,0.0008459126528049375,90475,10
1258.0,0.0008755961898714304,5.043298721313477,-27.765085220336914,-1.475259552631579,13.110755920410156,1888,95608,76,0.0008459126528049375,95507,10
