train/ent_coef_loss,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/critic_loss,train/actor_loss,time/episodes,train/n_updates
-169.45394897460938,0.0008459126528049375,1258.0,5032,0.017335912212729454,202,-4.98739525,24,2.3240647315979004,-122.96027374267578,4,4931
-20.08075523376465,0.0008459126528049375,1258.0,10064,0.0013138571521267295,412,-3.7712392500000003,24,8.145609855651855,-130.80587768554688,8,9963
64.35902404785156,0.0008459126528049375,1258.0,15096,0.0017184459138661623,594,-3.1747425000000007,25,4.703173637390137,-129.2826690673828,12,14995
15.233221054077148,0.0008459126528049375,1258.0,20128,0.0008749467669986188,808,-2.80884025,24,3.119187355041504,-128.42236328125,16,20027
-33.085296630859375,0.0008459126528049375,1258.0,25160,0.0009427754557691514,5,-2.5435201,30,3.1747684478759766,-126.75791931152344,20,25059
-4.050724029541016,0.0008459126528049375,1258.0,30192,0.001166274189017713,190,-2.362348041666667,27,2.9512863159179688,-110.95697784423828,24,30091
137.53878784179688,0.0008459126528049375,1258.0,35224,0.0009723443654365838,366,-2.254728,27,42.22966384887695,-80.71400451660156,28,35123
-6.222540855407715,0.0008459126528049375,1258.0,40256,0.000793416635133326,534,-2.1646080625,28,8.401558876037598,-74.71978759765625,32,40155
-21.761058807373047,0.0008459126528049375,1258.0,45288,0.0007704581366851926,713,-2.121010388888889,28,3.9155259132385254,-51.94514083862305,36,45187
97.8485107421875,0.0008459126528049375,1258.0,50320,0.0007017700700089335,12,-2.081214725,25,39.411746978759766,-40.8979606628418,40,50219
-34.60129165649414,0.0008459126528049375,1258.0,55352,0.0005447542062029243,201,-2.040382681818182,26,1.555826187133789,-36.77867126464844,44,55251
-55.69001007080078,0.0008459126528049375,1258.0,60384,0.0004577490617521107,368,-1.9966816041666666,28,2.388430595397949,-28.47804069519043,48,60283
14.632850646972656,0.0008459126528049375,1258.0,65416,0.0003946602519135922,559,-1.982311038461538,27,0.866188645362854,-26.176891326904297,52,65315
1.1895995140075684,0.0008459126528049375,1258.0,70448,0.0006045933696441352,754,-1.9622333214285714,27,1.3469767570495605,-23.437158584594727,56,70347
-27.773035049438477,0.0008459126528049375,1258.0,75480,0.00047361667384393513,19,-1.9429201833333332,24,2.2599024772644043,-18.611618041992188,60,75379
19.995344161987305,0.0008459126528049375,1258.0,80512,0.0002244913630420342,222,-1.932110640625,24,1.7643327713012695,-15.39202880859375,64,80411
21.677560806274414,0.0008459126528049375,1258.0,85544,0.0006815678207203746,428,-1.908385588235294,24,0.9302146434783936,-11.017705917358398,68,85443
-2.0888051986694336,0.0008459126528049375,1258.0,90576,0.0011195131810382009,633,-1.8869006944444442,24,1.7239620685577393,-8.484249114990234,72,90475
