train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef,time/episodes,train/n_updates,time/time_elapsed,time/fps,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps
4.413812160491943,-119.44627380371094,0.0008459126528049375,0.017055924981832504,4,4931,192,26,-166.03834533691406,-5.5973885,1258.0,5032
4.910068988800049,-121.38091278076172,0.0008459126528049375,0.0011819495121017098,8,9963,391,25,3.8002214431762695,-4.405228999999999,1258.0,10064
4.460338592529297,-112.0995864868164,0.0008459126528049375,0.0007542307721450925,12,14995,581,25,109.5066146850586,-3.6588525833333327,1258.0,15096
1.9548263549804688,-106.86620330810547,0.0008459126528049375,0.00045430942554958165,16,20027,768,26,10.8859281539917,-3.27883625,1258.0,20128
6.4762396812438965,-75.56436920166016,0.0008459126528049375,0.00107979541644454,20,25059,5,31,113.25099182128906,-3.0159428999999998,1258.0,25160
0.9004089832305908,-72.14864349365234,0.0008459126528049375,0.00025727436877787113,24,30091,169,30,7.39558744430542,-2.8778264583333333,1258.0,30192
1.1051150560379028,-71.28363800048828,0.0008459126528049375,0.0002839894441422075,28,35123,341,29,-112.70507049560547,-2.7824745,1258.0,35224
0.5985050201416016,-66.6658706665039,0.0008459126528049375,0.00037738989340141416,32,40155,511,29,53.48624038696289,-2.73977746875,1258.0,40256
0.6499032974243164,-67.3810043334961,0.0008459126528049375,0.00032036544871516526,36,45187,696,29,-82.77224731445312,-2.6764477777777778,1258.0,45288
1.26121985912323,-60.64104461669922,0.0008459126528049375,6.4811174524948e-05,40,50219,12,25,25.27170181274414,-2.65036865,1258.0,50320
0.40744316577911377,-58.818687438964844,0.0008459126528049375,0.00017469821614213288,44,55251,192,27,-110.54061889648438,-2.6063230681818186,1258.0,55352
1.9605544805526733,-57.75909423828125,0.0008459126528049375,0.00039648215170018375,48,60283,364,28,2.2071285247802734,-2.5687187291666667,1258.0,60384
0.5617097616195679,-56.82001495361328,0.0008459126528049375,0.0004092453746125102,52,65315,528,29,19.399566650390625,-2.5318567307692303,1258.0,65416
1.6398355960845947,-58.22844696044922,0.0008459126528049375,0.00026725881616584957,56,70347,708,28,78.98434448242188,-2.494041107142857,1258.0,70448
0.7673038840293884,-56.0621337890625,0.0008459126528049375,0.0005566187901422381,60,75379,16,29,-74.4027328491211,-2.463495983333333,1258.0,75480
2.9190762042999268,-41.04445266723633,0.0008459126528049375,0.0006839255220256746,64,80411,203,27,-83.76299285888672,-2.43597240625,1258.0,80512
