time/fps,train/ent_coef,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/critic_loss,train/learning_rate,time/episodes,time/time_elapsed
10,0.017297443002462387,-122.46436309814453,4931,1258.0,5032,-4.255999,-162.5471649169922,1.9200677871704102,0.0008459126528049375,4,480
10,0.001058141584508121,-125.31842803955078,9963,1258.0,10064,-3.1237492500000004,8.397665977478027,97.80532836914062,0.0008459126528049375,8,977
10,0.000984124606475234,-116.41938781738281,14995,1258.0,15096,-2.5182723333333334,28.272369384765625,2.3510475158691406,0.0008459126528049375,12,1468
10,0.0007083552191033959,-114.60774230957031,20027,1258.0,20128,-2.1755825,53.659278869628906,2.2747397422790527,0.0008459126528049375,16,1959
10,0.0007156730280257761,-108.17635345458984,25059,1258.0,25160,-1.9403408500000001,8.494518280029297,4.1149983406066895,0.0008459126528049375,20,15
10,0.0005694717401638627,-106.16615295410156,30091,1258.0,30192,-1.786007041666667,-27.85267448425293,4.392258167266846,0.0008459126528049375,24,500
10,0.0008827308192849159,-104.71222686767578,35123,1258.0,35224,-1.6867210000000001,26.965974807739258,1.9768767356872559,0.0008459126528049375,28,1001
10,0.00036114538670517504,-99.17440795898438,40155,1258.0,40256,-1.60233203125,98.17634582519531,1.6529066562652588,0.0008459126528049375,32,1495
10,0.0008353455341421068,-90.11012268066406,45187,1258.0,45288,-1.5050899722222222,-41.70853805541992,1.6202728748321533,0.0008459126528049375,36,1989
10,0.0003104833886027336,-86.08409881591797,50219,1258.0,50320,-1.477943475,46.498931884765625,2.206465721130371,0.0008459126528049375,40,30
10,0.0008325270027853549,-78.92509460449219,55251,1258.0,55352,-1.4539404318181819,37.21625518798828,3.2300846576690674,0.0008459126528049375,44,512
10,0.0006678224890492857,-71.94580078125,60283,1258.0,60384,-1.4159893541666666,-27.636573791503906,2.7219157218933105,0.0008459126528049375,48,1011
10,0.0005994726088829339,-73.08035278320312,65315,1258.0,65416,-1.3977891153846156,-18.167768478393555,1.5266942977905273,0.0008459126528049375,52,1487
10,0.0004434936272446066,-66.0998306274414,70347,1258.0,70448,-1.3920476964285713,-56.51702117919922,2.2831907272338867,0.0008459126528049375,56,1974
9,0.0003487853682599962,-60.88133239746094,75379,1258.0,75480,-1.3809899999999997,-55.985321044921875,2.1769533157348633,0.0008459126528049375,60,48
9,0.00040482968324795365,-49.701446533203125,80411,1258.0,80512,-1.347726109375,-5.5252909660339355,3.267751693725586,0.0008459126528049375,64,559
9,0.0005328545812517405,-51.39925765991211,85443,1258.0,85544,-1.3288468676470586,-49.9296875,3.253671407699585,0.0008459126528049375,68,1075
9,0.000512314960360527,-32.54222869873047,90475,1258.0,90576,-1.3136570138888888,-15.835007667541504,4.0208001136779785,0.0008459126528049375,72,1584
9,0.0005429412703961134,-25.451034545898438,95507,1258.0,95608,-1.2991877763157893,1.0614347457885742,10.11613941192627,0.0008459126528049375,76,2118
