time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,time/episodes,rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,train/critic_loss
128,4892,37,4791,4,1223.0,0.019087839871644974,-122.90123748779297,-163.77392578125,-4.61618525,0.0008459126528049375,1.1215250492095947
259,9784,37,9683,8,1223.0,0.001004357123747468,-128.0623321533203,-36.48173522949219,-3.528606,0.0008459126528049375,0.5962804555892944
390,14676,37,14575,12,1223.0,0.0012171546695753932,-131.80381774902344,-77.15560150146484,-2.8693588333333335,0.0008459126528049375,0.9085475206375122
520,19568,37,19467,16,1223.0,0.0007315705297514796,-136.8126220703125,15.574268341064453,-2.5283338750000004,0.0008459126528049375,1.7900302410125732
650,24460,37,24359,20,1223.0,0.0010590592864900827,-137.87149047851562,13.803574562072754,-2.3338141500000007,0.0008459126528049375,68.87745666503906
115,29352,37,29251,24,1223.0,0.0009639612981118262,-139.0238037109375,31.824047088623047,-2.1793145833333334,0.0008459126528049375,138.94142150878906
245,34244,37,34143,28,1223.0,0.0007603064877912402,-142.17526245117188,7.824881553649902,-2.088893357142857,0.0008459126528049375,1.7647528648376465
375,39136,37,39035,32,1223.0,0.0005809381837025285,-146.55511474609375,18.754592895507812,-2.047834625,0.0008459126528049375,1.8491063117980957
506,44028,37,43927,36,1223.0,0.0010853017447516322,-148.35971069335938,12.674690246582031,-1.9972178611111113,0.0008459126528049375,2.6550850868225098
637,48920,37,48819,40,1223.0,0.000533640559297055,-149.80206298828125,-65.31626892089844,-1.9495254250000003,0.0008459126528049375,3.8347842693328857
101,53812,37,53711,44,1223.0,0.0008969093323685229,-151.98556518554688,40.75444412231445,-1.9020694772727276,0.0008459126528049375,2.6470913887023926
254,58704,34,58603,48,1223.0,0.0010655842488631606,-151.93946838378906,54.4246940612793,-1.8463186875000002,0.0008459126528049375,3.3037493228912354
413,63596,32,63495,52,1223.0,0.0013617492513731122,-153.7872314453125,29.140743255615234,-1.8197617884615385,0.0008459126528049375,74.27487182617188
574,68488,32,68387,56,1223.0,0.0007908775587566197,-155.048583984375,16.92048454284668,-1.7871355178571429,0.0008459126528049375,149.43011474609375
736,73380,31,73279,60,1223.0,0.0007323984755203128,-160.20518493652344,-9.324601173400879,-1.755053016666667,0.0008459126528049375,6.013862133026123
112,78272,29,78171,64,1223.0,0.0008503030985593796,-161.72434997558594,1.2334332466125488,-1.7276991875000003,0.0008459126528049375,3.4547550678253174
286,83164,28,83063,68,1223.0,0.0013223207788541913,-165.6207275390625,17.52032470703125,-1.6963882941176474,0.0008459126528049375,4.744765281677246
459,88056,28,87955,72,1223.0,0.002143273362889886,-167.859375,4.245290279388428,-1.6715637083333332,0.0008459126528049375,7.464844703674316
633,92948,28,92847,76,1223.0,0.0017961150733754039,-167.87371826171875,-4.381494998931885,-1.6521451184210527,0.0008459126528049375,6.5220441818237305
801,97840,28,97739,80,1223.0,0.0011426632991060615,-171.5589599609375,-48.51939010620117,-1.6267453250000004,0.0008459126528049375,5.649102210998535
