rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/ent_coef_loss,train/learning_rate,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,train/actor_loss,time/fps,time/total_timesteps
1223.0,369,1.6228117942810059,-173.9986114501953,0.0008459126528049375,4,0.01926201581954956,-4.1128315,4791,-124.67208862304688,13,4892
1223.0,751,45.44545364379883,-41.012062072753906,0.0008459126528049375,8,0.00122647057287395,-3.3536280000000005,9683,-131.41305541992188,13,9784
1223.0,1146,34.011634826660156,36.7594108581543,0.0008459126528049375,12,0.000930599111597985,-2.6936819166666672,14575,-137.828369140625,12,14676
1223.0,1534,29.035171508789062,99.17487335205078,0.0008459126528049375,16,0.0015306061832234263,-2.389775,19467,-128.41030883789062,12,19568
1223.0,1921,5.0484771728515625,-42.77637481689453,0.0008459126528049375,20,0.0007928285631351173,-2.18812115,24359,-112.57303619384766,12,24460
1223.0,337,35.62506103515625,277.3733215332031,0.0008459126528049375,24,0.000491900194901973,-2.0546262499999997,29251,-87.5436782836914,12,29352
1223.0,726,2.055213689804077,-2.9372730255126953,0.0008459126528049375,28,0.0009299275116063654,-1.9588159642857141,34143,-76.33856201171875,12,34244
1223.0,1130,1.7400364875793457,-19.533924102783203,0.0008459126528049375,32,0.00022191257448866963,-1.900472625,39035,-77.56474304199219,12,39136
1223.0,1523,2.9325098991394043,124.15255737304688,0.0008459126528049375,36,0.00023870855511631817,-1.8222080555555555,43927,-74.41854095458984,12,44028
1223.0,1912,0.8699874877929688,22.343286514282227,0.0008459126528049375,40,0.00011672088294290006,-1.7618339749999996,48819,-68.63937377929688,12,48920
1223.0,304,2.48218035697937,-1.2009217739105225,0.0008459126528049375,44,0.0004105030675418675,-1.7186544772727268,53711,-63.99827575683594,12,53812
1223.0,699,2.1771018505096436,-24.42620277404785,0.0008459126528049375,48,0.0004713205271400511,-1.6777953333333333,58603,-59.46182632446289,12,58704
1223.0,1095,4.409690856933594,9.894369125366211,0.0008459126528049375,52,0.00037579797208309174,-1.6415065961538462,63495,-59.21693420410156,12,63596
1223.0,1486,9.3546781539917,405.59765625,0.0008459126528049375,56,0.0004264426534064114,-1.6031476964285716,68387,-42.4262809753418,12,68488
1223.0,1880,6.275758743286133,19.263717651367188,0.0008459126528049375,60,0.00048530660569667816,-1.5685647333333335,73279,-37.65486145019531,12,73380
