time/episodes,rollout/ep_len_mean,time/fps,train/ent_coef,train/n_updates,time/time_elapsed,train/critic_loss,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean
4,1223.0,31,0.019056547433137894,4791,153,0.9414949417114258,-122.73338317871094,-158.22618103027344,4892,0.0008459126528049375,-4.28373575
8,1223.0,31,0.0010090298019349575,9683,309,2.996741771697998,-128.62020874023438,-38.21892547607422,9784,0.0008459126528049375,-3.4020745
12,1223.0,31,0.0013952265726402402,14575,465,11.770273208618164,-127.02290344238281,43.359161376953125,14676,0.0008459126528049375,-2.830505083333333
16,1223.0,31,0.000853937235660851,19467,621,38.860164642333984,-108.17514038085938,224.00570678710938,19568,0.0008459126528049375,-2.517403125
20,1223.0,31,0.0005881786346435547,24359,777,17.468671798706055,-81.44915008544922,339.197998046875,24460,0.0008459126528049375,-2.3159285
24,1223.0,31,0.0009144758805632591,29251,138,5.270861625671387,-74.3709487915039,13.738631248474121,29352,0.0008459126528049375,-2.1394207499999998
28,1223.0,31,0.0005178285064175725,34143,295,1.2391175031661987,-68.8823013305664,-82.98883819580078,34244,0.0008459126528049375,-2.052032035714286
32,1223.0,31,0.0004081997903995216,39035,451,0.7207672595977783,-67.28252410888672,46.647682189941406,39136,0.0008459126528049375,-1.9760872812499999
36,1223.0,31,0.0004491334839258343,43927,608,0.6814247369766235,-65.15756225585938,-33.07184600830078,44028,0.0008459126528049375,-1.890411222222222
40,1223.0,31,0.00021730453590862453,48819,766,0.3871968984603882,-63.218971252441406,-27.974031448364258,48920,0.0008459126528049375,-1.8310353499999998
44,1223.0,31,0.0002897663216572255,53711,122,0.8637812733650208,-60.32072448730469,84.0473403930664,53812,0.0008459126528049375,-1.7918753181818177
48,1223.0,31,0.0002779820642899722,58603,280,4.894708633422852,-57.24266815185547,115.84747314453125,58704,0.0008459126528049375,-1.7327874791666666
52,1223.0,31,0.0007892997818998992,63495,437,6.351539611816406,-52.597938537597656,-44.88318634033203,63596,0.0008459126528049375,-1.695666826923077
56,1223.0,30,0.0004465610545594245,68387,596,1.8655388355255127,-47.56555938720703,-35.444461822509766,68488,0.0008459126528049375,-1.6733016607142857
60,1223.0,30,0.0006684549152851105,73279,757,4.649742126464844,-41.06861877441406,-9.43708610534668,73380,0.0008459126528049375,-1.6497199166666665
64,1223.0,29,0.0011252440745010972,78171,112,5.274616241455078,-31.219051361083984,7.446270942687988,78272,0.0008459126528049375,-1.6454920937500002
68,1223.0,28,0.0008014424238353968,83063,284,7.747992038726807,-26.418123245239258,10.41281509399414,83164,0.0008459126528049375,-1.6501585441176474
72,1223.0,29,0.0012010737555101514,87955,447,6.092815399169922,-20.6759033203125,-2.7314443588256836,88056,0.0008459126528049375,-1.6298554583333333
