train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef_loss
-123.62386322021484,2.5496668815612793,-5.08478475,0.017573289573192596,11,4,1258.0,452,5032,0.0008459126528049375,4931,-166.27786254882812
-129.7164764404297,3.7520527839660645,-4.0956475,0.0011335747549310327,10,8,1258.0,922,10064,0.0008459126528049375,9963,-25.74567985534668
-134.98243713378906,5.030788421630859,-3.4084138333333325,0.0006611853023059666,10,12,1258.0,1388,15096,0.0008459126528049375,14995,48.28952407836914
-139.38365173339844,5.866063594818115,-3.0344296875000003,0.001086871954612434,10,16,1258.0,1847,20128,0.0008459126528049375,20027,-8.0380220413208
-142.75396728515625,6.2379913330078125,-2.8015853500000003,0.0009327528532594442,10,20,1258.0,14,25160,0.0008459126528049375,25059,38.16942596435547
-137.08480834960938,12.30055046081543,-2.6616592083333335,0.0008055258076637983,11,24,1258.0,469,30192,0.0008459126528049375,30091,71.64368438720703
-121.1848373413086,5.48811149597168,-2.5700690357142864,0.0007076195906847715,11,28,1258.0,921,35224,0.0008459126528049375,35123,-54.91688919067383
-108.1083984375,5.71668815612793,-2.46645946875,0.0016971512231975794,11,32,1258.0,1367,40256,0.0008459126528049375,40155,-20.35170555114746
-103.34207153320312,6.906039237976074,-2.4046250277777776,0.0005642581963911653,11,36,1258.0,1811,45288,0.0008459126528049375,45187,-4.455023765563965
-100.496337890625,5.205897331237793,-2.353916225,0.0006841662107035518,11,40,1258.0,27,50320,0.0008459126528049375,50219,-6.997855186462402
-96.34037780761719,2.6408464908599854,-2.3173840681818185,0.0006000262801535428,11,44,1258.0,471,55352,0.0008459126528049375,55251,-21.575191497802734
-88.05108642578125,9.933462142944336,-2.2675657499999997,0.0009175175800919533,11,48,1258.0,926,60384,0.0008459126528049375,60283,-20.758066177368164
-82.7033920288086,6.47587776184082,-2.212046653846154,0.0014404990943148732,11,52,1258.0,1378,65416,0.0008459126528049375,65315,-66.9603271484375
-76.98050689697266,11.326105117797852,-2.1767716071428573,0.0011608208296820521,11,56,1258.0,1840,70448,0.0008459126528049375,70347,-25.69900894165039
-69.83550262451172,4.926239967346191,-2.1508132833333335,0.0010580013040453196,10,60,1258.0,44,75480,0.0008459126528049375,75379,-17.691152572631836
-66.70404815673828,20.97167205810547,-2.1327985781249996,0.0012897056294605136,10,64,1258.0,521,80512,0.0008459126528049375,80411,-15.750675201416016
-61.13351058959961,4.3165388107299805,-2.107385132352941,0.001035383902490139,10,68,1258.0,993,85544,0.0008459126528049375,85443,-45.594356536865234
-52.20209884643555,15.232290267944336,-2.086967680555555,0.001034370856359601,10,72,1258.0,1463,90576,0.0008459126528049375,90475,2.3417880535125732
