time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
29,1716,14848,8,0.3045654296875,0.003718078136444092,-0.016697805374860764,0.03300064636277966,448,0.2,0.0004092704424510632,-0.024573613598477095,0.03113703,-43.37212109565735,0.9807317852973938,-3.0056693636363634,1257.0
30,1711,15360,8,0.1923828125,-0.009960770606994629,-0.03176264464855194,0.006314283033134416,464,0.2,0.0004092704424510632,-0.021287625466356985,0.015555527,-43.348531007766724,0.9791066646575928,-3.015935333333333,1257.0
31,1706,15872,9,0.2724609375,0.008683979511260986,0.0162680484354496,0.16167495655827224,480,0.2,0.0004092704424510632,-0.029053415986709297,0.024897132,-43.294875741004944,0.9780122637748718,-3.015935333333333,1257.0
32,1701,16384,9,0.2635498046875,-1.9564564228057861,-0.03135843202471733,0.006193329281813931,496,0.2,0.0004092704424510632,-0.028134697146015242,0.023845736,-43.26865041255951,0.9773986339569092,-3.016216923076923,1257.0
33,1696,16896,9,0.210693359375,0.005600571632385254,0.027157410979270935,0.15175616485066712,512,0.2,0.0004092704424510632,-0.0221790670620976,0.016493957,-43.245941042900085,0.9764398336410522,-3.016216923076923,1257.0
34,1691,17408,10,0.2470703125,-1.0731158256530762,-0.040900737047195435,0.0049595412783673964,528,0.2,0.0004092704424510632,-0.03077827239758335,0.020837046,-43.243250250816345,0.9779639840126038,-3.016216923076923,1257.0
35,1687,17920,10,0.2803955078125,-0.08359897136688232,-0.04855431243777275,0.005038780036557,544,0.2,0.0004092704424510632,-0.03007599464035593,0.02297955,-43.2858350276947,0.978590190410614,-3.001911357142857,1257.0
36,1683,18432,10,0.27099609375,0.019576072692871094,0.039313264191150665,0.1438697916455567,560,0.2,0.0004092704424510632,-0.026812024094397202,0.023701767,-43.292425751686096,0.9780036807060242,-3.001911357142857,1257.0
37,1679,18944,11,0.203369140625,-6.620440483093262,-0.04107632488012314,0.008033762082050089,576,0.2,0.0004092704424510632,-0.026437017324496992,0.015558219,-43.284794211387634,0.9788506627082825,-3.008686733333333,1257.0
38,1676,19456,11,0.2947998046875,0.009147822856903076,0.024874374270439148,0.14124152483418584,592,0.2,0.0004092704424510632,-0.026286998428986408,0.019240532,-43.31272900104523,0.979360818862915,-3.008686733333333,1257.0
39,1673,19968,11,0.2171630859375,-2.272383689880371,-0.031132379546761513,0.0035610861050372478,608,0.2,0.0004092704424510632,-0.02295349170890404,0.014303427,-43.29590058326721,0.9779815673828125,-3.008686733333333,1257.0
40,1670,20480,12,0.2462158203125,-0.06222665309906006,-0.044492848217487335,0.0026802345673786476,624,0.2,0.0004092704424510632,-0.02812894864473492,0.015659347,-43.273128271102905,0.9787638187408447,-3.0028011875000002,1257.0
41,1667,20992,12,0.275634765625,0.02496284246444702,0.011674370616674423,0.11777201131917536,640,0.2,0.0004092704424510632,-0.02685724000184564,0.023554727,-43.30851411819458,0.9793855547904968,-3.0028011875000002,1257.0
