time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1,4024,512,0,,,,,,,,,,,,,
2,2349,1024,0,0.3153076171875,-0.3503817319869995,-0.041869524866342545,0.09098920409451239,16,0.2,0.0004092704424510632,-0.03546574829670135,0.023752969,-43.96640110015869,0.9987987279891968,,
3,2089,1536,0,0.2974853515625,-0.02877044677734375,-0.04649275913834572,0.0051074156508548185,32,0.2,0.0004092704424510632,-0.03236519273923477,0.020385496,-43.96780455112457,1.000299096107483,-3.053034,1257.0
4,1956,2048,1,0.3751220703125,-0.003955245018005371,-0.04331010952591896,0.016403523593908176,48,0.2,0.0004092704424510632,-0.03691501772846095,0.026944444,-43.987263441085815,0.9994974732398987,-3.053034,1257.0
5,1903,2560,1,0.2271728515625,0.0043402910232543945,-0.02425452321767807,0.0051208671648055315,64,0.2,0.0004092704424510632,-0.023977940953045618,0.014974013,-43.927539348602295,0.996588408946991,-3.1666809999999996,1257.0
6,1861,3072,1,0.2823486328125,-0.00015985965728759766,-0.01977144367992878,0.011476284475065768,80,0.2,0.0004092704424510632,-0.023622540524229407,0.017406255,-43.87571954727173,0.9969441294670105,-3.1666809999999996,1257.0
7,1834,3584,1,0.3055419921875,0.013749003410339355,-0.04295964911580086,0.0027966726556769572,96,0.2,0.0004092704424510632,-0.03123967866122257,0.020996483,-43.90467059612274,0.998045027256012,-3.1666809999999996,1257.0
8,1819,4096,2,0.3233642578125,-0.014385461807250977,-0.04343945533037186,0.003795513926888816,112,0.2,0.0004092704424510632,-0.03301376505987719,0.022904634,-43.903138756752014,0.9963633418083191,-3.1143986666666663,1257.0
9,1801,4608,2,0.33642578125,-0.0007307529449462891,-0.02778434194624424,0.030458139954134822,128,0.2,0.0004092704424510632,-0.029144945787265897,0.025759283,-43.815168023109436,0.9925063252449036,-3.1143986666666663,1257.0
10,1798,5120,2,0.252685546875,0.004769682884216309,-0.030608750879764557,0.0051910520196543075,144,0.2,0.0004092704424510632,-0.025762012373888865,0.019548733,-43.7087037563324,0.9902781844139099,-3.0930029999999995,1257.0
