train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,time/fps
-122.14314270019531,0.0008459126528049375,4927,0.01767457090318203,47.66305923461914,1257.0,-5.48095725,4,-159.81829833984375,203,5028,24
-125.7299575805664,0.0008459126528049375,9955,0.0009935074485838413,3.794968366622925,1257.0,-4.3993611249999995,8,-16.407386779785156,426,10056,23
-123.52719116210938,0.0008459126528049375,14983,0.00048213693662546575,3.229053020477295,1257.0,-3.70591725,12,-50.69629669189453,650,15084,23
-105.8005599975586,0.0008459126528049375,20011,0.0011393851600587368,11.545487403869629,1257.0,-3.34247125,16,56.07931900024414,875,20112,22
-85.92234802246094,0.0008459126528049375,25039,0.0017590165371075273,13.28256607055664,1257.0,-3.10657225,20,-30.434951782226562,6,25140,22
-84.2955551147461,0.0008459126528049375,30067,0.0012938091531395912,3.666529655456543,1257.0,-2.9941078749999996,24,-17.672990798950195,231,30168,22
