rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/episodes,train/ent_coef,train/learning_rate,time/fps,train/n_updates,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss
1257.0,-187.3271942138672,-123.97822570800781,4,0.01754283905029297,0.0008459126528049375,24,4927,5028,204,-4.25710375,2.1208531856536865
1257.0,89.33406829833984,-132.2418975830078,8,0.0012176788877695799,0.0008459126528049375,24,9955,10056,414,-3.4020435000000004,4.024405479431152
1257.0,-35.6461181640625,-135.25323486328125,12,0.0005999478744342923,0.0008459126528049375,24,14983,15084,625,-2.804036333333334,8.773917198181152
1257.0,57.99561309814453,-132.54959106445312,16,0.00034215260529890656,0.0008459126528049375,23,20011,20112,842,-2.534072,96.42068481445312
1257.0,36.587894439697266,-111.23697662353516,20,0.0009278811630792916,0.0008459126528049375,24,25039,25140,5,-2.2373895999999998,6.707034111022949
1257.0,16.398174285888672,-110.50582885742188,24,0.0007784895715303719,0.0008459126528049375,23,30067,30168,216,-2.05116275,7.853635787963867
1257.0,-35.440391540527344,-88.03968811035156,28,0.0009676856570877135,0.0008459126528049375,23,35095,35196,430,-1.914745142857143,3.6077840328216553
1257.0,55.05024719238281,-71.39248657226562,32,0.0005466126021929085,0.0008459126528049375,23,40123,40224,639,-1.86501325,2.5231847763061523
1257.0,38.5223503112793,-70.41182708740234,36,0.00043249441660009325,0.0008459126528049375,23,45151,45252,847,-1.7657116944444446,1.9651137590408325
1257.0,-31.247045516967773,-67.68446350097656,40,0.0004411941336002201,0.0008459126528049375,22,50179,50280,12,-1.7262638000000003,0.7714107036590576
1257.0,25.981359481811523,-61.35472106933594,44,0.0005831738235428929,0.0008459126528049375,23,55207,55308,229,-1.671011272727273,1.4848787784576416
1257.0,57.85965347290039,-50.05821228027344,48,0.0004767110222019255,0.0008459126528049375,21,60235,60336,470,-1.6366853541666668,2.831925392150879
1257.0,35.796852111816406,-46.8010139465332,52,0.000542091962415725,0.0008459126528049375,20,65263,65364,766,-1.5863386730769233,2.0536720752716064
1257.0,-71.01081848144531,-34.280609130859375,56,0.00037828332278877497,0.0008459126528049375,19,70291,70392,1039,-1.5624576250000002,1.1736286878585815
1257.0,226.4501953125,-20.357614517211914,60,0.0008438320364803076,0.0008459126528049375,19,75319,75420,21,-1.5340672,19.286457061767578
1257.0,-1.466526985168457,-12.361543655395508,64,0.0008533051004633307,0.0008459126528049375,18,80347,80448,290,-1.530815765625,5.776935577392578
1257.0,-78.7602767944336,-6.170380115509033,68,0.0008374082390218973,0.0008459126528049375,18,85375,85476,556,-1.521688838235294,3.401095390319824
