train/actor_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/critic_loss,train/ent_coef,time/fps,rollout/ep_rew_mean,train/n_updates,train/ent_coef_loss
-123.20980072021484,4,1257.0,145,5028,0.0008459126528049375,1.8461352586746216,0.01745659112930298,34,-5.08734925,4927,-175.56842041015625
-131.9229278564453,8,1257.0,321,10056,0.0008459126528049375,5.215076446533203,0.0013156282948330045,31,-4.343231875,9955,41.65925598144531
-133.68182373046875,12,1257.0,470,15084,0.0008459126528049375,4.4789814949035645,0.0009985828073695302,32,-3.6628206666666667,14983,161.31629943847656
-130.0022735595703,16,1257.0,629,20112,0.0008459126528049375,6.120774745941162,0.0009563830681145191,31,-3.3281811249999995,20011,-2.2412824630737305
-114.87042236328125,20,1257.0,4,25140,0.0008459126528049375,7.066742897033691,0.0015418343245983124,33,-3.06613945,25039,-76.26426696777344
-98.70601654052734,24,1257.0,155,30168,0.0008459126528049375,9.678991317749023,0.0012067243224009871,33,-2.900178625,30067,-31.798707962036133
-96.47724151611328,28,1257.0,306,35196,0.0008459126528049375,2.3873841762542725,0.0005519244004972279,33,-2.8084962500000006,35095,-56.403812408447266
-94.16407012939453,32,1257.0,458,40224,0.0008459126528049375,4.7322587966918945,0.0003132556448690593,33,-2.72594575,40123,-26.004135131835938
-91.65863800048828,36,1257.0,643,45252,0.0008459126528049375,2.0990171432495117,0.00024736052728258073,31,-2.653527,45151,81.76704406738281
-86.52291107177734,40,1257.0,8,50280,0.0008459126528049375,8.025601387023926,0.0008258371381089091,33,-2.617638325,50179,-17.251283645629883
-84.50984954833984,44,1257.0,160,55308,0.0008459126528049375,1.5110323429107666,0.0006726185092702508,33,-2.5667130227272725,55207,55.040653228759766
-83.52336883544922,48,1257.0,311,60336,0.0008459126528049375,2.406445264816284,0.0005969299236312509,33,-2.524475375,60235,-17.142621994018555
-81.07911682128906,52,1257.0,492,65364,0.0008459126528049375,2.539903402328491,0.0005428571603260934,31,-2.4749204615384617,65263,-17.06794548034668
-76.61564636230469,56,1257.0,649,70392,0.0008459126528049375,1.0228297710418701,0.0002120210265275091,31,-2.4406386250000005,70291,70.97669982910156
-72.06291198730469,60,1257.0,13,75420,0.0008459126528049375,1.7889723777770996,0.00044951398740522563,31,-2.4093812333333338,75319,16.65411376953125
-73.69801330566406,64,1257.0,176,80448,0.0008459126528049375,0.9560704231262207,0.0003212652518413961,30,-2.3779273749999996,80347,30.732824325561523
-68.17269897460938,68,1257.0,330,85476,0.0008459126528049375,14.040218353271484,0.0009765909053385258,31,-2.3422593823529407,85375,-0.23436087369918823
-62.437095642089844,72,1257.0,509,90504,0.0008459126528049375,33.876182556152344,0.000708502484485507,30,-2.3270010694444445,90403,28.863170623779297
-57.338233947753906,76,1257.0,686,95532,0.0008459126528049375,10.562759399414062,0.0009750706958584487,29,-2.3054257368421056,95431,26.943832397460938
