time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss
161,-174.02340698242188,1257.0,0.0008459126528049375,5028,-5.05350725,0.01725589670240879,31,4,1.7813175916671753,4927,-120.68109130859375
346,28.361669540405273,1257.0,0.0008459126528049375,10056,-4.181893625,0.0010973709868267179,28,8,4.684246063232422,9955,-121.94078826904297
511,64.7057876586914,1257.0,0.0008459126528049375,15084,-3.4082909999999997,0.001172348391264677,29,12,1.668455958366394,14983,-125.53355407714844
664,-34.543643951416016,1257.0,0.0008459126528049375,20112,-3.0377450625,0.0006769148749299347,30,16,3.466548442840576,20011,-113.69586181640625
4,-27.91225242614746,1257.0,0.0008459126528049375,25140,-2.79255725,0.0007014746661297977,32,20,1.5594260692596436,25039,-91.64665222167969
159,-21.23267364501953,1257.0,0.0008459126528049375,30168,-2.6583660000000005,0.001558396383188665,32,24,3.9640753269195557,30067,-64.41972351074219
323,13.339725494384766,1257.0,0.0008459126528049375,35196,-2.575358071428571,0.000501354574225843,31,28,0.9426809549331665,35095,-63.34220886230469
510,65.21298217773438,1257.0,0.0008459126528049375,40224,-2.49681703125,0.001106525887735188,29,32,3.177462577819824,40123,-46.467620849609375
699,-51.87995529174805,1257.0,0.0008459126528049375,45252,-2.46127425,0.0007521401857957244,28,36,4.382563591003418,45151,-38.64167785644531
13,-28.105941772460938,1257.0,0.0008459126528049375,50280,-2.4595076249999996,0.0003601706412155181,20,40,2.4887824058532715,50179,-35.30311584472656
205,-46.01742172241211,1257.0,0.0008459126528049375,55308,-2.428104954545454,0.0005108315963298082,25,44,0.4562603831291199,55207,-31.39137077331543
360,-4.251957893371582,1257.0,0.0008459126528049375,60336,-2.3826588958333335,0.0017483864212408662,28,48,3.7320661544799805,60235,-12.799711227416992
511,-0.7726361751556396,1257.0,0.0008459126528049375,65364,-2.3530074038461537,0.0007396549917757511,30,52,1.8712279796600342,65263,-8.214811325073242
662,25.451736450195312,1257.0,0.0008459126528049375,70392,-2.3169786428571433,0.0002531065256334841,30,56,0.4147809147834778,70291,-6.1295857429504395
13,-17.799230575561523,1257.0,0.0008459126528049375,75420,-2.286596433333334,0.0012511818204075098,31,60,1.5386887788772583,75319,-1.2125803232192993
174,-14.670761108398438,1257.0,0.0008459126528049375,80448,-2.267177171875,0.000577620230615139,31,64,0.9155603647232056,80347,2.43662691116333
337,-2.2564966678619385,1257.0,0.0008459126528049375,85476,-2.248004455882353,0.0005645318888127804,31,68,0.9188893437385559,85375,4.558751106262207
501,14.248884201049805,1257.0,0.0008459126528049375,90504,-2.2430023472222222,0.0002882721310015768,30,72,0.35555389523506165,90403,8.610283851623535
