time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/episodes,train/ent_coef,time/total_timesteps,train/critic_loss,train/n_updates,train/ent_coef_loss,train/learning_rate
33,-4.31663075,148,1223.0,-124.27191925048828,4,0.019550509750843048,4892,1.070494294166565,4791,-135.71096801757812,0.0008459126528049375
32,-3.340839625,299,1223.0,-129.54685974121094,8,0.0012230324791744351,9784,29.683353424072266,9683,-54.10606002807617,0.0008459126528049375
32,-2.6307121666666666,452,1223.0,-126.3795166015625,12,0.0007417143788188696,14676,3.0224905014038086,14575,-7.407293796539307,0.0008459126528049375
32,-2.2551061875,610,1223.0,-117.88870239257812,16,0.0011728258104994893,19568,10.652385711669922,19467,-20.113500595092773,0.0008459126528049375
30,-2.01046835,795,1223.0,-117.24209594726562,20,0.0005956509849056602,24460,2.557084560394287,24359,44.05080032348633,0.0008459126528049375
26,-1.8385614583333334,165,1223.0,-113.90203857421875,24,0.0006352547206915915,29352,2.822896957397461,29251,22.888965606689453,0.0008459126528049375
